case_id,perturbation,task,dataset,uncorrected_single_drift,original_noise,perturbed_noise,noise_baseline,raw_perturbation_drift,noise_corrected_drift
promptrobust_pdr_character_squad_01,character,factual_qa,SQuAD V2,0.0,0.0,0.0,0.0,0.0,0.0
promptrobust_pdr_word_squad_01,word,factual_qa,SQuAD V2,4.849684922536568e-07,0.0,0.0,0.0,4.849684922536568e-07,4.849684922536568e-07
promptrobust_pdr_sentence_squad_01,sentence,factual_qa,SQuAD V2,5.235258405678067e-07,0.0,3.918874325048449e-07,1.9594371625242246e-07,4.978209416917068e-07,3.018772254392843e-07
promptrobust_pdr_semantic_squad_01,semantic,factual_qa,SQuAD V2,4.849684922536568e-07,0.0,0.0,0.0,4.849684922536568e-07,4.849684922536568e-07
promptrobust_pdr_character_squad_02,character,factual_qa,SQuAD V2,0.10311177707013464,0.0687411847134231,0.06874118471342316,0.06874118471342314,0.057284320594519295,0.0
promptrobust_pdr_word_squad_02,word,factual_qa,SQuAD V2,3.6415697901581723e-07,0.0,0.0,0.0,3.6415697901581723e-07,3.6415697901581723e-07
promptrobust_pdr_sentence_squad_02,sentence,factual_qa,SQuAD V2,0.0,0.0,0.0,0.0,0.0,0.0
promptrobust_pdr_semantic_squad_02,semantic,factual_qa,SQuAD V2,0.3273299673861936,0.0,0.009979410356106388,0.004989705178053194,0.33066353032768975,0.32567382514963655
promptrobust_pdr_character_math_01,character,math_reasoning,MATH,0.021551632014783273,0.022574983907036494,0.019542029601349653,0.021058506754193074,0.02361113185141091,0.0025526250972178373
promptrobust_pdr_word_math_01,word,math_reasoning,MATH,0.03766679677146034,0.04821372527150802,0.030082357126155108,0.039148041198831564,0.04040084472961057,0.0012528035307790078
promptrobust_pdr_sentence_math_01,sentence,math_reasoning,MATH,0.03933771290984178,0.025720958729336923,0.03366805914211716,0.02969450893572704,0.030768220482390054,0.001073711546663015
promptrobust_pdr_semantic_math_01,semantic,math_reasoning,MATH,0.024165376905789238,0.048679301982058644,0.035204988692154195,0.04194214533710642,0.04008049753830175,0.0
promptrobust_pdr_character_math_02,character,math_reasoning,MATH,0.03255205129718153,0.013148622412686772,0.017149778216463313,0.015149200314575043,0.01829703505641937,0.003147834741844326
promptrobust_pdr_word_math_02,word,math_reasoning,MATH,0.09146879119200901,0.04831676921767699,0.021417250786567903,0.034867010002122445,0.04406306134356636,0.009196051341443919
promptrobust_pdr_sentence_math_02,sentence,math_reasoning,MATH,0.048855071525308436,0.011706328527887703,0.039226034638426444,0.025466181583157072,0.02469765088830321,0.0
promptrobust_pdr_semantic_math_02,semantic,math_reasoning,MATH,0.0455225650592298,0.00969981404518779,0.04474175471216032,0.027220784378674055,0.06699678846735442,0.039776004088680365
