item_id,selection_group,mean_ncp,generated_mean_logprob_delta,original_operation,paraphrase_operation,operation_match,original_first_numeric_expression,paraphrase_first_numeric_expression,first_numeric_expression_match,original_variable_strategy,paraphrase_variable_strategy,variable_strategy_match,original_early_numbers,paraphrase_early_numbers,early_numbers_match,original_final_answer,paraphrase_final_answer,final_answer_match,output_token_f1,original_output_chars,paraphrase_output_chars,output_char_delta
math_reasoning_4506,gpt_high20;qwen_high20;llama_high20;cross_model_shared_high,0.21619599999999997,-0.06304877275074902,geometry,geometry,True,12^2,,False,,,True,12;2;2;2;12;2;+5;2;169;169;13;12,1;2;3;4;5;6;7;2;3;+2;2;+2,False,13,4,False,0.29850746268656714,416,488,72
math_reasoning_6807,gpt_high20;qwen_high20;llama_high20;cross_model_shared_high,0.06097966666666666,-0.02546091351925303,addition,algebra_equation,False,0+3,0+3,True,,,True,0.999;0;2.001;3;0.999;2.001;0;+3;3;3,0.999;2.001;0.999;0;0.999;1;2.001;3;2.001;3;0.999;2.001,False,3,3,True,0.32432432432432434,188,329,141
math_reasoning_1121,gpt_high20;qwen_high20;llama_high20;cross_model_shared_high,0.05435,-0.03466244082574799,addition,addition,True,10+18,,False,,,True,10;18;19;20;21;29;10;18;19;20;21;29,10;18;19;20;21;29;1;10;2;18;3;19,False,117,10,False,0.5842696629213482,401,407,6
math_reasoning_2873,gpt_high20;qwen_high20;cross_model_shared_high,0.06300433333333334,0.07226811099227001,multiplication,algebra_equation,False,2\times12,20*30,False,,,True,2;12;22;32;72;82;92;5;+1;+2;+8;+1,2;92;10;5;2;92;10;20;30;40;50;60,False,72,10,False,0.26666666666666666,406,519,113
math_reasoning_6164,gpt_high20;llama_high20;cross_model_shared_high,0.05730333333333334,0.03949276156159537,addition,subtraction,False,,,True,,,True,6;5;4;6;5;4;120;4;5;4;4;5,6;3;6;5;4;3;6;5;4;120;4;4,False,80,4,False,0.5140186915887851,513,624,111
math_reasoning_11759,gpt_high20;qwen_high20;llama_high20;cross_model_shared_high,0.052488,-0.011011180729186887,subtraction,subtraction,True,,,True,,,True,3;4;5;30;1;2;3;-1;2;-2;2;-3,3;4;5;30;1;2;3;3;2;1;2;2,False,0,2,False,0.49214659685863876,431,466,35
math_reasoning_5408,qwen_high20;llama_high20;cross_model_shared_high,0.04931666666666667,-0.10103084578215721,algebra_equation,algebra_equation,True,4+5,,False,,,True,4;-1;5;2;8;-15;-6;4;+5;-1;+2;8,4;-1;5;2;8;-15;-6;5;-15;2,False,-15,2,False,0.4805194805194805,403,516,113
math_reasoning_5912,gpt_high20;qwen_high20,0.11036466666666667,0.001620015096244709,geometry,division,False,,3/2,False,,,True,30;30;1;2;30;1;2,30;30;6;6;6;3;2;30;3;2,False,2,3/2,False,0.3777777777777778,210,229,19
math_reasoning_7546,gpt_high20;llama_high20,0.060031999999999995,-0.0021624931128571556,algebra_equation,algebra_equation,True,0+0,,False,,,True,0;0;0;0;0;0;0;0;2;0;0;0,0;0;0;0;2;0;0;-1;0;0;0;0,False,01,0,False,0.5547445255474452,228,403,175
math_reasoning_467,gpt_high20;llama_high20,0.08568666666666667,-0.029593164258373036,subtraction,subtraction,True,,,True,,,True,4;1;3;4;4;3;4;1;1,3;4;3;4;4;4;2;4;2;3;4;4,False,1,2,False,0.435374149659864,302,477,175
math_reasoning_11297,gpt_high20;qwen_high20,0.048689333333333334,-0.07545110259352,subtraction,subtraction,True,,,True,,,True,-6;6;-1;-1;-1;-6;6;-6;6;-6;1;2,-1;-6;-1;-6;-6;-6,False,-1,-6,False,0.28571428571428575,331,137,-194
math_reasoning_10682,gpt_high20;qwen_high20,0.050352,-0.028980194072684318,algebra_equation,subtraction,False,-2-2,-2-2,True,,,True,-2;2;3;+1;2;-4;2;-3;-2;-2;2;+4,-2;2;3;+1;2;-4;2;-3;-2;-2;2;+4,True,1,1,True,0.6751592356687899,346,369,23
math_reasoning_10051,qwen_high20;llama_high20,0.04802833333333334,0.014284917304106165,geometry,geometry,True,,,True,,,True,2;1;2;1;2;2;2;2,2;1;2;2;1;2;2;2;2;2;2;2,False,2s,2,False,0.6093749999999999,251,378,127
math_reasoning_10586,qwen_high20;llama_high20,0.05390733333333333,-0.14646640252609822,unknown,probability,False,,,True,,,True,5,5;2;5;2;10,False,5,10,False,0.28947368421052627,117,257,140
math_reasoning_2166,gpt_low10;qwen_high20;llama_high20,0.07962966666666665,0.0037183210792179344,geometry,geometry,True,2^2,4*0.75,False,,,True,2;2;2;4;2;1;1;2;1,2;2;1;1.5;0.75;4;0.75;3;100,False,4,100,False,0.669260700389105,675,663,-12
math_reasoning_9765,gpt_high20;llama_high20,0.034313,0.028647525392050496,division,division,True,,,True,,,True,11;125;11;125;11;125;0.088;11;125;0.088,11;125;11;125;11;125;0.088;11;125;0.088,True,0,0,True,0.923076923076923,182,184,2
math_reasoning_9403,llama_high20,0.06290666666666667,-0.04605347555996228,addition,algebra_equation,False,,,True,,,True,11;11;25;11;25;2;11;25;11;2;14;2,25;11;25;25;1;11;11;2;1;25;3;2,False,7,11,False,0.5,294,560,266
math_reasoning_4807,gpt_high20;llama_high20,0.034248,-0.15010206827056974,algebra_equation,algebra_equation,True,,8\times8,False,,,True,1;8;7;8;7;56;2;8;8;8;8;64,8;8;64;8;8;8,False,64,8,False,0.5384615384615384,633,685,52
math_reasoning_338,gpt_low10;qwen_high20;llama_high20,0.051837999999999995,0.04717507823052203,geometry,geometry,True,6^2,,False,,,True,6;9;2;2;2;6;2;+9;2;2;2;81,60;30;30;9;60,False,117,30,False,0.27672955974842767,287,547,260
math_reasoning_10926,gpt_high20;llama_high20,0.026005333333333335,0.002754318282992496,geometry,subtraction,False,-5-7,-5-7,True,,,True,2;1;2;2;1;2;1;1;-3;7;2;2,-3;7;2;-5;2;1;2;2;1;2;1;1,False,13,144,False,0.6015037593984963,311,362,51
math_reasoning_10521,qwen_high20;llama_high20,0.027227666666666667,0.05778437708173968,unknown,addition,False,,7+7,False,,,True,23;23;23;19;25;23;30;23;23;30;23;24,23;23;23;23;30;7;30;7;7;7;14;7,False,5,23,False,0.49740932642487046,602,444,-158
math_reasoning_8004,gpt_high20,0.025210333333333335,0.02579183975661936,algebra_equation,algebra_equation,True,1/2,,False,,,True,10;8;1;2;1;2;8,10;8;0.5;0.5;8;10;8;0.5,False,8,0.5,False,0.861244019138756,546,509,-37
math_reasoning_5281,qwen_high20;llama_low10,0.050548,0.10024869950790051,subtraction,addition,False,2*1,,False,,,True,8;5;8;2;1;5;8;2;1;5;8;7,7;7;7;7;6;5;4;3;2;1;5040;5040,False,10080,504,False,0.4479166666666667,396,593,197
math_reasoning_3336,gpt_high20;qwen_low10;llama_high20,0.03225933333333333,0.04144280743328205,multiplication,multiplication,True,,,True,,,True,2;3;5;4;4;4,2;3;4;2;3;4;24,False,4,24,False,0.6666666666666666,189,135,-54
math_reasoning_5201,gpt_low10;llama_high20,0.04184433333333334,0.012721604553011315,subtraction,algebra_equation,False,,1/2,False,,,True,12;14;2;18;3;1;16;4;1;32;5;1,1;2;1;4;2;1;8;3;1;16;4;1,False,0,7,False,0.303030303030303,333,328,-5
math_reasoning_2652,gpt_low10;qwen_high20,0.025169999999999998,-0.022989992607384074,addition,algebra_equation,False,,2-4,False,,,True,1;2;1;2;2;1;2;1;2;1;2;2,2;4;2;1;2;-1;2;2;2;-1;2;2,False,2,2,True,0.42045454545454547,349,448,99
math_reasoning_2817,gpt_high20;llama_low10,0.017097333333333332,0.018303788483023373,algebra_equation,subtraction,False,,1/2,False,,,True,4;75;60;30;4;75;60;4;75;3;1;2,4;75;0;0;0;4;75;0;0;0;4;75,False,2,75,False,0.3274853801169591,397,490,93
math_reasoning_3402,gpt_high20;qwen_low10,0.015985,-0.08167408767370155,subtraction,algebra_equation,False,,41^2,False,,,True,2;41;+1;+1;2;+1;41;+1;+1;2;+1;41,2;41;-1;+40;41;41;41;41;2;41;41;41,False,+1,41,False,0.42458100558659223,328,480,152
math_reasoning_4965,qwen_high20,0.014332666666666665,0.04295422667523152,geometry,geometry,True,18^2,,False,,,True,324;2;324;2;2;324;18;18;3;4;18;2,324;2;324;2;2;324;18;18;3;3;2;2,False,3,3,True,0.74,496,480,-16
math_reasoning_4531,gpt_high20;llama_low10,0.016082666666666665,-0.035447342799597686,probability,algebra_equation,False,,,True,,,True,2;5;2;4;5;6;8;10;12;14;15;16,2;5;2;5;2;2;4;6;8;10;12;14,False,5,16,False,0.5732484076433121,312,394,82
math_reasoning_2832,gpt_high20;qwen_low10,0.011077666666666666,0.05088095840075864,subtraction,subtraction,True,,,True,,,True,-1;2;3;2;2;3;2;2;3;2;2;3,-1;2;3;2;-1;2;3;2;2;2;3,False,2,2,True,0.44171779141104295,341,481,140
math_reasoning_5594,qwen_high20;llama_low10,0.009715333333333331,0.019603741303980377,algebra_equation,algebra_equation,True,2-2,2-2,True,,,True,2;2;0;2;2;2;0;0;2;0;0;2,2;2;0;2;2;2;0;0;2;0;0;2,True,2,2,True,0.7971014492753624,288,381,93
math_reasoning_6746,qwen_high20;llama_low10,0.013503333333333332,0.04116930246681613,addition,addition,True,,,True,,,True,7;0;7;7;0;0;7;0;7;7;0;7,7;7;+7;0;7;0;7,False,7,7,True,0.6666666666666667,384,468,84
math_reasoning_2891,gpt_low10;qwen_high20,0.005207333333333333,-0.07003971894646294,geometry,geometry,True,,,True,,,True,30;180;180;60;120;120,30;30;60;60,False,120,60,False,0.5306122448979592,330,303,-27
math_reasoning_3886,llama_low10,0.0028173333333333336,0.07491890713786775,algebra_equation,algebra_equation,True,,,True,,,True,-60;4;-60;4;2;1;60;60;4;0;2;0,-60;4;1;-60;0;0;-60;4;-60;4;240;240,False,-60,0,False,0.526829268292683,527,486,-41
math_reasoning_3715,llama_low10,0.004488666666666666,-0.030894580243874037,algebra_equation,division,False,14\times5,,False,,,True,28;28;2;28;2;14;14;5;14;5;70;70,28;28;28;2;28;2;14;5;14;5;70;70,False,70,70,True,0.7428571428571429,336,498,162
math_reasoning_190,gpt_low10;qwen_low10;llama_high20,0.003337333333333333,-0.0049862427712417945,geometry,geometry,True,,,True,,,True,2;3;2;3;2;2;3;3;2;2;2,2;3;2;3;2;3;2;-1;1;-1;1;-1,False,2,2,True,0.4508670520231214,482,418,-64
math_reasoning_7390,qwen_low10,0.002754333333333333,-0.06769949518020493,addition,addition,True,,,True,,,True,30;40;50;60;20;30;40;50;60;20;20;20,1;30;40;50;60;20;30;40;50;60;20;30,False,40,40,True,0.6308724832214765,367,444,77
math_reasoning_3251,qwen_low10;llama_low10,-0.0026663333333333335,0.15921659692516696,subtraction,subtraction,True,1-3,3-3,False,,,True,1;-3;0;-9;30;3;1;-3;0;-9;30;0,3;-3;2;-9;+30;-3;1;3;-3;2;-9;+30,False,0,-3,False,0.3046357615894039,255,534,279
math_reasoning_4896,gpt_low10;qwen_low10,-0.0036926666666666666,0.02300346307147294,subtraction,subtraction,True,4-14,4-14,True,,,True,2;6;6;4;14;3;4;2;2;26;6;4,6;4;-14;3;-4;2;+2;-26;2;6;2;6,False,14,12,False,0.8411214953271027,514,421,-93
math_reasoning_4880,gpt_low10;qwen_low10,-0.012591,-0.008948619220855714,subtraction,algebra_equation,False,2-4,2^8,False,,,True,2;2;2;4;2;-4;3;4;2;4;2;16,2;8;4;2;2;2;4;3;2;4;3;2,False,1,18,False,0.6309523809523809,456,410,-46
math_reasoning_5038,qwen_low10;llama_low10,-0.005786333333333333,0.017936456485515895,algebra_equation,algebra_equation,True,,,True,,,True,1;1;1;1;1;1;1,1;1;1;1;1;1;1;1;1;1,False,1,1,True,0.7349397590361447,444,440,-4
math_reasoning_9599,gpt_low10;qwen_low10,-0.013676666666666669,0.1011008746407822,unknown,unknown,True,,,True,,,True,1;2;3;4;5;6;7;8;9;10;11;12,1;1;2;3;4;5;6;7;8;9;10;11,False,3,3,True,0.7710843373493975,418,442,24
math_reasoning_3374,gpt_low10;llama_low10,-0.019576333333333334,0.0735940579038088,algebra_equation,algebra_equation,True,1-2,1-2,True,,,True,6;1;2;3;1;-2;-3;-4;-5;-6;1;1,6;1;2;3;6;1;-2;-3;-6;1;6;1,False,3,3,True,0.712041884816754,431,460,29
