item_id,task_type,n_outputs,n_pairs,sampling_noise_drift,abs_change_from_previous_n,similarity_metric
code_generation_35,code_generation,3,3,0.054933,,sentence-transformers/all-MiniLM-L6-v2
code_generation_35,code_generation,5,10,0.044791,0.010142,sentence-transformers/all-MiniLM-L6-v2
code_generation_35,code_generation,7,21,0.038262,0.006528,sentence-transformers/all-MiniLM-L6-v2
code_generation_35,code_generation,10,45,0.036392,0.001871,sentence-transformers/all-MiniLM-L6-v2
code_generation_62,code_generation,3,3,0.091496,,sentence-transformers/all-MiniLM-L6-v2
code_generation_62,code_generation,5,10,0.086902,0.004594,sentence-transformers/all-MiniLM-L6-v2
code_generation_62,code_generation,7,21,0.087019,0.000118,sentence-transformers/all-MiniLM-L6-v2
code_generation_62,code_generation,10,45,0.081216,0.005803,sentence-transformers/all-MiniLM-L6-v2
factual_qa_378,factual_qa,3,3,0.076306,,sentence-transformers/all-MiniLM-L6-v2
factual_qa_378,factual_qa,5,10,0.065537,0.010769,sentence-transformers/all-MiniLM-L6-v2
factual_qa_378,factual_qa,7,21,0.058207,0.00733,sentence-transformers/all-MiniLM-L6-v2
factual_qa_378,factual_qa,10,45,0.057562,0.000645,sentence-transformers/all-MiniLM-L6-v2
factual_qa_642,factual_qa,3,3,0.005891,,sentence-transformers/all-MiniLM-L6-v2
factual_qa_642,factual_qa,5,10,0.00555,0.000342,sentence-transformers/all-MiniLM-L6-v2
factual_qa_642,factual_qa,7,21,0.005612,6.2e-05,sentence-transformers/all-MiniLM-L6-v2
factual_qa_642,factual_qa,10,45,0.005588,2.4e-05,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_400,math_reasoning,3,3,0.089971,,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_400,math_reasoning,5,10,0.074062,0.015909,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_400,math_reasoning,7,21,0.071463,0.002599,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_400,math_reasoning,10,45,0.067984,0.003479,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4082,math_reasoning,3,3,0.064774,,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4082,math_reasoning,5,10,0.052889,0.011885,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4082,math_reasoning,7,21,0.050664,0.002225,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4082,math_reasoning,10,45,0.053198,0.002534,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_13494,open_ended_writing,3,3,0.069182,,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_13494,open_ended_writing,5,10,0.063627,0.005555,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_13494,open_ended_writing,7,21,0.057292,0.006335,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_13494,open_ended_writing,10,45,0.065447,0.008155,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_16116,open_ended_writing,3,3,0.287315,,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_16116,open_ended_writing,5,10,0.274839,0.012476,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_16116,open_ended_writing,7,21,0.272905,0.001934,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_16116,open_ended_writing,10,45,0.27158,0.001325,sentence-transformers/all-MiniLM-L6-v2
