scope_type,scope_value,n,corrected_similarity_drift,baseline_similarity_drift,baseline_type,correctness_drift_target,comparison_question,corrected_pearson,baseline_pearson,pearson_delta_corrected_minus_baseline,pearson_delta_ci95_low,pearson_delta_ci95_high,pearson_delta_permutation_p_greater,corrected_spearman,baseline_spearman,spearman_delta_corrected_minus_baseline,spearman_delta_ci95_low,spearman_delta_ci95_high,spearman_delta_permutation_p_greater,corrected_better_by_pearson,corrected_better_by_spearman
overall,all,150,noise_corrected_drift,raw_perturbation_drift,uncorrected_raw_cross_drift,abs_repeated_pass_rate_change,Does sample-noise correction improve repeated-output correctness-drift indication over raw cross-drift?,0.536327085570062,0.4816570211801474,0.05467006438991462,-0.027113027245707376,0.20493138836733005,0.13986013986013987,0.34929383243287326,0.40914314252879624,-0.05984931009592298,-0.22918515594801558,0.1048260946218335,0.7192807192807192,1,0
overall,all,150,noise_corrected_drift,uncorrected_single_drift,uncorrected_single_pair,abs_repeated_pass_rate_change,Does sample-noise correction improve repeated-output correctness-drift indication over a single-pair baseline?,0.536327085570062,0.4323172256419085,0.10400985992815354,3.8239634856001886e-05,0.2588612291463576,0.06993006993006994,0.34929383243287326,0.3830086564225981,-0.03371482398972486,-0.20098165057858008,0.1271930905995047,0.6313686313686314,1,0
task,code_generation,50,noise_corrected_drift,raw_perturbation_drift,uncorrected_raw_cross_drift,abs_repeated_pass_rate_change,Does sample-noise correction improve repeated-output correctness-drift indication over raw cross-drift?,0.7469902591247614,0.6480820644182876,0.09890819470647372,-0.010610948732744662,0.3528909671810864,0.1048951048951049,0.514900085367457,0.4867150746384617,0.02818501072899532,-0.20485361566794885,0.23174967811753863,0.4005994005994006,1,1
task,code_generation,50,noise_corrected_drift,uncorrected_single_drift,uncorrected_single_pair,abs_repeated_pass_rate_change,Does sample-noise correction improve repeated-output correctness-drift indication over a single-pair baseline?,0.7469902591247614,0.5784749499042819,0.16851530922047941,-0.012134162677233398,0.4652192608370319,0.07592407592407592,0.514900085367457,0.45962610101224505,0.05527398435521197,-0.2664387425026859,0.30817457095109185,0.32867132867132864,1,1
task,factual_qa,50,noise_corrected_drift,raw_perturbation_drift,uncorrected_raw_cross_drift,abs_repeated_pass_rate_change,Does sample-noise correction improve repeated-output correctness-drift indication over raw cross-drift?,0.9437349171222739,0.9645097822405772,-0.020774865118303287,-0.9783422290897983,0.047241742960842194,0.4805194805194805,0.16192598941384265,0.3513650878047123,-0.18943909839086967,-0.5836406536797607,0.10259347305509368,0.47952047952047955,0,0
task,factual_qa,50,noise_corrected_drift,uncorrected_single_drift,uncorrected_single_pair,abs_repeated_pass_rate_change,Does sample-noise correction improve repeated-output correctness-drift indication over a single-pair baseline?,0.9437349171222739,0.9129390193425759,0.030795897779697934,-0.01310596144127033,0.06731949741668379,0.22077922077922077,0.16192598941384265,0.22650073689459505,-0.0645747474807524,-0.2768554718088712,0.09627122234369256,0.4805194805194805,1,0
task,math_reasoning,50,noise_corrected_drift,raw_perturbation_drift,uncorrected_raw_cross_drift,abs_repeated_pass_rate_change,Does sample-noise correction improve repeated-output correctness-drift indication over raw cross-drift?,-0.05986301187198885,-0.3402169737517029,0.28035396187971406,0.07688602012024276,0.8618232719248308,0.05194805194805195,0.23155583481000766,-0.23830567338568368,0.46986150819569134,0.06840623302529301,0.8690183685069827,0.026973026973026972,1,1
task,math_reasoning,50,noise_corrected_drift,uncorrected_single_drift,uncorrected_single_pair,abs_repeated_pass_rate_change,Does sample-noise correction improve repeated-output correctness-drift indication over a single-pair baseline?,-0.05986301187198885,-0.30284366376198496,0.24298065188999612,0.08252205593860035,0.7771565555039471,0.03596403596403597,0.23155583481000766,-0.25655337462324257,0.4881092094332502,0.149357679327886,0.8463414898856668,0.015984015984015984,1,1
perturbation,context_injection,30,noise_corrected_drift,raw_perturbation_drift,uncorrected_raw_cross_drift,abs_repeated_pass_rate_change,Does sample-noise correction improve repeated-output correctness-drift indication over raw cross-drift?,0.49241384737652066,0.44495850051574587,0.047455346860774794,-0.44495502875710896,0.322588874909033,0.47952047952047955,0.38161739216742996,0.4312508765308587,-0.04963348436342874,-0.37951381684378366,0.2659546109834363,0.5744255744255744,1,0
perturbation,context_injection,30,noise_corrected_drift,uncorrected_single_drift,uncorrected_single_pair,abs_repeated_pass_rate_change,Does sample-noise correction improve repeated-output correctness-drift indication over a single-pair baseline?,0.49241384737652066,0.584571002333894,-0.09215715495737337,-0.6250504244021523,0.2873497165522518,0.6213786213786214,0.38161739216742996,0.3772155029191434,0.00440188924828655,-0.4692364535992158,0.43418264367496306,0.4775224775224775,0,1
