base_case_id,task,dataset,perturbation_family,strength_level,strength_edits,original_noise,perturbed_noise,noise_baseline,raw_perturbation_drift,noise_corrected_drift,mean_cross_similarity,mean_paired_similarity,clean_single_correct,perturbed_single_correct,single_pass_rate_drop,abs_single_pass_rate_change,single_sample_pdr,clean_mean_correctness,perturbed_mean_correctness,repeated_pass_rate_drop,abs_repeated_pass_rate_change,repeated_sampling_pdr,harmful_correctness_drop,correctness_changed
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Handwritten,surface_noise,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0,0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Handwritten,surface_noise,1,1,0.021435247497737953,0.029703301884838346,0.025569274691288148,0.021510135680385043,0.0,0.9784898643196149,0.9712700347034147,1.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0,0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Handwritten,surface_noise,2,2,0.021435247497737953,0.03372567196646026,0.027580459732099105,0.021539908821052795,0.0,0.9784600911789472,0.9908555081833368,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0,0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Handwritten,surface_noise,3,4,0.021435247497737953,0.018860268743542446,0.0201477581206402,0.019550097057428124,0.0,0.9804499029425718,0.9790813819526974,1.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0,1,1
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Handwritten,surface_noise,4,8,0.021435247497737953,0.00804747552285375,0.014741361510295852,0.028256976416410687,0.013515614906114835,0.9717430235835893,0.972727656579894,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,1.0,-0.6666666666666667,0.6666666666666667,-2.0000000000000004,0,1
rq2_dose_longfact_02,long_factual_qa,LongFactQA-Handwritten,surface_noise,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_longfact_02,long_factual_qa,LongFactQA-Handwritten,surface_noise,1,1,0.05134574241296178,0.05587012565118173,0.05360793403207176,0.03907923471348899,0.0,0.960920765286511,0.9422035766768058,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_longfact_02,long_factual_qa,LongFactQA-Handwritten,surface_noise,2,2,0.05134574241296178,0.1258750494765757,0.08861039594476874,0.08059952124680653,0.0,0.9194004787531935,0.91062697853506,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_longfact_02,long_factual_qa,LongFactQA-Handwritten,surface_noise,3,4,0.05134574241296178,0.017430338758758584,0.03438804058586018,0.03277595821296172,0.0,0.9672240417870382,0.9585903108535636,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_longfact_02,long_factual_qa,LongFactQA-Handwritten,surface_noise,4,8,0.05134574241296178,0.13427850003944475,0.09281212122620326,0.08327088803616076,0.0,0.9167291119638392,0.9078599325671989,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
