task_type,perturbation_type,n_items,mean_noise_corrected_drift,std_noise_corrected_drift,similarity_metric
code_generation,context_injection,10,0.002075,0.010662,sentence-transformers/all-MiniLM-L6-v2
code_generation,formatting_changes,10,0.004808,0.016313,sentence-transformers/all-MiniLM-L6-v2
code_generation,paraphrasing,10,0.03456,0.046164,sentence-transformers/all-MiniLM-L6-v2
code_generation,reordering,10,0.00769,0.020209,sentence-transformers/all-MiniLM-L6-v2
code_generation,surface_noise,10,0.001728,0.014665,sentence-transformers/all-MiniLM-L6-v2
factual_qa,context_injection,10,-0.005502,0.016638,sentence-transformers/all-MiniLM-L6-v2
factual_qa,formatting_changes,10,0.026844,0.065635,sentence-transformers/all-MiniLM-L6-v2
factual_qa,paraphrasing,10,0.112586,0.099281,sentence-transformers/all-MiniLM-L6-v2
factual_qa,reordering,10,0.041203,0.06082,sentence-transformers/all-MiniLM-L6-v2
factual_qa,surface_noise,10,-0.006236,0.019244,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,context_injection,10,0.00039,0.027616,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,formatting_changes,10,-0.001141,0.023136,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,paraphrasing,10,0.005822,0.015136,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,reordering,10,-0.000518,0.02433,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,surface_noise,10,-0.006036,0.021087,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,context_injection,10,0.018683,0.038177,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,formatting_changes,10,0.002976,0.016395,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,paraphrasing,10,0.175192,0.214344,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,reordering,10,0.035788,0.123109,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,surface_noise,10,0.002013,0.016223,sentence-transformers/all-MiniLM-L6-v2
