item_id,perturbation_type,problem_content_recall,problem_content_jaccard,prompt_content_recall,math_token_recall,number_recall,problem_length_delta_tokens
math_reasoning_3886,paraphrasing,0.6666666666666666,0.375,0.8,1.0,1.0,7
math_reasoning_3886,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_3886,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_3886,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_3886,surface_noise,0.8888888888888888,0.8,0.9333333333333333,1.0,1.0,0
math_reasoning_5038,paraphrasing,0.3888888888888889,0.22580645161290322,0.5652173913043478,0.75,0.5,8
math_reasoning_5038,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_5038,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_5038,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_5038,surface_noise,0.9444444444444444,0.8947368421052632,0.9565217391304348,1.0,1.0,0
math_reasoning_8004,paraphrasing,0.7692307692307693,0.47619047619047616,0.8421052631578947,1.0,1.0,9
math_reasoning_8004,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_8004,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_8004,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_8004,surface_noise,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_4896,paraphrasing,0.8461538461538461,0.5,0.8947368421052632,1.0,1.0,8
math_reasoning_4896,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_4896,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_4896,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_4896,surface_noise,1.0,1.0,0.9473684210526315,1.0,1.0,0
math_reasoning_5497,paraphrasing,0.8,0.42105263157894735,0.875,1.0,1.0,7
math_reasoning_5497,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_5497,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_5497,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_5497,surface_noise,0.9,0.8181818181818182,0.9375,1.0,1.0,0
math_reasoning_11297,paraphrasing,0.9523809523809523,0.8333333333333334,0.9565217391304348,1.0,1.0,5
math_reasoning_11297,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_11297,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_11297,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_11297,surface_noise,1.0,0.984375,1.0,1.0,1.0,0
math_reasoning_11759,paraphrasing,0.8181818181818182,0.45,0.8823529411764706,1.0,1.0,11
math_reasoning_11759,reordering,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_11759,formatting_changes,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_11759,context_injection,1.0,1.0,1.0,1.0,1.0,0
math_reasoning_11759,surface_noise,1.0,1.0,0.9411764705882353,1.0,1.0,0
math_reasoning_10926,paraphrasing,0.46153846153846156,0.2857142857142857,0.631578947368421,1.0,1.0,10
