task_type,test,perturbation_1,perturbation_2,n_items,mean_difference,median_difference,statistic,p_value,p_adj_holm,reject_alpha_0_05
code_generation,wilcoxon_signed_rank_holm,paraphrasing,reordering,50,0.009494,0.005903,475.0,0.118485336407,0.631527646743,False
code_generation,wilcoxon_signed_rank_holm,paraphrasing,formatting_changes,50,0.01312,0.004555,356.0,0.005942159115,0.05942159115,False
code_generation,wilcoxon_signed_rank_holm,paraphrasing,context_injection,50,0.011973,0.002487,435.0,0.050605203693,0.354236425852,False
code_generation,wilcoxon_signed_rank_holm,paraphrasing,surface_noise,50,0.012483,0.009021,390.0,0.016185270215,0.145667431932,False
code_generation,wilcoxon_signed_rank_holm,reordering,formatting_changes,50,0.003625,0.003583,478.0,0.125563466106,0.631527646743,False
code_generation,wilcoxon_signed_rank_holm,reordering,context_injection,50,0.002478,0.005482,423.0,0.038081706053,0.304653648424,False
code_generation,wilcoxon_signed_rank_holm,reordering,surface_noise,50,0.002989,0.003422,469.0,0.10525460779,0.631527646743,False
code_generation,wilcoxon_signed_rank_holm,formatting_changes,context_injection,50,-0.001147,-0.000473,588.0,0.639009485046,1.0,False
code_generation,wilcoxon_signed_rank_holm,formatting_changes,surface_noise,50,-0.000636,0.000551,571.0,0.527279419092,1.0,False
code_generation,wilcoxon_signed_rank_holm,context_injection,surface_noise,50,0.000511,0.000469,594.0,0.680644746777,1.0,False
factual_qa,wilcoxon_signed_rank_holm,paraphrasing,reordering,50,0.142224,0.11885,36.0,9e-12,6.2e-11,True
factual_qa,wilcoxon_signed_rank_holm,paraphrasing,formatting_changes,50,0.173679,0.16827,31.0,4e-12,3.4e-11,True
factual_qa,wilcoxon_signed_rank_holm,paraphrasing,context_injection,50,0.181252,0.174204,6.0,0.0,0.0,True
factual_qa,wilcoxon_signed_rank_holm,paraphrasing,surface_noise,50,0.184373,0.184173,3.0,0.0,0.0,True
factual_qa,wilcoxon_signed_rank_holm,reordering,formatting_changes,50,0.031455,0.015345,220.0,0.000462504138,0.001850016553,True
factual_qa,wilcoxon_signed_rank_holm,reordering,context_injection,50,0.039028,0.018238,116.0,3.521013e-06,1.7605063e-05,True
factual_qa,wilcoxon_signed_rank_holm,reordering,surface_noise,50,0.042149,0.022568,79.0,4.60547e-07,2.763281e-06,True
factual_qa,wilcoxon_signed_rank_holm,formatting_changes,context_injection,50,0.007572,0.0,316.0,0.206416030449,0.206416030449,False
factual_qa,wilcoxon_signed_rank_holm,formatting_changes,surface_noise,50,0.010694,0.000403,188.0,0.004818709017,0.014456127051,True
factual_qa,wilcoxon_signed_rank_holm,context_injection,surface_noise,50,0.003122,0.000334,227.0,0.060347988574,0.120695977149,False
math_reasoning,wilcoxon_signed_rank_holm,paraphrasing,reordering,50,0.03607,0.015005,94.0,5.31e-09,5.3101e-08,True
math_reasoning,wilcoxon_signed_rank_holm,paraphrasing,formatting_changes,50,0.035921,0.014356,166.0,1.132623e-06,9.060987e-06,True
math_reasoning,wilcoxon_signed_rank_holm,paraphrasing,context_injection,50,0.032981,0.014489,232.0,4.4254613e-05,0.000309782292,True
math_reasoning,wilcoxon_signed_rank_holm,paraphrasing,surface_noise,50,0.035131,0.014246,147.0,3.25671e-07,2.931042e-06,True
math_reasoning,wilcoxon_signed_rank_holm,reordering,formatting_changes,50,-0.000149,-0.000458,635.0,0.984734342017,1.0,False
math_reasoning,wilcoxon_signed_rank_holm,reordering,context_injection,50,-0.003089,-0.002981,521.0,0.265337670988,1.0,False
math_reasoning,wilcoxon_signed_rank_holm,reordering,surface_noise,50,-0.000939,-0.001882,531.0,0.30905100447,1.0,False
math_reasoning,wilcoxon_signed_rank_holm,formatting_changes,context_injection,50,-0.00294,0.001071,596.0,0.694746334236,1.0,False
math_reasoning,wilcoxon_signed_rank_holm,formatting_changes,surface_noise,50,-0.00079,0.000257,623.0,0.893447016971,1.0,False
math_reasoning,wilcoxon_signed_rank_holm,context_injection,surface_noise,50,0.00215,0.001821,592.0,0.666651972745,1.0,False
open_ended_writing,wilcoxon_signed_rank_holm,paraphrasing,reordering,50,0.104111,0.030831,276.0,0.000816132572,0.005712928005,True
open_ended_writing,wilcoxon_signed_rank_holm,paraphrasing,formatting_changes,50,0.125915,0.029329,122.0,2.906568e-06,2.6159112e-05,True
open_ended_writing,wilcoxon_signed_rank_holm,paraphrasing,context_injection,50,0.128737,0.028359,189.0,2.5235928e-05,0.000201887421,True
open_ended_writing,wilcoxon_signed_rank_holm,paraphrasing,surface_noise,50,0.135066,0.033918,75.0,2.28307e-07,2.283073e-06,True
open_ended_writing,wilcoxon_signed_rank_holm,reordering,formatting_changes,50,0.021803,0.000171,360.0,0.075438451629,0.204937619374,False
open_ended_writing,wilcoxon_signed_rank_holm,reordering,context_injection,50,0.024625,0.001432,313.0,0.020982216353,0.104911081767,False
open_ended_writing,wilcoxon_signed_rank_holm,reordering,surface_noise,50,0.030954,0.005751,275.0,0.006195871565,0.037175229391,True
open_ended_writing,wilcoxon_signed_rank_holm,formatting_changes,context_injection,50,0.002822,0.0,420.0,0.522190491742,0.522190491742,False
open_ended_writing,wilcoxon_signed_rank_holm,formatting_changes,surface_noise,50,0.009151,0.000794,322.0,0.043493111544,0.173972446177,False
open_ended_writing,wilcoxon_signed_rank_holm,context_injection,surface_noise,50,0.006329,0.001977,356.0,0.068312539791,0.204937619374,False
