case_id,task,dataset,perturbation,uncorrected_single_drift,original_noise,perturbed_noise,noise_baseline,raw_perturbation_drift,noise_corrected_drift
fourtask_paraphrase_squad_01,factual_qa,SQuAD V2,paraphrase,0.2521203993038875,0.0,1.1102230246251565e-16,5.551115123125783e-17,0.2521203993038875,0.25212039930388747
fourtask_reordering_squad_01,factual_qa,SQuAD V2,reordering,0.0,0.0,0.0,0.0,0.0,0.0
fourtask_formatting_squad_01,factual_qa,SQuAD V2,formatting,0.0,0.0,0.0,0.0,0.0,0.0
fourtask_context_injection_squad_01,factual_qa,SQuAD V2,context_injection,0.0,0.0,0.0,0.0,0.0,0.0
fourtask_surface_noise_squad_01,factual_qa,SQuAD V2,surface_noise,0.0,0.0,0.0,0.0,0.0,0.0
fourtask_paraphrase_squad_02,factual_qa,SQuAD V2,paraphrase,3.6415697901581723e-07,0.0,0.0,0.0,3.6415697901581723e-07,3.6415697901581723e-07
fourtask_reordering_squad_02,factual_qa,SQuAD V2,reordering,0.0,0.0,0.0,0.0,0.0,0.0
fourtask_formatting_squad_02,factual_qa,SQuAD V2,formatting,0.0,0.0,0.0,0.0,0.0,0.0
fourtask_context_injection_squad_02,factual_qa,SQuAD V2,context_injection,0.0,0.0,0.0,0.0,0.0,0.0
fourtask_surface_noise_squad_02,factual_qa,SQuAD V2,surface_noise,3.6415697901581723e-07,0.0,0.0,0.0,3.6415697901581723e-07,3.6415697901581723e-07
fourtask_paraphrase_math_01,math_reasoning,MATH,paraphrase,0.012150219606930523,0.03155783718195615,0.03262986589765656,0.03209385153980636,0.0301324942739802,0.0
fourtask_reordering_math_01,math_reasoning,MATH,reordering,0.016765525439707107,0.02661153966591952,0.040317719062807976,0.03346462936436375,0.032267089949455374,0.0
fourtask_formatting_math_01,math_reasoning,MATH,formatting,0.022111167879509508,0.03573395409022573,0.02606611486249381,0.03090003447635977,0.026748579511492874,0.0
fourtask_context_injection_math_01,math_reasoning,MATH,context_injection,0.04064184651698499,0.03749676646759881,0.02084635787448826,0.02917156217104353,0.035315831070025755,0.006144268898982223
fourtask_surface_noise_math_01,math_reasoning,MATH,surface_noise,0.025371474356005286,0.03203611957620885,0.035521488381623424,0.03377880397891614,0.03196880675685507,0.0
fourtask_paraphrase_math_02,math_reasoning,MATH,paraphrase,0.035891881745220844,0.017919968377694828,0.027933945859490866,0.02292695711859285,0.02390752667434452,0.000980569555751671
fourtask_reordering_math_02,math_reasoning,MATH,reordering,0.0329265002182304,0.03292628142351336,0.01853111836818455,0.025728699895848955,0.02166973593668717,0.0
