group1,group2,meandiff,p-adj,lower,upper,reject
code_generation / context_injection,code_generation / formatting,0.2,0.9909,-0.3168,0.7168,False
code_generation / context_injection,code_generation / paraphrase,0.0,1.0,-0.5168,0.5168,False
code_generation / context_injection,code_generation / reordering,-0.1,1.0,-0.6168,0.4168,False
code_generation / context_injection,code_generation / surface_noise,0.0,1.0,-0.5168,0.5168,False
code_generation / context_injection,factual_qa / context_injection,-0.1,1.0,-0.6168,0.4168,False
code_generation / context_injection,factual_qa / formatting,0.1,1.0,-0.4168,0.6168,False
code_generation / context_injection,factual_qa / paraphrase,0.1,1.0,-0.4168,0.6168,False
code_generation / context_injection,factual_qa / reordering,-0.1,1.0,-0.6168,0.4168,False
code_generation / context_injection,factual_qa / surface_noise,0.0,1.0,-0.5168,0.5168,False
code_generation / context_injection,math_reasoning / context_injection,0.1,1.0,-0.4168,0.6168,False
code_generation / context_injection,math_reasoning / formatting,-0.1,1.0,-0.6168,0.4168,False
code_generation / context_injection,math_reasoning / paraphrase,0.2,0.9909,-0.3168,0.7168,False
code_generation / context_injection,math_reasoning / reordering,0.1,1.0,-0.4168,0.6168,False
code_generation / context_injection,math_reasoning / surface_noise,0.0,1.0,-0.5168,0.5168,False
code_generation / formatting,code_generation / paraphrase,-0.2,0.9909,-0.7168,0.3168,False
code_generation / formatting,code_generation / reordering,-0.3,0.7914,-0.8168,0.2168,False
code_generation / formatting,code_generation / surface_noise,-0.2,0.9909,-0.7168,0.3168,False
code_generation / formatting,factual_qa / context_injection,-0.3,0.7914,-0.8168,0.2168,False
code_generation / formatting,factual_qa / formatting,-0.1,1.0,-0.6168,0.4168,False
code_generation / formatting,factual_qa / paraphrase,-0.1,1.0,-0.6168,0.4168,False
code_generation / formatting,factual_qa / reordering,-0.3,0.7914,-0.8168,0.2168,False
code_generation / formatting,factual_qa / surface_noise,-0.2,0.9909,-0.7168,0.3168,False
code_generation / formatting,math_reasoning / context_injection,-0.1,1.0,-0.6168,0.4168,False
code_generation / formatting,math_reasoning / formatting,-0.3,0.7914,-0.8168,0.2168,False
code_generation / formatting,math_reasoning / paraphrase,0.0,1.0,-0.5168,0.5168,False
code_generation / formatting,math_reasoning / reordering,-0.1,1.0,-0.6168,0.4168,False
code_generation / formatting,math_reasoning / surface_noise,-0.2,0.9909,-0.7168,0.3168,False
code_generation / paraphrase,code_generation / reordering,-0.1,1.0,-0.6168,0.4168,False
code_generation / paraphrase,code_generation / surface_noise,0.0,1.0,-0.5168,0.5168,False
code_generation / paraphrase,factual_qa / context_injection,-0.1,1.0,-0.6168,0.4168,False
code_generation / paraphrase,factual_qa / formatting,0.1,1.0,-0.4168,0.6168,False
code_generation / paraphrase,factual_qa / paraphrase,0.1,1.0,-0.4168,0.6168,False
code_generation / paraphrase,factual_qa / reordering,-0.1,1.0,-0.6168,0.4168,False
code_generation / paraphrase,factual_qa / surface_noise,0.0,1.0,-0.5168,0.5168,False
code_generation / paraphrase,math_reasoning / context_injection,0.1,1.0,-0.4168,0.6168,False
code_generation / paraphrase,math_reasoning / formatting,-0.1,1.0,-0.6168,0.4168,False
code_generation / paraphrase,math_reasoning / paraphrase,0.2,0.9909,-0.3168,0.7168,False
code_generation / paraphrase,math_reasoning / reordering,0.1,1.0,-0.4168,0.6168,False
code_generation / paraphrase,math_reasoning / surface_noise,0.0,1.0,-0.5168,0.5168,False
code_generation / reordering,code_generation / surface_noise,0.1,1.0,-0.4168,0.6168,False
code_generation / reordering,factual_qa / context_injection,0.0,1.0,-0.5168,0.5168,False
code_generation / reordering,factual_qa / formatting,0.2,0.9909,-0.3168,0.7168,False
code_generation / reordering,factual_qa / paraphrase,0.2,0.9909,-0.3168,0.7168,False
code_generation / reordering,factual_qa / reordering,0.0,1.0,-0.5168,0.5168,False
code_generation / reordering,factual_qa / surface_noise,0.1,1.0,-0.4168,0.6168,False
code_generation / reordering,math_reasoning / context_injection,0.2,0.9909,-0.3168,0.7168,False
code_generation / reordering,math_reasoning / formatting,0.0,1.0,-0.5168,0.5168,False
code_generation / reordering,math_reasoning / paraphrase,0.3,0.7914,-0.2168,0.8168,False
code_generation / reordering,math_reasoning / reordering,0.2,0.9909,-0.3168,0.7168,False
code_generation / reordering,math_reasoning / surface_noise,0.1,1.0,-0.4168,0.6168,False
code_generation / surface_noise,factual_qa / context_injection,-0.1,1.0,-0.6168,0.4168,False
code_generation / surface_noise,factual_qa / formatting,0.1,1.0,-0.4168,0.6168,False
code_generation / surface_noise,factual_qa / paraphrase,0.1,1.0,-0.4168,0.6168,False
code_generation / surface_noise,factual_qa / reordering,-0.1,1.0,-0.6168,0.4168,False
code_generation / surface_noise,factual_qa / surface_noise,0.0,1.0,-0.5168,0.5168,False
code_generation / surface_noise,math_reasoning / context_injection,0.1,1.0,-0.4168,0.6168,False
code_generation / surface_noise,math_reasoning / formatting,-0.1,1.0,-0.6168,0.4168,False
code_generation / surface_noise,math_reasoning / paraphrase,0.2,0.9909,-0.3168,0.7168,False
code_generation / surface_noise,math_reasoning / reordering,0.1,1.0,-0.4168,0.6168,False
code_generation / surface_noise,math_reasoning / surface_noise,0.0,1.0,-0.5168,0.5168,False
factual_qa / context_injection,factual_qa / formatting,0.2,0.9909,-0.3168,0.7168,False
factual_qa / context_injection,factual_qa / paraphrase,0.2,0.9909,-0.3168,0.7168,False
factual_qa / context_injection,factual_qa / reordering,0.0,1.0,-0.5168,0.5168,False
factual_qa / context_injection,factual_qa / surface_noise,0.1,1.0,-0.4168,0.6168,False
factual_qa / context_injection,math_reasoning / context_injection,0.2,0.9909,-0.3168,0.7168,False
factual_qa / context_injection,math_reasoning / formatting,0.0,1.0,-0.5168,0.5168,False
factual_qa / context_injection,math_reasoning / paraphrase,0.3,0.7914,-0.2168,0.8168,False
factual_qa / context_injection,math_reasoning / reordering,0.2,0.9909,-0.3168,0.7168,False
factual_qa / context_injection,math_reasoning / surface_noise,0.1,1.0,-0.4168,0.6168,False
factual_qa / formatting,factual_qa / paraphrase,0.0,1.0,-0.5168,0.5168,False
factual_qa / formatting,factual_qa / reordering,-0.2,0.9909,-0.7168,0.3168,False
factual_qa / formatting,factual_qa / surface_noise,-0.1,1.0,-0.6168,0.4168,False
factual_qa / formatting,math_reasoning / context_injection,0.0,1.0,-0.5168,0.5168,False
factual_qa / formatting,math_reasoning / formatting,-0.2,0.9909,-0.7168,0.3168,False
factual_qa / formatting,math_reasoning / paraphrase,0.1,1.0,-0.4168,0.6168,False
factual_qa / formatting,math_reasoning / reordering,0.0,1.0,-0.5168,0.5168,False
factual_qa / formatting,math_reasoning / surface_noise,-0.1,1.0,-0.6168,0.4168,False
factual_qa / paraphrase,factual_qa / reordering,-0.2,0.9909,-0.7168,0.3168,False
factual_qa / paraphrase,factual_qa / surface_noise,-0.1,1.0,-0.6168,0.4168,False
factual_qa / paraphrase,math_reasoning / context_injection,0.0,1.0,-0.5168,0.5168,False
factual_qa / paraphrase,math_reasoning / formatting,-0.2,0.9909,-0.7168,0.3168,False
factual_qa / paraphrase,math_reasoning / paraphrase,0.1,1.0,-0.4168,0.6168,False
factual_qa / paraphrase,math_reasoning / reordering,0.0,1.0,-0.5168,0.5168,False
factual_qa / paraphrase,math_reasoning / surface_noise,-0.1,1.0,-0.6168,0.4168,False
factual_qa / reordering,factual_qa / surface_noise,0.1,1.0,-0.4168,0.6168,False
factual_qa / reordering,math_reasoning / context_injection,0.2,0.9909,-0.3168,0.7168,False
factual_qa / reordering,math_reasoning / formatting,0.0,1.0,-0.5168,0.5168,False
factual_qa / reordering,math_reasoning / paraphrase,0.3,0.7914,-0.2168,0.8168,False
factual_qa / reordering,math_reasoning / reordering,0.2,0.9909,-0.3168,0.7168,False
factual_qa / reordering,math_reasoning / surface_noise,0.1,1.0,-0.4168,0.6168,False
factual_qa / surface_noise,math_reasoning / context_injection,0.1,1.0,-0.4168,0.6168,False
factual_qa / surface_noise,math_reasoning / formatting,-0.1,1.0,-0.6168,0.4168,False
factual_qa / surface_noise,math_reasoning / paraphrase,0.2,0.9909,-0.3168,0.7168,False
factual_qa / surface_noise,math_reasoning / reordering,0.1,1.0,-0.4168,0.6168,False
factual_qa / surface_noise,math_reasoning / surface_noise,0.0,1.0,-0.5168,0.5168,False
