task,rank,perturbation,noise_corrected_drift,raw_perturbation_drift
factual_qa,1,paraphrase,0.12606038173043324,0.12606038173043327
factual_qa,2,surface_noise,1.8207848950790861e-07,1.8207848950790861e-07
factual_qa,3,reordering,0.0,0.0
factual_qa,4,formatting,0.0,0.0
factual_qa,5,context_injection,0.0,0.0
math_reasoning,1,context_injection,0.0030721344494911117,0.03187667888604749
math_reasoning,2,paraphrase,0.0004902847778758355,0.02702001047416236
math_reasoning,3,reordering,0.0,0.02696841294307127
math_reasoning,4,formatting,0.0,0.03351006950042035
math_reasoning,5,surface_noise,0.0,0.028180588319229444
code_generation,1,paraphrase,0.01180809095140786,0.032585338075752875
code_generation,2,reordering,0.0022101048340878084,0.025296218337732837
code_generation,3,formatting,0.0003014773045357617,0.0068575048605155065
code_generation,4,context_injection,0.0,0.04993751966636552
code_generation,5,surface_noise,0.0,0.0028996481849527154
open_ended_writing,1,context_injection,0.03684857808633957,0.0671389121016663
open_ended_writing,2,formatting,0.03355061937618214,0.052669764339474484
open_ended_writing,3,surface_noise,0.01604911425281371,0.030040759029733553
open_ended_writing,4,paraphrase,0.008749992719559372,0.03472235314332851
open_ended_writing,5,reordering,0.0,0.05764763696652106
