item_id,task_type,n_outputs,n_pairs,mean_within_prompt_similarity,sampling_noise_drift,similarity_metric
code_generation_135,code_generation,3,3,0.968205,0.031795,sentence-transformers/all-MiniLM-L6-v2
code_generation_35,code_generation,3,3,0.926818,0.073182,sentence-transformers/all-MiniLM-L6-v2
code_generation_62,code_generation,3,3,0.907676,0.092324,sentence-transformers/all-MiniLM-L6-v2
code_generation_70,code_generation,3,3,0.941454,0.058546,sentence-transformers/all-MiniLM-L6-v2
code_generation_73,code_generation,3,3,0.967609,0.032391,sentence-transformers/all-MiniLM-L6-v2
factual_qa_12706,factual_qa,3,3,0.978869,0.021131,sentence-transformers/all-MiniLM-L6-v2
factual_qa_12920,factual_qa,3,3,0.866308,0.133692,sentence-transformers/all-MiniLM-L6-v2
factual_qa_378,factual_qa,3,3,0.947652,0.052348,sentence-transformers/all-MiniLM-L6-v2
factual_qa_642,factual_qa,3,3,0.994506,0.005494,sentence-transformers/all-MiniLM-L6-v2
factual_qa_9317,factual_qa,3,3,0.960759,0.039241,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_400,math_reasoning,3,3,0.904491,0.095509,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4082,math_reasoning,3,3,0.952016,0.047984,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5521,math_reasoning,3,3,0.909604,0.090396,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5663,math_reasoning,3,3,0.954062,0.045938,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_7207,math_reasoning,3,3,0.978504,0.021496,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_13494,open_ended_writing,3,3,0.940477,0.059523,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_16116,open_ended_writing,3,3,0.763858,0.236142,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_30103,open_ended_writing,3,3,0.971879,0.028121,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_42203,open_ended_writing,3,3,0.901421,0.098579,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_50996,open_ended_writing,3,3,0.970686,0.029314,sentence-transformers/all-MiniLM-L6-v2
