item_id,task_type,perturbation_type,item_noise_baseline,task_noise_baseline,perturbation_similarity,noise_corrected_drift_item,noise_corrected_drift_task
code_001,code_generation,context_injection,0.904233,0.904233,0.700986,0.203247,0.203247
code_001,code_generation,formatting,0.904233,0.904233,0.920194,-0.015961,-0.015961
code_001,code_generation,paraphrasing,0.904233,0.904233,0.952116,-0.047884,-0.047884
code_001,code_generation,reordering,0.904233,0.904233,0.685025,0.219208,0.219208
code_001,code_generation,surface_noise,0.904233,0.904233,0.441273,0.462959,0.462959
fact_001,factual_qa,context_injection,0.820198,0.682175,0.835125,-0.014927,-0.15295
fact_001,factual_qa,formatting,0.820198,0.682175,0.887595,-0.067397,-0.20542
fact_001,factual_qa,paraphrasing,0.820198,0.682175,0.835125,-0.014927,-0.15295
fact_001,factual_qa,reordering,0.820198,0.682175,0.857628,-0.03743,-0.175453
fact_001,factual_qa,surface_noise,0.820198,0.682175,0.835125,-0.014927,-0.15295
fact_002,factual_qa,context_injection,0.544152,0.682175,0.554361,-0.01021,0.127813
fact_002,factual_qa,formatting,0.544152,0.682175,0.630336,-0.086184,0.051839
fact_002,factual_qa,paraphrasing,0.544152,0.682175,0.772076,-0.227924,-0.089901
fact_002,factual_qa,reordering,0.544152,0.682175,0.706311,-0.162159,-0.024136
fact_002,factual_qa,surface_noise,0.544152,0.682175,0.640546,-0.096394,0.041629
math_001,math_reasoning,context_injection,0.338252,0.518367,0.547487,-0.209235,-0.02912
math_001,math_reasoning,formatting,0.338252,0.518367,0.570183,-0.23193,-0.051816
math_001,math_reasoning,paraphrasing,0.338252,0.518367,0.580523,-0.242271,-0.062156
math_001,math_reasoning,reordering,0.338252,0.518367,0.525798,-0.187546,-0.007432
math_001,math_reasoning,surface_noise,0.338252,0.518367,0.256076,0.082176,0.262291
math_002,math_reasoning,context_injection,0.698482,0.518367,0.798988,-0.100506,-0.280621
math_002,math_reasoning,formatting,0.698482,0.518367,0.596975,0.101507,-0.078608
math_002,math_reasoning,paraphrasing,0.698482,0.518367,0.647228,0.051254,-0.128861
math_002,math_reasoning,reordering,0.698482,0.518367,0.596975,0.101507,-0.078608
math_002,math_reasoning,surface_noise,0.698482,0.518367,0.609773,0.088709,-0.091406
write_001,open_ended_writing,context_injection,0.559615,0.559615,0.495023,0.064592,0.064592
write_001,open_ended_writing,formatting,0.559615,0.559615,0.495023,0.064592,0.064592
write_001,open_ended_writing,paraphrasing,0.559615,0.559615,0.641818,-0.082204,-0.082204
write_001,open_ended_writing,reordering,0.559615,0.559615,0.70641,-0.146795,-0.146795
write_001,open_ended_writing,surface_noise,0.559615,0.559615,0.495023,0.064592,0.064592
