base_case_id,task,n_levels,spearman_strength_to_similarity,spearman_strength_to_corrected_drift,spearman_strength_to_abs_correctness_change,spearman_similarity_to_abs_correctness_change
rq2_dose_humaneval_01,code_generation,5,-0.3,0.11180339887498948,,
rq2_dose_humaneval_02,code_generation,5,-0.8,0.0,,
rq2_dose_humaneval_03,code_generation,5,-0.5642880936468347,0.5642880936468347,,
rq2_dose_humaneval_04,code_generation,5,-0.6668859288553503,0.0,0.0,-0.7254762501100117
rq2_dose_humaneval_05,code_generation,5,-0.8,0.8,,
rq2_dose_humaneval_06,code_generation,5,-0.9,1.0,0.5773502691896257,-0.8660254037844386
rq2_dose_humaneval_07,code_generation,5,-0.1,0.0,,
rq2_dose_humaneval_08,code_generation,5,-0.8207826816681233,0.5773502691896257,,
rq2_dose_humaneval_09,code_generation,5,-0.2,0.2,0.15389675281277312,-0.9746794344808964
rq2_dose_humaneval_10,code_generation,5,-0.7,0.7071067811865475,,
rq2_dose_humaneval_11,code_generation,5,-0.4,0.0,0.28867513459481287,0.28867513459481287
rq2_dose_humaneval_12,code_generation,5,-0.051298917604257706,0.051298917604257706,,
rq2_dose_longfact_01,long_factual_qa,5,-0.7,0.6668859288553503,,
rq2_dose_longfact_02,long_factual_qa,5,-0.2,0.5642880936468347,,
rq2_dose_longfact_03,long_factual_qa,5,-0.7,,,
rq2_dose_longfact_04,long_factual_qa,5,-0.5,0.35909242322980395,0.7071067811865475,-0.7071067811865475
rq2_dose_longfact_05,long_factual_qa,5,-1.0,0.872081599272381,0.9746794344808964,-0.9746794344808964
rq2_dose_longfact_06,long_factual_qa,5,-0.2,0.6668859288553503,0.7071067811865475,-0.7071067811865475
rq2_dose_longfact_07,long_factual_qa,5,-0.6,-0.22360679774997896,0.8944271909999159,-0.4472135954999579
rq2_dose_longfact_08,long_factual_qa,5,-1.0,0.4472135954999579,0.8660254037844386,-0.8660254037844386
rq2_dose_longfact_09,long_factual_qa,5,-0.6,0.7826237921249264,,
rq2_dose_longfact_10,long_factual_qa,5,-0.3,-0.35355339059327373,0.8944271909999159,-0.22360679774997896
rq2_dose_longfact_11,long_factual_qa,5,-0.7,0.6668859288553503,,
rq2_dose_longfact_12,long_factual_qa,5,-0.9,0.41039134083406165,0.7378647873726218,-0.9486832980505138
rq2_dose_math_01,math_reasoning,5,-0.3,-0.11180339887498948,-0.22360679774997896,-0.11180339887498948
rq2_dose_math_02,math_reasoning,5,-0.8,0.6708203932499369,0.7378647873726218,-0.7905694150420948
rq2_dose_math_03,math_reasoning,5,-0.9,0.7071067811865475,,
rq2_dose_math_04,math_reasoning,5,-0.5,0.11180339887498948,0.5797509043642028,-0.9486832980505138
rq2_dose_math_05,math_reasoning,5,-0.9,0.8,0.9486832980505138,-0.9486832980505138
rq2_dose_math_06,math_reasoning,5,-0.1,0.11180339887498948,0.22360679774997896,-0.6708203932499369
rq2_dose_math_07,math_reasoning,5,-0.3,0.7071067811865475,,
rq2_dose_math_08,math_reasoning,5,-0.1,0.35355339059327373,0.051298917604257706,-0.872081599272381
rq2_dose_math_09,math_reasoning,5,-0.6,-0.35355339059327373,0.8660254037844386,-0.28867513459481287
rq2_dose_math_10,math_reasoning,5,0.0,0.0,,
rq2_dose_math_11,math_reasoning,5,-0.7,0.7071067811865475,,
rq2_dose_math_12,math_reasoning,5,-0.5,0.7826237921249264,0.28867513459481287,-0.28867513459481287
rq2_dose_squad_01,factual_qa,5,-0.872081599272381,0.6708203932499369,,
rq2_dose_squad_02,factual_qa,5,0.15811388300841897,0.35355339059327373,,
rq2_dose_squad_03,factual_qa,5,-0.35909242322980395,,,
rq2_dose_squad_04,factual_qa,5,-0.4,-0.35355339059327373,,
rq2_dose_squad_05,factual_qa,5,0.0,,,
rq2_dose_squad_06,factual_qa,5,-0.4472135954999579,,,
rq2_dose_squad_07,factual_qa,5,-0.7826237921249264,0.35355339059327373,,
rq2_dose_squad_08,factual_qa,5,-0.6,0.7071067811865475,,
rq2_dose_squad_09,factual_qa,5,-1.0,0.6668859288553503,,
rq2_dose_squad_10,factual_qa,5,-0.7071067811865475,0.7071067811865475,,
rq2_dose_squad_11,factual_qa,5,-0.4,0.9746794344808964,,
rq2_dose_squad_12,factual_qa,5,-0.7,0.6668859288553503,,
