group1,group2,meandiff,p-adj,lower,upper,reject
code_generation / context_injection,code_generation / formatting,0.1333,0.9981,-0.2681,0.5348,False
code_generation / context_injection,code_generation / paraphrase,0.0333,1.0,-0.3681,0.4348,False
code_generation / context_injection,code_generation / reordering,-0.1,0.9999,-0.5014,0.3014,False
code_generation / context_injection,code_generation / surface_noise,-0.0333,1.0,-0.4348,0.3681,False
code_generation / context_injection,factual_qa / context_injection,-0.0333,1.0,-0.4348,0.3681,False
code_generation / context_injection,factual_qa / formatting,-0.0667,1.0,-0.4681,0.3348,False
code_generation / context_injection,factual_qa / paraphrase,-0.0667,1.0,-0.4681,0.3348,False
code_generation / context_injection,factual_qa / reordering,-0.1333,0.9981,-0.5348,0.2681,False
code_generation / context_injection,factual_qa / surface_noise,-0.0667,1.0,-0.4681,0.3348,False
code_generation / context_injection,math_reasoning / context_injection,0.0,1.0,-0.4014,0.4014,False
code_generation / context_injection,math_reasoning / formatting,0.1,0.9999,-0.3014,0.5014,False
code_generation / context_injection,math_reasoning / paraphrase,0.1,0.9999,-0.3014,0.5014,False
code_generation / context_injection,math_reasoning / reordering,0.1,0.9999,-0.3014,0.5014,False
code_generation / context_injection,math_reasoning / surface_noise,0.1667,0.9826,-0.2348,0.5681,False
code_generation / formatting,code_generation / paraphrase,-0.1,0.9999,-0.5014,0.3014,False
code_generation / formatting,code_generation / reordering,-0.2333,0.7898,-0.6348,0.1681,False
code_generation / formatting,code_generation / surface_noise,-0.1667,0.9826,-0.5681,0.2348,False
code_generation / formatting,factual_qa / context_injection,-0.1667,0.9826,-0.5681,0.2348,False
code_generation / formatting,factual_qa / formatting,-0.2,0.9228,-0.6014,0.2014,False
code_generation / formatting,factual_qa / paraphrase,-0.2,0.9228,-0.6014,0.2014,False
code_generation / formatting,factual_qa / reordering,-0.2667,0.5958,-0.6681,0.1348,False
code_generation / formatting,factual_qa / surface_noise,-0.2,0.9228,-0.6014,0.2014,False
code_generation / formatting,math_reasoning / context_injection,-0.1333,0.9981,-0.5348,0.2681,False
code_generation / formatting,math_reasoning / formatting,-0.0333,1.0,-0.4348,0.3681,False
code_generation / formatting,math_reasoning / paraphrase,-0.0333,1.0,-0.4348,0.3681,False
code_generation / formatting,math_reasoning / reordering,-0.0333,1.0,-0.4348,0.3681,False
code_generation / formatting,math_reasoning / surface_noise,0.0333,1.0,-0.3681,0.4348,False
code_generation / paraphrase,code_generation / reordering,-0.1333,0.9981,-0.5348,0.2681,False
code_generation / paraphrase,code_generation / surface_noise,-0.0667,1.0,-0.4681,0.3348,False
code_generation / paraphrase,factual_qa / context_injection,-0.0667,1.0,-0.4681,0.3348,False
code_generation / paraphrase,factual_qa / formatting,-0.1,0.9999,-0.5014,0.3014,False
code_generation / paraphrase,factual_qa / paraphrase,-0.1,0.9999,-0.5014,0.3014,False
code_generation / paraphrase,factual_qa / reordering,-0.1667,0.9826,-0.5681,0.2348,False
code_generation / paraphrase,factual_qa / surface_noise,-0.1,0.9999,-0.5014,0.3014,False
code_generation / paraphrase,math_reasoning / context_injection,-0.0333,1.0,-0.4348,0.3681,False
code_generation / paraphrase,math_reasoning / formatting,0.0667,1.0,-0.3348,0.4681,False
code_generation / paraphrase,math_reasoning / paraphrase,0.0667,1.0,-0.3348,0.4681,False
code_generation / paraphrase,math_reasoning / reordering,0.0667,1.0,-0.3348,0.4681,False
code_generation / paraphrase,math_reasoning / surface_noise,0.1333,0.9981,-0.2681,0.5348,False
code_generation / reordering,code_generation / surface_noise,0.0667,1.0,-0.3348,0.4681,False
code_generation / reordering,factual_qa / context_injection,0.0667,1.0,-0.3348,0.4681,False
code_generation / reordering,factual_qa / formatting,0.0333,1.0,-0.3681,0.4348,False
code_generation / reordering,factual_qa / paraphrase,0.0333,1.0,-0.3681,0.4348,False
code_generation / reordering,factual_qa / reordering,-0.0333,1.0,-0.4348,0.3681,False
code_generation / reordering,factual_qa / surface_noise,0.0333,1.0,-0.3681,0.4348,False
code_generation / reordering,math_reasoning / context_injection,0.1,0.9999,-0.3014,0.5014,False
code_generation / reordering,math_reasoning / formatting,0.2,0.9228,-0.2014,0.6014,False
code_generation / reordering,math_reasoning / paraphrase,0.2,0.9228,-0.2014,0.6014,False
code_generation / reordering,math_reasoning / reordering,0.2,0.9228,-0.2014,0.6014,False
code_generation / reordering,math_reasoning / surface_noise,0.2667,0.5958,-0.1348,0.6681,False
code_generation / surface_noise,factual_qa / context_injection,0.0,1.0,-0.4014,0.4014,False
code_generation / surface_noise,factual_qa / formatting,-0.0333,1.0,-0.4348,0.3681,False
code_generation / surface_noise,factual_qa / paraphrase,-0.0333,1.0,-0.4348,0.3681,False
code_generation / surface_noise,factual_qa / reordering,-0.1,0.9999,-0.5014,0.3014,False
code_generation / surface_noise,factual_qa / surface_noise,-0.0333,1.0,-0.4348,0.3681,False
code_generation / surface_noise,math_reasoning / context_injection,0.0333,1.0,-0.3681,0.4348,False
code_generation / surface_noise,math_reasoning / formatting,0.1333,0.9981,-0.2681,0.5348,False
code_generation / surface_noise,math_reasoning / paraphrase,0.1333,0.9981,-0.2681,0.5348,False
code_generation / surface_noise,math_reasoning / reordering,0.1333,0.9981,-0.2681,0.5348,False
code_generation / surface_noise,math_reasoning / surface_noise,0.2,0.9228,-0.2014,0.6014,False
factual_qa / context_injection,factual_qa / formatting,-0.0333,1.0,-0.4348,0.3681,False
factual_qa / context_injection,factual_qa / paraphrase,-0.0333,1.0,-0.4348,0.3681,False
factual_qa / context_injection,factual_qa / reordering,-0.1,0.9999,-0.5014,0.3014,False
factual_qa / context_injection,factual_qa / surface_noise,-0.0333,1.0,-0.4348,0.3681,False
factual_qa / context_injection,math_reasoning / context_injection,0.0333,1.0,-0.3681,0.4348,False
factual_qa / context_injection,math_reasoning / formatting,0.1333,0.9981,-0.2681,0.5348,False
factual_qa / context_injection,math_reasoning / paraphrase,0.1333,0.9981,-0.2681,0.5348,False
factual_qa / context_injection,math_reasoning / reordering,0.1333,0.9981,-0.2681,0.5348,False
factual_qa / context_injection,math_reasoning / surface_noise,0.2,0.9228,-0.2014,0.6014,False
factual_qa / formatting,factual_qa / paraphrase,0.0,1.0,-0.4014,0.4014,False
factual_qa / formatting,factual_qa / reordering,-0.0667,1.0,-0.4681,0.3348,False
factual_qa / formatting,factual_qa / surface_noise,0.0,1.0,-0.4014,0.4014,False
factual_qa / formatting,math_reasoning / context_injection,0.0667,1.0,-0.3348,0.4681,False
factual_qa / formatting,math_reasoning / formatting,0.1667,0.9826,-0.2348,0.5681,False
factual_qa / formatting,math_reasoning / paraphrase,0.1667,0.9826,-0.2348,0.5681,False
factual_qa / formatting,math_reasoning / reordering,0.1667,0.9826,-0.2348,0.5681,False
factual_qa / formatting,math_reasoning / surface_noise,0.2333,0.7898,-0.1681,0.6348,False
factual_qa / paraphrase,factual_qa / reordering,-0.0667,1.0,-0.4681,0.3348,False
factual_qa / paraphrase,factual_qa / surface_noise,0.0,1.0,-0.4014,0.4014,False
factual_qa / paraphrase,math_reasoning / context_injection,0.0667,1.0,-0.3348,0.4681,False
factual_qa / paraphrase,math_reasoning / formatting,0.1667,0.9826,-0.2348,0.5681,False
factual_qa / paraphrase,math_reasoning / paraphrase,0.1667,0.9826,-0.2348,0.5681,False
factual_qa / paraphrase,math_reasoning / reordering,0.1667,0.9826,-0.2348,0.5681,False
factual_qa / paraphrase,math_reasoning / surface_noise,0.2333,0.7898,-0.1681,0.6348,False
factual_qa / reordering,factual_qa / surface_noise,0.0667,1.0,-0.3348,0.4681,False
factual_qa / reordering,math_reasoning / context_injection,0.1333,0.9981,-0.2681,0.5348,False
factual_qa / reordering,math_reasoning / formatting,0.2333,0.7898,-0.1681,0.6348,False
factual_qa / reordering,math_reasoning / paraphrase,0.2333,0.7898,-0.1681,0.6348,False
factual_qa / reordering,math_reasoning / reordering,0.2333,0.7898,-0.1681,0.6348,False
factual_qa / reordering,math_reasoning / surface_noise,0.3,0.3913,-0.1014,0.7014,False
factual_qa / surface_noise,math_reasoning / context_injection,0.0667,1.0,-0.3348,0.4681,False
factual_qa / surface_noise,math_reasoning / formatting,0.1667,0.9826,-0.2348,0.5681,False
factual_qa / surface_noise,math_reasoning / paraphrase,0.1667,0.9826,-0.2348,0.5681,False
factual_qa / surface_noise,math_reasoning / reordering,0.1667,0.9826,-0.2348,0.5681,False
factual_qa / surface_noise,math_reasoning / surface_noise,0.2333,0.7898,-0.1681,0.6348,False
