case_id,task,dataset,perturbation,clean_single_correct,perturbed_single_correct,single_sample_pdr,clean_mean_correctness,perturbed_mean_correctness,repeated_sampling_pdr,correctness_sample_noise
promptrobust_pdr_paraphrase_math_01,math_reasoning,MATH,paraphrase,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_paraphrase_math_02,math_reasoning,MATH,paraphrase,0,1,0.0,0.3333333333333333,1,-2.0000000000000004,0.23570226039551584
promptrobust_pdr_paraphrase_math_03,math_reasoning,MATH,paraphrase,0,0,0.0,0,0,0.0,0.0
promptrobust_pdr_paraphrase_math_04,math_reasoning,MATH,paraphrase,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_paraphrase_math_05,math_reasoning,MATH,paraphrase,1,1,0.0,0.6666666666666666,1,-0.5000000000000001,0.23570226039551584
promptrobust_pdr_paraphrase_math_06,math_reasoning,MATH,paraphrase,1,1,0.0,1,0.6666666666666666,0.33333333333333337,0.23570226039551584
promptrobust_pdr_paraphrase_math_07,math_reasoning,MATH,paraphrase,0,0,0.0,0,0,0.0,0.0
promptrobust_pdr_paraphrase_math_08,math_reasoning,MATH,paraphrase,0,0,0.0,0,0,0.0,0.0
promptrobust_pdr_paraphrase_math_09,math_reasoning,MATH,paraphrase,1,0,1.0,0.6666666666666666,0.3333333333333333,0.5,0.4714045207910317
promptrobust_pdr_paraphrase_math_10,math_reasoning,MATH,paraphrase,0,0,0.0,0,0,0.0,0.0
promptrobust_pdr_paraphrase_math_11,math_reasoning,MATH,paraphrase,0,0,0.0,0,0,0.0,0.0
promptrobust_pdr_paraphrase_math_12,math_reasoning,MATH,paraphrase,0,1,0.0,0,1,0.0,0.0
promptrobust_pdr_paraphrase_math_13,math_reasoning,MATH,paraphrase,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_paraphrase_math_14,math_reasoning,MATH,paraphrase,1,1,0.0,0.3333333333333333,1,-2.0000000000000004,0.23570226039551584
promptrobust_pdr_paraphrase_math_15,math_reasoning,MATH,paraphrase,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_paraphrase_math_16,math_reasoning,MATH,paraphrase,0,0,0.0,0,0,0.0,0.0
promptrobust_pdr_paraphrase_math_17,math_reasoning,MATH,paraphrase,0,1,0.0,0,1,0.0,0.0
promptrobust_pdr_paraphrase_math_18,math_reasoning,MATH,paraphrase,0,1,0.0,0.3333333333333333,0.6666666666666666,-1.0,0.4714045207910317
promptrobust_pdr_paraphrase_math_19,math_reasoning,MATH,paraphrase,1,0,1.0,1,0.3333333333333333,0.6666666666666667,0.23570226039551584
promptrobust_pdr_paraphrase_math_20,math_reasoning,MATH,paraphrase,0,1,0.0,0,1,0.0,0.0
promptrobust_pdr_paraphrase_math_21,math_reasoning,MATH,paraphrase,0,1,0.0,0.3333333333333333,0.3333333333333333,0.0,0.4714045207910317
promptrobust_pdr_paraphrase_math_22,math_reasoning,MATH,paraphrase,0,0,0.0,0,0.3333333333333333,0.0,0.23570226039551584
promptrobust_pdr_paraphrase_math_23,math_reasoning,MATH,paraphrase,1,1,0.0,0.3333333333333333,1,-2.0000000000000004,0.23570226039551584
promptrobust_pdr_paraphrase_math_24,math_reasoning,MATH,paraphrase,0,0,0.0,0,0,0.0,0.0
promptrobust_pdr_paraphrase_math_25,math_reasoning,MATH,paraphrase,0,1,0.0,0,1,0.0,0.0
