item_id,task_type,perturbation_type,input_similarity,input_drift,output_similarity,output_drift,baseline_similarity,noise_corrected_drift,similarity_metric
code_generation_107,code_generation,context_injection,0.915427,0.084573,0.929441,0.070559,0.922331,-0.00711,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,formatting_changes,0.968434,0.031566,0.938773,0.061227,0.922331,-0.016442,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,paraphrasing,0.962665,0.037335,0.934929,0.065071,0.922331,-0.012598,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,reordering,0.990191,0.009809,0.930383,0.069617,0.922331,-0.008052,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,surface_noise,0.972297,0.027703,0.939866,0.060134,0.922331,-0.017535,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,context_injection,0.971015,0.028985,0.885976,0.114024,0.902029,0.016053,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,formatting_changes,0.991376,0.008624,0.881598,0.118402,0.902029,0.020431,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,paraphrasing,0.81225,0.18775,0.755246,0.244754,0.902029,0.146783,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,reordering,0.984115,0.015885,0.917311,0.082689,0.902029,-0.015282,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,surface_noise,0.993654,0.006346,0.873073,0.126927,0.902029,0.028956,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,context_injection,0.97431,0.02569,0.973161,0.026839,0.968763,-0.004398,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,formatting_changes,0.981628,0.018372,0.936231,0.063769,0.968763,0.032532,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,paraphrasing,0.967442,0.032558,0.923102,0.076898,0.968763,0.045661,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,reordering,0.959178,0.040822,0.932798,0.067202,0.968763,0.035965,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,surface_noise,0.979323,0.020677,0.965756,0.034244,0.968763,0.003007,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,context_injection,0.911803,0.088197,0.945272,0.054728,0.946336,0.001064,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,formatting_changes,0.977846,0.022154,0.939917,0.060083,0.946336,0.006419,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,paraphrasing,0.920679,0.079321,0.898029,0.101971,0.946336,0.048307,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,reordering,0.977178,0.022822,0.934039,0.065961,0.946336,0.012297,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,surface_noise,0.991357,0.008643,0.942497,0.057503,0.946336,0.003839,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,context_injection,0.892824,0.107176,0.959815,0.040185,0.948262,-0.011553,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,formatting_changes,0.972771,0.027229,0.943949,0.056051,0.948262,0.004313,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,paraphrasing,0.899356,0.100644,0.935866,0.064134,0.948262,0.012396,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,reordering,0.980981,0.019019,0.938492,0.061508,0.948262,0.009769,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,surface_noise,0.955261,0.044739,0.955229,0.044771,0.948262,-0.006968,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,context_injection,0.907994,0.092006,0.920211,0.079789,0.930535,0.010324,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,formatting_changes,0.966894,0.033106,0.931956,0.068044,0.930535,-0.001421,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,paraphrasing,0.931829,0.068171,0.907165,0.092835,0.930535,0.023371,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,reordering,0.968363,0.031637,0.954183,0.045817,0.930535,-0.023647,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,surface_noise,0.99748,0.00252,0.944784,0.055216,0.930535,-0.014249,sentence-transformers/all-MiniLM-L6-v2
code_generation_18,code_generation,context_injection,0.886898,0.113102,0.950111,0.049889,0.945752,-0.004359,sentence-transformers/all-MiniLM-L6-v2
code_generation_18,code_generation,formatting_changes,0.954581,0.045419,0.934771,0.065229,0.945752,0.010981,sentence-transformers/all-MiniLM-L6-v2
code_generation_18,code_generation,paraphrasing,0.864117,0.135883,0.881702,0.118298,0.945752,0.06405,sentence-transformers/all-MiniLM-L6-v2
code_generation_18,code_generation,reordering,0.990839,0.009161,0.909079,0.090921,0.945752,0.036674,sentence-transformers/all-MiniLM-L6-v2
code_generation_18,code_generation,surface_noise,0.989471,0.010529,0.945939,0.054061,0.945752,-0.000187,sentence-transformers/all-MiniLM-L6-v2
code_generation_25,code_generation,context_injection,0.862805,0.137195,0.907371,0.092629,0.911181,0.00381,sentence-transformers/all-MiniLM-L6-v2
code_generation_25,code_generation,formatting_changes,0.975945,0.024055,0.91294,0.08706,0.911181,-0.001759,sentence-transformers/all-MiniLM-L6-v2
code_generation_25,code_generation,paraphrasing,0.933416,0.066584,0.899301,0.100699,0.911181,0.01188,sentence-transformers/all-MiniLM-L6-v2
code_generation_25,code_generation,reordering,0.982011,0.017989,0.913145,0.086855,0.911181,-0.001964,sentence-transformers/all-MiniLM-L6-v2
code_generation_25,code_generation,surface_noise,0.995945,0.004055,0.904935,0.095065,0.911181,0.006246,sentence-transformers/all-MiniLM-L6-v2
code_generation_49,code_generation,context_injection,0.952623,0.047377,0.941295,0.058705,0.962419,0.021124,sentence-transformers/all-MiniLM-L6-v2
code_generation_49,code_generation,formatting_changes,0.956437,0.043563,0.947601,0.052399,0.962419,0.014817,sentence-transformers/all-MiniLM-L6-v2
code_generation_49,code_generation,paraphrasing,0.943681,0.056319,0.954966,0.045034,0.962419,0.007452,sentence-transformers/all-MiniLM-L6-v2
code_generation_49,code_generation,reordering,0.97977,0.02023,0.951078,0.048922,0.962419,0.01134,sentence-transformers/all-MiniLM-L6-v2
code_generation_49,code_generation,surface_noise,0.987976,0.012024,0.94111,0.05889,0.962419,0.021308,sentence-transformers/all-MiniLM-L6-v2
code_generation_75,code_generation,context_injection,0.874738,0.125262,0.883124,0.116876,0.87892,-0.004203,sentence-transformers/all-MiniLM-L6-v2
code_generation_75,code_generation,formatting_changes,0.954602,0.045398,0.900714,0.099286,0.87892,-0.021793,sentence-transformers/all-MiniLM-L6-v2
code_generation_75,code_generation,paraphrasing,0.936909,0.063091,0.880618,0.119382,0.87892,-0.001698,sentence-transformers/all-MiniLM-L6-v2
code_generation_75,code_generation,reordering,0.96172,0.03828,0.859124,0.140876,0.87892,0.019797,sentence-transformers/all-MiniLM-L6-v2
code_generation_75,code_generation,surface_noise,0.995683,0.004317,0.886058,0.113942,0.87892,-0.007138,sentence-transformers/all-MiniLM-L6-v2
factual_qa_10908,factual_qa,context_injection,0.974487,0.025513,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_10908,factual_qa,formatting_changes,0.986807,0.013193,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_10908,factual_qa,paraphrasing,0.697568,0.302432,0.901844,0.098156,1.0,0.098156,sentence-transformers/all-MiniLM-L6-v2
factual_qa_10908,factual_qa,reordering,0.960723,0.039277,0.804998,0.195002,1.0,0.195003,sentence-transformers/all-MiniLM-L6-v2
factual_qa_10908,factual_qa,surface_noise,0.995013,0.004987,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_2289,factual_qa,context_injection,0.974109,0.025891,0.975822,0.024178,0.97859,0.002768,sentence-transformers/all-MiniLM-L6-v2
factual_qa_2289,factual_qa,formatting_changes,0.989304,0.010696,0.971533,0.028467,0.97859,0.007057,sentence-transformers/all-MiniLM-L6-v2
factual_qa_2289,factual_qa,paraphrasing,0.592475,0.407525,0.882315,0.117685,0.97859,0.096274,sentence-transformers/all-MiniLM-L6-v2
factual_qa_2289,factual_qa,reordering,0.956572,0.043428,0.945601,0.054399,0.97859,0.032989,sentence-transformers/all-MiniLM-L6-v2
factual_qa_2289,factual_qa,surface_noise,0.996267,0.003733,0.976322,0.023678,0.97859,0.002268,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3373,factual_qa,context_injection,0.964833,0.035167,0.998869,0.001131,0.998385,-0.000483,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3373,factual_qa,formatting_changes,0.97706,0.02294,0.998708,0.001292,0.998385,-0.000323,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3373,factual_qa,paraphrasing,0.77817,0.22183,0.895484,0.104516,0.998385,0.102901,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3373,factual_qa,reordering,0.973735,0.026265,0.999193,0.000807,0.998385,-0.000807,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3373,factual_qa,surface_noise,0.995826,0.004174,0.996129,0.003871,0.998385,0.002257,sentence-transformers/all-MiniLM-L6-v2
factual_qa_4029,factual_qa,context_injection,0.985937,0.014063,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_4029,factual_qa,formatting_changes,0.985909,0.014091,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_4029,factual_qa,paraphrasing,0.884132,0.115868,0.844257,0.155743,1.0,0.155743,sentence-transformers/all-MiniLM-L6-v2
factual_qa_4029,factual_qa,reordering,0.972358,0.027642,0.974059,0.025941,1.0,0.025941,sentence-transformers/all-MiniLM-L6-v2
factual_qa_4029,factual_qa,surface_noise,0.995077,0.004923,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6353,factual_qa,context_injection,0.975729,0.024271,0.94958,0.05042,0.952329,0.002749,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6353,factual_qa,formatting_changes,0.989283,0.010717,0.912464,0.087536,0.952329,0.039865,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6353,factual_qa,paraphrasing,0.823725,0.176275,0.874489,0.125511,0.952329,0.07784,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6353,factual_qa,reordering,0.976455,0.023545,0.924451,0.075549,0.952329,0.027878,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6353,factual_qa,surface_noise,0.993059,0.006941,0.927965,0.072035,0.952329,0.024364,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6460,factual_qa,context_injection,0.975407,0.024593,0.996534,0.003466,0.996534,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6460,factual_qa,formatting_changes,0.985993,0.014007,0.996765,0.003235,0.996534,-0.000231,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6460,factual_qa,paraphrasing,0.455379,0.544621,0.92966,0.07034,0.996534,0.066873,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6460,factual_qa,reordering,0.944207,0.055793,0.996534,0.003466,0.996534,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6460,factual_qa,surface_noise,0.997017,0.002983,0.996996,0.003004,0.996534,-0.000462,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7525,factual_qa,context_injection,0.98538,0.01462,0.838807,0.161193,0.828729,-0.010078,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7525,factual_qa,formatting_changes,0.993546,0.006454,0.799936,0.200064,0.828729,0.028792,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7525,factual_qa,paraphrasing,0.898856,0.101144,0.489419,0.510581,0.828729,0.339309,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7525,factual_qa,reordering,0.979635,0.020365,0.777963,0.222037,0.828729,0.050765,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7525,factual_qa,surface_noise,0.997659,0.002341,0.86955,0.13045,0.828729,-0.040822,sentence-transformers/all-MiniLM-L6-v2
factual_qa_800,factual_qa,context_injection,0.919056,0.080944,0.864031,0.135969,0.865765,0.001734,sentence-transformers/all-MiniLM-L6-v2
