item_id,task_type,n_outputs,n_pairs,mean_within_prompt_similarity,sampling_noise_drift,pairwise_similarities
code_generation_135,code_generation,3,3,0.941327,0.058673,0.931058;0.968578;0.924346
code_generation_35,code_generation,3,3,0.861084,0.138916,0.815467;0.969779;0.798005
code_generation_62,code_generation,3,3,0.897541,0.102459,0.884376;0.920647;0.887599
code_generation_70,code_generation,3,3,0.816155,0.183845,0.746293;0.837605;0.864567
code_generation_73,code_generation,3,3,0.889681,0.110319,0.881211;0.866001;0.92183
factual_qa_12706,factual_qa,3,3,0.857075,0.142925,0.793083;0.910616;0.867528
factual_qa_12920,factual_qa,3,3,0.949247,0.050753,0.92387;1.0;0.92387
factual_qa_378,factual_qa,3,3,0.845953,0.154047,0.768929;0.768929;1.0
factual_qa_642,factual_qa,3,3,1.0,0.0,1.0;1.0;1.0
factual_qa_9317,factual_qa,3,3,0.887057,0.112943,0.880665;0.914482;0.866025
math_reasoning_400,math_reasoning,3,3,0.912666,0.087334,0.910081;0.915753;0.912165
math_reasoning_4082,math_reasoning,3,3,0.948578,0.051422,0.946414;0.958437;0.940882
math_reasoning_5521,math_reasoning,3,3,0.790529,0.209471,0.703491;0.723375;0.944722
math_reasoning_5663,math_reasoning,3,3,0.969169,0.030831,0.971775;0.957277;0.978456
math_reasoning_7207,math_reasoning,3,3,0.913305,0.086695,0.919204;0.880954;0.939757
open_ended_writing_13494,open_ended_writing,3,3,0.797845,0.202155,0.800051;0.78919;0.804295
open_ended_writing_16116,open_ended_writing,3,3,0.801758,0.198242,0.778636;0.801645;0.824993
open_ended_writing_30103,open_ended_writing,3,3,0.786821,0.213179,0.739574;0.744387;0.876501
open_ended_writing_42203,open_ended_writing,3,3,0.804909,0.195091,0.820569;0.771105;0.823054
open_ended_writing_50996,open_ended_writing,3,3,0.933333,0.066667,0.9;0.933333;0.966667
