item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,original_performance,perturbed_performance,absolute_performance_change,pdr,performance_dropped,baseline_similarity,perturbation_similarity,noise_corrected_drift,similarity_metric
code_generation_0,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.939882,0.940725,-0.000843,sentence-transformers/all-MiniLM-L6-v2
code_generation_0,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.939882,0.927021,0.012860,sentence-transformers/all-MiniLM-L6-v2
code_generation_0,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false,0.939882,0.920740,0.019141,sentence-transformers/all-MiniLM-L6-v2
code_generation_0,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.939882,0.933082,0.006800,sentence-transformers/all-MiniLM-L6-v2
code_generation_0,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.939882,0.935101,0.004781,sentence-transformers/all-MiniLM-L6-v2
code_generation_1,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.943097,0.928562,0.014536,sentence-transformers/all-MiniLM-L6-v2
code_generation_1,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.943097,0.931570,0.011528,sentence-transformers/all-MiniLM-L6-v2
code_generation_1,code_generation,paraphrasing,5,5,1.000000,0.800000,0.200000,0.200000,true,0.943097,0.886795,0.056303,sentence-transformers/all-MiniLM-L6-v2
code_generation_1,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.943097,0.907381,0.035716,sentence-transformers/all-MiniLM-L6-v2
code_generation_1,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.943097,0.918674,0.024423,sentence-transformers/all-MiniLM-L6-v2
code_generation_10,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.934356,0.927247,0.007109,sentence-transformers/all-MiniLM-L6-v2
code_generation_10,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.934356,0.939116,-0.004760,sentence-transformers/all-MiniLM-L6-v2
code_generation_10,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false,0.934356,0.937200,-0.002844,sentence-transformers/all-MiniLM-L6-v2
code_generation_10,code_generation,reordering,5,5,1.000000,0.800000,0.200000,0.200000,true,0.934356,0.911286,0.023070,sentence-transformers/all-MiniLM-L6-v2
code_generation_10,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.934356,0.932539,0.001817,sentence-transformers/all-MiniLM-L6-v2
code_generation_100,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.947234,0.950576,-0.003342,sentence-transformers/all-MiniLM-L6-v2
code_generation_100,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.947234,0.958594,-0.011360,sentence-transformers/all-MiniLM-L6-v2
code_generation_100,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false,0.947234,0.943451,0.003783,sentence-transformers/all-MiniLM-L6-v2
code_generation_100,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.947234,0.944255,0.002979,sentence-transformers/all-MiniLM-L6-v2
code_generation_100,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.947234,0.954964,-0.007730,sentence-transformers/all-MiniLM-L6-v2
code_generation_101,code_generation,context_injection,5,5,0.800000,0.400000,0.400000,0.500000,true,0.948012,0.951603,-0.003591,sentence-transformers/all-MiniLM-L6-v2
code_generation_101,code_generation,formatting_changes,5,5,0.800000,0.000000,0.800000,1.000000,true,0.948012,0.955964,-0.007953,sentence-transformers/all-MiniLM-L6-v2
code_generation_101,code_generation,paraphrasing,5,5,0.800000,0.000000,0.800000,1.000000,true,0.948012,0.921803,0.026209,sentence-transformers/all-MiniLM-L6-v2
code_generation_101,code_generation,reordering,5,5,0.800000,0.200000,0.600000,0.750000,true,0.948012,0.937360,0.010652,sentence-transformers/all-MiniLM-L6-v2
code_generation_101,code_generation,surface_noise,5,5,0.800000,0.600000,0.200000,0.250000,true,0.948012,0.958658,-0.010647,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.969638,0.958196,0.011442,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,formatting_changes,5,5,1.000000,0.800000,0.200000,0.200000,true,0.969638,0.962799,0.006839,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false,0.969638,0.959571,0.010066,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.969638,0.965205,0.004433,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,surface_noise,5,5,1.000000,0.600000,0.400000,0.400000,true,0.969638,0.962440,0.007198,sentence-transformers/all-MiniLM-L6-v2
code_generation_103,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.959724,0.957790,0.001934,sentence-transformers/all-MiniLM-L6-v2
code_generation_103,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.959724,0.964751,-0.005027,sentence-transformers/all-MiniLM-L6-v2
code_generation_103,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false,0.959724,0.967014,-0.007289,sentence-transformers/all-MiniLM-L6-v2
code_generation_103,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.959724,0.953104,0.006620,sentence-transformers/all-MiniLM-L6-v2
code_generation_103,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.959724,0.964299,-0.004574,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.960793,0.961738,-0.000945,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.960793,0.959872,0.000921,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false,0.960793,0.960657,0.000136,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.960793,0.946154,0.014639,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,surface_noise,5,5,1.000000,1.000000,0.000000,0.000000,false,0.960793,0.962459,-0.001666,sentence-transformers/all-MiniLM-L6-v2
code_generation_105,code_generation,context_injection,5,5,1.000000,1.000000,0.000000,0.000000,false,0.916441,0.936099,-0.019658,sentence-transformers/all-MiniLM-L6-v2
code_generation_105,code_generation,formatting_changes,5,5,1.000000,1.000000,0.000000,0.000000,false,0.916441,0.922122,-0.005681,sentence-transformers/all-MiniLM-L6-v2
code_generation_105,code_generation,paraphrasing,5,5,1.000000,1.000000,0.000000,0.000000,false,0.916441,0.925509,-0.009069,sentence-transformers/all-MiniLM-L6-v2
code_generation_105,code_generation,reordering,5,5,1.000000,1.000000,0.000000,0.000000,false,0.916441,0.931645,-0.015204,sentence-transformers/all-MiniLM-L6-v2
