task,dataset,perturbation,n,mean_noise_corrected_drift,mean_raw_perturbation_drift,mean_abs_repeated_pass_rate_change,mean_repeated_pass_rate_drop,mean_repeated_sampling_pdr,share_harmful_correctness_drop,share_correctness_changed
code_generation,HumanEval,context_injection,10,0.012051489439109794,0.04691332394419701,0.13333333333333333,-0.06666666666666667,-1.1102230246251566e-17,0.1,0.3
code_generation,HumanEval,formatting,10,0.05571620005770399,0.08887326447438593,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.3,0.3
code_generation,HumanEval,paraphrase,10,0.020314727058316603,0.034668353076023,0.16666666666666669,0.033333333333333326,-0.10000000000000005,0.1,0.2
code_generation,HumanEval,reordering,10,0.00015525369060355888,0.024400850310595662,0.03333333333333334,-0.03333333333333334,-0.05000000000000001,0.0,0.1
code_generation,HumanEval,surface_noise,10,0.018261157426513,0.04952859879748967,0.1,0.1,0.1,0.1,0.1
factual_qa,SQuAD V2,context_injection,10,0.0034375604920426745,0.00849625831462331,0.09999999999999999,-0.09999999999999999,-0.1,0.0,0.2
factual_qa,SQuAD V2,formatting,10,0.00015680478698092414,0.00889150540914696,0.06666666666666667,0.06666666666666667,0.2,0.2,0.2
factual_qa,SQuAD V2,paraphrase,10,0.04164881861829575,0.050570897744501055,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.2,0.2
factual_qa,SQuAD V2,reordering,10,0.00015675464911650284,0.0001567546491165528,0.0,0.0,0.0,0.0,0.0
factual_qa,SQuAD V2,surface_noise,10,0.001118889262455284,0.01609611848032913,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.1,0.1
math_reasoning,MATH,context_injection,10,0.001657370539201995,0.0471468903473264,0.13333333333333333,0.0,-0.016666666666666673,0.2,0.4
math_reasoning,MATH,formatting,10,0.011470084240593424,0.05453833945643519,0.23333333333333334,-0.23333333333333334,-0.5000000000000001,0.0,0.4
math_reasoning,MATH,paraphrase,10,0.002761232709001444,0.050227826910914666,0.23333333333333334,0.03333333333333334,0.13333333333333333,0.3,0.6
math_reasoning,MATH,reordering,10,0.002043092991956419,0.04957826967359976,0.23333333333333334,-0.03333333333333334,0.016666666666666642,0.2,0.6
math_reasoning,MATH,surface_noise,10,0.002647240595630189,0.05129804436414601,0.3,-0.1,-2.2204460492503132e-17,0.1,0.5
