item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,baseline_similarity,perturbation_similarity,uncorrected_drift,noise_corrected_drift,similarity_metric
code_generation_102,code_generation,context_injection,5,5,0.938498,0.873566,0.126434,0.064932,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_102,code_generation,formatting_changes,5,5,0.938498,0.944768,0.055232,-0.00627,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_102,code_generation,paraphrasing,5,5,0.938498,0.793918,0.206082,0.14458,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_102,code_generation,reordering,5,5,0.938498,0.929644,0.070356,0.008854,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_102,code_generation,surface_noise,5,5,0.938498,0.920633,0.079367,0.017865,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_104,code_generation,context_injection,5,5,0.808642,0.874597,0.125403,-0.065955,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_104,code_generation,formatting_changes,5,5,0.808642,0.773514,0.226486,0.035128,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_104,code_generation,paraphrasing,5,5,0.808642,0.857985,0.142015,-0.049343,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_104,code_generation,reordering,5,5,0.808642,0.711162,0.288838,0.09748,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_104,code_generation,surface_noise,5,5,0.808642,0.859345,0.140655,-0.050703,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_107,code_generation,context_injection,5,5,0.980359,0.76271,0.23729,0.21765,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_107,code_generation,formatting_changes,5,5,0.980359,0.972618,0.027382,0.007742,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_107,code_generation,paraphrasing,5,5,0.980359,0.969083,0.030917,0.011277,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_107,code_generation,reordering,5,5,0.980359,0.858081,0.141919,0.122279,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_107,code_generation,surface_noise,5,5,0.980359,0.961699,0.038301,0.018661,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_109,code_generation,context_injection,5,5,0.769704,0.81822,0.18178,-0.048516,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_109,code_generation,formatting_changes,5,5,0.769704,0.81897,0.18103,-0.049266,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_109,code_generation,paraphrasing,5,5,0.769704,0.811274,0.188726,-0.04157,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_109,code_generation,reordering,5,5,0.769704,0.804593,0.195407,-0.034889,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_109,code_generation,surface_noise,5,5,0.769704,0.806728,0.193272,-0.037024,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_11,code_generation,context_injection,5,5,0.74903,0.796985,0.203015,-0.047955,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_11,code_generation,formatting_changes,5,5,0.74903,0.767392,0.232608,-0.018362,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_11,code_generation,paraphrasing,5,5,0.74903,0.712262,0.287738,0.036768,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_11,code_generation,reordering,5,5,0.74903,0.772127,0.227873,-0.023097,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_11,code_generation,surface_noise,5,5,0.74903,0.796232,0.203768,-0.047203,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_110,code_generation,context_injection,5,5,0.961722,0.92065,0.07935,0.041072,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_110,code_generation,formatting_changes,5,5,0.961722,0.960548,0.039452,0.001174,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_110,code_generation,paraphrasing,5,5,0.961722,0.840564,0.159436,0.121158,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_110,code_generation,reordering,5,5,0.961722,0.788766,0.211234,0.172956,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_110,code_generation,surface_noise,5,5,0.961722,0.93654,0.06346,0.025182,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_112,code_generation,context_injection,5,5,0.92325,0.956098,0.043902,-0.032848,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_112,code_generation,formatting_changes,5,5,0.92325,0.947086,0.052914,-0.023836,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_112,code_generation,paraphrasing,5,5,0.92325,0.797908,0.202092,0.125343,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_112,code_generation,reordering,5,5,0.92325,0.8548,0.1452,0.068451,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_112,code_generation,surface_noise,5,5,0.92325,0.942554,0.057446,-0.019303,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_117,code_generation,context_injection,5,5,0.859769,0.867661,0.132339,-0.007892,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_117,code_generation,formatting_changes,5,5,0.859769,0.87853,0.12147,-0.01876,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_117,code_generation,paraphrasing,5,5,0.859769,0.866491,0.133509,-0.006721,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_117,code_generation,reordering,5,5,0.859769,0.863284,0.136716,-0.003515,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_117,code_generation,surface_noise,5,5,0.859769,0.899264,0.100736,-0.039495,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_12,code_generation,context_injection,5,5,1.0,1.0,-0.0,0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_12,code_generation,formatting_changes,5,5,1.0,1.0,-0.0,0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_12,code_generation,paraphrasing,5,5,1.0,1.0,-0.0,0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_12,code_generation,reordering,5,5,1.0,1.0,-0.0,0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_12,code_generation,surface_noise,5,5,1.0,1.0,-0.0,0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_122,code_generation,context_injection,5,5,0.840759,0.778272,0.221728,0.062487,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_122,code_generation,formatting_changes,5,5,0.840759,0.866094,0.133906,-0.025336,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_122,code_generation,paraphrasing,5,5,0.840759,0.726123,0.273877,0.114635,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_122,code_generation,reordering,5,5,0.840759,0.872242,0.127758,-0.031484,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_122,code_generation,surface_noise,5,5,0.840759,0.873884,0.126116,-0.033125,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_128,code_generation,context_injection,5,5,0.949227,0.937165,0.062835,0.012062,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_128,code_generation,formatting_changes,5,5,0.949227,0.93893,0.06107,0.010297,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_128,code_generation,paraphrasing,5,5,0.949227,0.703687,0.296313,0.24554,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_128,code_generation,reordering,5,5,0.949227,0.882249,0.117751,0.066978,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_128,code_generation,surface_noise,5,5,0.949227,0.941314,0.058686,0.007913,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_13,code_generation,context_injection,5,5,0.962171,0.964504,0.035496,-0.002333,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_13,code_generation,formatting_changes,5,5,0.962171,0.961943,0.038057,0.000227,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_13,code_generation,paraphrasing,5,5,0.962171,0.822006,0.177994,0.140165,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_13,code_generation,reordering,5,5,0.962171,0.944354,0.055646,0.017817,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_13,code_generation,surface_noise,5,5,0.962171,0.951365,0.048635,0.010805,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_131,code_generation,context_injection,5,5,0.93817,0.936268,0.063732,0.001902,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_131,code_generation,formatting_changes,5,5,0.93817,0.924928,0.075072,0.013242,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_131,code_generation,paraphrasing,5,5,0.93817,0.844455,0.155545,0.093715,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_131,code_generation,reordering,5,5,0.93817,0.893616,0.106384,0.044554,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_131,code_generation,surface_noise,5,5,0.93817,0.757134,0.242866,0.181036,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_135,code_generation,context_injection,5,5,0.916277,0.895899,0.104101,0.020378,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_135,code_generation,formatting_changes,5,5,0.916277,0.907828,0.092172,0.008449,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_135,code_generation,paraphrasing,5,5,0.916277,0.850168,0.149832,0.066108,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_135,code_generation,reordering,5,5,0.916277,0.837451,0.162549,0.078826,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_135,code_generation,surface_noise,5,5,0.916277,0.850109,0.149891,0.066168,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_138,code_generation,context_injection,5,5,0.920589,0.89684,0.10316,0.023749,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_138,code_generation,formatting_changes,5,5,0.920589,0.921091,0.078909,-0.000502,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_138,code_generation,paraphrasing,5,5,0.920589,0.8442,0.1558,0.076389,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_138,code_generation,reordering,5,5,0.920589,0.883166,0.116834,0.037423,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_138,code_generation,surface_noise,5,5,0.920589,0.924212,0.075788,-0.003623,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_142,code_generation,context_injection,5,5,0.883601,0.835188,0.164812,0.048413,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_142,code_generation,formatting_changes,5,5,0.883601,0.904079,0.095921,-0.020477,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_142,code_generation,paraphrasing,5,5,0.883601,0.761105,0.238895,0.122496,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_142,code_generation,reordering,5,5,0.883601,0.836605,0.163395,0.046996,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_142,code_generation,surface_noise,5,5,0.883601,0.909697,0.090303,-0.026096,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_143,code_generation,context_injection,5,5,0.92346,0.823699,0.176301,0.099761,"sklearn HashingVectorizer char_wb(3,5) cosine"
