case_id,task,dataset,perturbation,version,sample_idx,stored_score,recomputed_score,changed
promptrobust_pdr_paraphrase_squad_01,factual_qa,SQuAD V2,paraphrase,original,0,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_01,factual_qa,SQuAD V2,paraphrase,original,1,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_01,factual_qa,SQuAD V2,paraphrase,original,2,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_01,factual_qa,SQuAD V2,paraphrase,original,3,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_01,factual_qa,SQuAD V2,paraphrase,original,4,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_01,factual_qa,SQuAD V2,paraphrase,perturbed,0,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_01,factual_qa,SQuAD V2,paraphrase,perturbed,1,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_01,factual_qa,SQuAD V2,paraphrase,perturbed,2,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_01,factual_qa,SQuAD V2,paraphrase,perturbed,3,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_01,factual_qa,SQuAD V2,paraphrase,perturbed,4,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_06,factual_qa,SQuAD V2,paraphrase,original,0,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_06,factual_qa,SQuAD V2,paraphrase,original,1,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_06,factual_qa,SQuAD V2,paraphrase,original,2,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_06,factual_qa,SQuAD V2,paraphrase,original,3,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_06,factual_qa,SQuAD V2,paraphrase,original,4,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_06,factual_qa,SQuAD V2,paraphrase,perturbed,0,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_06,factual_qa,SQuAD V2,paraphrase,perturbed,1,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_06,factual_qa,SQuAD V2,paraphrase,perturbed,2,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_06,factual_qa,SQuAD V2,paraphrase,perturbed,3,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_06,factual_qa,SQuAD V2,paraphrase,perturbed,4,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_11,factual_qa,SQuAD V2,paraphrase,original,0,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_11,factual_qa,SQuAD V2,paraphrase,original,1,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_11,factual_qa,SQuAD V2,paraphrase,original,2,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_11,factual_qa,SQuAD V2,paraphrase,original,3,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_11,factual_qa,SQuAD V2,paraphrase,original,4,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_11,factual_qa,SQuAD V2,paraphrase,perturbed,0,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_11,factual_qa,SQuAD V2,paraphrase,perturbed,1,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_11,factual_qa,SQuAD V2,paraphrase,perturbed,2,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_11,factual_qa,SQuAD V2,paraphrase,perturbed,3,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_11,factual_qa,SQuAD V2,paraphrase,perturbed,4,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_16,factual_qa,SQuAD V2,paraphrase,original,0,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_16,factual_qa,SQuAD V2,paraphrase,original,1,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_16,factual_qa,SQuAD V2,paraphrase,original,2,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_16,factual_qa,SQuAD V2,paraphrase,original,3,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_16,factual_qa,SQuAD V2,paraphrase,original,4,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_16,factual_qa,SQuAD V2,paraphrase,perturbed,0,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_16,factual_qa,SQuAD V2,paraphrase,perturbed,1,1.0,1.0,0
promptrobust_pdr_paraphrase_squad_16,factual_qa,SQuAD V2,paraphrase,perturbed,2,1.0,1.0,0
