item_id,task_type,dataset_name,n_outputs,n_pairs,mean_within_prompt_similarity,sampling_noise_drift,similarity_metric
code_generation_102,code_generation,bigcode/humanevalpack,5,10,0.780223,0.219777,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_104,code_generation,bigcode/humanevalpack,5,10,0.723239,0.276761,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_107,code_generation,bigcode/humanevalpack,5,10,0.685253,0.314747,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_109,code_generation,bigcode/humanevalpack,5,10,0.850806,0.149194,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_11,code_generation,bigcode/humanevalpack,5,10,0.83829,0.16171,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_110,code_generation,bigcode/humanevalpack,5,10,0.718622,0.281378,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_112,code_generation,bigcode/humanevalpack,5,10,0.529289,0.470711,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_117,code_generation,bigcode/humanevalpack,5,10,0.86395,0.13605,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_12,code_generation,bigcode/humanevalpack,5,10,0.84221,0.15779,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_122,code_generation,bigcode/humanevalpack,5,10,0.827115,0.172885,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_128,code_generation,bigcode/humanevalpack,5,10,0.637616,0.362384,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_13,code_generation,bigcode/humanevalpack,5,10,0.785416,0.214584,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_131,code_generation,bigcode/humanevalpack,5,10,0.899106,0.100894,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_135,code_generation,bigcode/humanevalpack,5,10,0.748476,0.251524,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_138,code_generation,bigcode/humanevalpack,5,10,0.721195,0.278805,"sklearn HashingVectorizer char_wb(3,5) cosine"
