task_type,perturbation_type,n_items,mean_uncorrected_drift,std_uncorrected_drift,similarity_metric
code_generation,context_injection,50,0.270472,0.077932,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation,formatting_changes,50,0.248592,0.07237,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation,paraphrasing,50,0.275852,0.082943,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation,reordering,50,0.264689,0.085801,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation,surface_noise,50,0.234258,0.075507,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa,context_injection,50,0.150724,0.148824,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa,formatting_changes,50,0.141634,0.113285,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa,paraphrasing,50,0.471619,0.150273,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa,reordering,50,0.193942,0.154993,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa,surface_noise,50,0.123493,0.125879,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning,context_injection,50,0.396775,0.144279,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning,formatting_changes,50,0.376812,0.123969,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning,paraphrasing,50,0.458118,0.164942,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning,reordering,50,0.417913,0.137794,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning,surface_noise,50,0.387976,0.120242,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing,context_injection,50,0.242894,0.127898,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing,formatting_changes,50,0.23731,0.120835,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing,paraphrasing,50,0.340381,0.172598,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing,reordering,50,0.252957,0.115535,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing,surface_noise,50,0.237266,0.120499,"sklearn HashingVectorizer char_wb(3,5) cosine"
