base_case_id,task,dataset,perturbation_family,strength_level,strength_edits,version,sample_idx,prompt,output,reference_answer,correct,performance_score
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,0,0,original,0,"Use only the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or location, outcome, and later significance. Do not include any decoy details.

Passage: VERIFIED RECORD: Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route. Engineer Lena Ortiz led the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later helped create a night market near the depot. DECOY RECORD: Aster Bridge opened in 1908 after a factory fire. Engineer Marcus Vale led the project. It connected the courthouse to the harbor and later supported a shipyard expansion.

Question: Summarize the VERIFIED record about Aster Bridge.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, with engineer Lena Ortiz leading the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later contributed to the establishment of a night market near the depot.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, and Lena Ortiz led the project. It connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later helped create a night market near the depot.",,1.0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,0,0,original,1,"Use only the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or location, outcome, and later significance. Do not include any decoy details.

Passage: VERIFIED RECORD: Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route. Engineer Lena Ortiz led the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later helped create a night market near the depot. DECOY RECORD: Aster Bridge opened in 1908 after a factory fire. Engineer Marcus Vale led the project. It connected the courthouse to the harbor and later supported a shipyard expansion.

Question: Summarize the VERIFIED record about Aster Bridge.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, led by engineer Lena Ortiz. The bridge connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later contributed to the establishment of a night market near the depot.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, and Lena Ortiz led the project. It connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later helped create a night market near the depot.",,1.0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,0,0,original,2,"Use only the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or location, outcome, and later significance. Do not include any decoy details.

Passage: VERIFIED RECORD: Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route. Engineer Lena Ortiz led the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later helped create a night market near the depot. DECOY RECORD: Aster Bridge opened in 1908 after a factory fire. Engineer Marcus Vale led the project. It connected the courthouse to the harbor and later supported a shipyard expansion.

Question: Summarize the VERIFIED record about Aster Bridge.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, led by engineer Lena Ortiz. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later contributed to the establishment of a night market near the depot.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, and Lena Ortiz led the project. It connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later helped create a night market near the depot.",,1.0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,0,0,perturbed,0,"Use only the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or location, outcome, and later significance. Do not include any decoy details.

Passage: VERIFIED RECORD: Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route. Engineer Lena Ortiz led the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later helped create a night market near the depot. DECOY RECORD: Aster Bridge opened in 1908 after a factory fire. Engineer Marcus Vale led the project. It connected the courthouse to the harbor and later supported a shipyard expansion.

Question: Summarize the VERIFIED record about Aster Bridge.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, with engineer Lena Ortiz leading the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later contributed to the establishment of a night market near the depot.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, and Lena Ortiz led the project. It connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later helped create a night market near the depot.",,1.0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,0,0,perturbed,1,"Use only the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or location, outcome, and later significance. Do not include any decoy details.

Passage: VERIFIED RECORD: Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route. Engineer Lena Ortiz led the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later helped create a night market near the depot. DECOY RECORD: Aster Bridge opened in 1908 after a factory fire. Engineer Marcus Vale led the project. It connected the courthouse to the harbor and later supported a shipyard expansion.

Question: Summarize the VERIFIED record about Aster Bridge.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, led by engineer Lena Ortiz. The bridge connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later contributed to the establishment of a night market near the depot.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, and Lena Ortiz led the project. It connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later helped create a night market near the depot.",,1.0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,0,0,perturbed,2,"Use only the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or location, outcome, and later significance. Do not include any decoy details.

Passage: VERIFIED RECORD: Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route. Engineer Lena Ortiz led the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later helped create a night market near the depot. DECOY RECORD: Aster Bridge opened in 1908 after a factory fire. Engineer Marcus Vale led the project. It connected the courthouse to the harbor and later supported a shipyard expansion.

Question: Summarize the VERIFIED record about Aster Bridge.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, led by engineer Lena Ortiz. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later contributed to the establishment of a night market near the depot.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, and Lena Ortiz led the project. It connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later helped create a night market near the depot.",,1.0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,1,1,perturbed,0,"Use only the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or location, outcome, and later significance. Do not include any decoy details. Background note: the following extra sentence is unrelated to the task and should not affect the answer.

Passage: VERIFIED RECORD: Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route. Engineer Lena Ortiz led the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later helped create a night market near the depot. DECOY RECORD: Aster Bridge opened in 1908 after a factory fire. Engineer Marcus Vale led the project. It connected the courthouse to the harbor and later supported a shipyard expansion.

Question: Summarize the VERIFIED record about Aster Bridge.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, with engineer Lena Ortiz leading the project. The bridge connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later contributed to the establishment of a night market near the depot.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, and Lena Ortiz led the project. It connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later helped create a night market near the depot.",,1.0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,1,1,perturbed,1,"Use only the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or location, outcome, and later significance. Do not include any decoy details. Background note: the following extra sentence is unrelated to the task and should not affect the answer.

Passage: VERIFIED RECORD: Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route. Engineer Lena Ortiz led the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later helped create a night market near the depot. DECOY RECORD: Aster Bridge opened in 1908 after a factory fire. Engineer Marcus Vale led the project. It connected the courthouse to the harbor and later supported a shipyard expansion.

Question: Summarize the VERIFIED record about Aster Bridge.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, led by engineer Lena Ortiz. The bridge connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later contributed to the establishment of a night market near the depot.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, and Lena Ortiz led the project. It connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later helped create a night market near the depot.",,1.0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,1,1,perturbed,2,"Use only the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or location, outcome, and later significance. Do not include any decoy details. Background note: the following extra sentence is unrelated to the task and should not affect the answer.

Passage: VERIFIED RECORD: Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route. Engineer Lena Ortiz led the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later helped create a night market near the depot. DECOY RECORD: Aster Bridge opened in 1908 after a factory fire. Engineer Marcus Vale led the project. It connected the courthouse to the harbor and later supported a shipyard expansion.

Question: Summarize the VERIFIED record about Aster Bridge.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, led by engineer Lena Ortiz. The bridge connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later contributed to the establishment of a night market near the depot.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, and Lena Ortiz led the project. It connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later helped create a night market near the depot.",,1.0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,2,2,perturbed,0,"Use only the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or location, outcome, and later significance. Do not include any decoy details. Background note: the following extra sentence is unrelated to the task and should not affect the answer. Background note: the following extra sentences are unrelated to the task. Some nearby details may be distracting, but the original task should still be answered.

Passage: VERIFIED RECORD: Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route. Engineer Lena Ortiz led the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later helped create a night market near the depot. DECOY RECORD: Aster Bridge opened in 1908 after a factory fire. Engineer Marcus Vale led the project. It connected the courthouse to the harbor and later supported a shipyard expansion.

Question: Summarize the VERIFIED record about Aster Bridge.","Aster Bridge opened in Harbor City in 1896, led by engineer Lena Ortiz, after a spring flood damaged the old ferry route. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later contributed to the establishment of a night market near the depot.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, and Lena Ortiz led the project. It connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later helped create a night market near the depot.",,1.0
