group1,group2,meandiff,p-adj,lower,upper,reject
code_generation / context_injection,code_generation / formatting,0.1333,0.9978,-0.2634,0.5301,False
code_generation / context_injection,code_generation / paraphrase,0.0333,1.0,-0.3634,0.4301,False
code_generation / context_injection,code_generation / reordering,-0.1,0.9999,-0.4968,0.2968,False
code_generation / context_injection,code_generation / surface_noise,-0.0333,1.0,-0.4301,0.3634,False
code_generation / context_injection,factual_qa / context_injection,-0.1333,0.9978,-0.5301,0.2634,False
code_generation / context_injection,factual_qa / formatting,-0.1333,0.9978,-0.5301,0.2634,False
code_generation / context_injection,factual_qa / paraphrase,-0.0333,1.0,-0.4301,0.3634,False
code_generation / context_injection,factual_qa / reordering,-0.1333,0.9978,-0.5301,0.2634,False
code_generation / context_injection,factual_qa / surface_noise,-0.1,0.9999,-0.4968,0.2968,False
code_generation / context_injection,math_reasoning / context_injection,0.0,1.0,-0.3968,0.3968,False
code_generation / context_injection,math_reasoning / formatting,0.1,0.9999,-0.2968,0.4968,False
code_generation / context_injection,math_reasoning / paraphrase,0.1,0.9999,-0.2968,0.4968,False
code_generation / context_injection,math_reasoning / reordering,0.1,0.9999,-0.2968,0.4968,False
code_generation / context_injection,math_reasoning / surface_noise,0.1667,0.9807,-0.2301,0.5634,False
code_generation / formatting,code_generation / paraphrase,-0.1,0.9999,-0.4968,0.2968,False
code_generation / formatting,code_generation / reordering,-0.2333,0.7756,-0.6301,0.1634,False
code_generation / formatting,code_generation / surface_noise,-0.1667,0.9807,-0.5634,0.2301,False
code_generation / formatting,factual_qa / context_injection,-0.2667,0.576,-0.6634,0.1301,False
code_generation / formatting,factual_qa / formatting,-0.2667,0.576,-0.6634,0.1301,False
code_generation / formatting,factual_qa / paraphrase,-0.1667,0.9807,-0.5634,0.2301,False
code_generation / formatting,factual_qa / reordering,-0.2667,0.576,-0.6634,0.1301,False
code_generation / formatting,factual_qa / surface_noise,-0.2333,0.7756,-0.6301,0.1634,False
code_generation / formatting,math_reasoning / context_injection,-0.1333,0.9978,-0.5301,0.2634,False
code_generation / formatting,math_reasoning / formatting,-0.0333,1.0,-0.4301,0.3634,False
code_generation / formatting,math_reasoning / paraphrase,-0.0333,1.0,-0.4301,0.3634,False
code_generation / formatting,math_reasoning / reordering,-0.0333,1.0,-0.4301,0.3634,False
code_generation / formatting,math_reasoning / surface_noise,0.0333,1.0,-0.3634,0.4301,False
code_generation / paraphrase,code_generation / reordering,-0.1333,0.9978,-0.5301,0.2634,False
code_generation / paraphrase,code_generation / surface_noise,-0.0667,1.0,-0.4634,0.3301,False
code_generation / paraphrase,factual_qa / context_injection,-0.1667,0.9807,-0.5634,0.2301,False
code_generation / paraphrase,factual_qa / formatting,-0.1667,0.9807,-0.5634,0.2301,False
code_generation / paraphrase,factual_qa / paraphrase,-0.0667,1.0,-0.4634,0.3301,False
code_generation / paraphrase,factual_qa / reordering,-0.1667,0.9807,-0.5634,0.2301,False
code_generation / paraphrase,factual_qa / surface_noise,-0.1333,0.9978,-0.5301,0.2634,False
code_generation / paraphrase,math_reasoning / context_injection,-0.0333,1.0,-0.4301,0.3634,False
code_generation / paraphrase,math_reasoning / formatting,0.0667,1.0,-0.3301,0.4634,False
code_generation / paraphrase,math_reasoning / paraphrase,0.0667,1.0,-0.3301,0.4634,False
code_generation / paraphrase,math_reasoning / reordering,0.0667,1.0,-0.3301,0.4634,False
code_generation / paraphrase,math_reasoning / surface_noise,0.1333,0.9978,-0.2634,0.5301,False
code_generation / reordering,code_generation / surface_noise,0.0667,1.0,-0.3301,0.4634,False
code_generation / reordering,factual_qa / context_injection,-0.0333,1.0,-0.4301,0.3634,False
code_generation / reordering,factual_qa / formatting,-0.0333,1.0,-0.4301,0.3634,False
code_generation / reordering,factual_qa / paraphrase,0.0667,1.0,-0.3301,0.4634,False
code_generation / reordering,factual_qa / reordering,-0.0333,1.0,-0.4301,0.3634,False
