feature,n,spearman_rho,p_value,feature_family
median_output_token_edit_distance_norm,50,0.5730544832021301,1.3657220882137592e-05,output
mean_output_token_edit_distance_norm,50,0.5531332533013206,3.101658985607432e-05,output
output_length_ratio,50,0.5362819983435921,5.9655194732090225e-05,output
answer_compactness_loss_proxy,50,0.5158238510081958,0.00012612687369575545,output
style_expansion_proxy,50,0.45987225285507666,0.0007796738483234633,output
output_length_delta_tokens,50,0.45987225285507666,0.0007796738483234633,output
answer_scope_proxy,50,0.4281323556222015,0.0019246478496858228,output
prompt_token_edit_distance_norm,50,0.3874282696979786,0.0054406965541981735,prompt
mean_output_char_edit_distance_norm,50,0.3798799519807923,0.0065075692655624726,output
question_length_delta_tokens,50,0.33497027648429006,0.01741468363990872,prompt
prompt_length_delta_tokens,50,0.33497027648429006,0.01741468363990872,prompt
question_length_ratio,50,0.33088650820038784,0.018921128812096632,prompt
question_char_edit_distance_norm,50,0.3278271308523409,0.020120713292980014,prompt
question_token_edit_distance_norm,50,0.32535797759763896,0.021135154539449728,prompt
question_context_content_overlap_delta,50,0.2984680415246194,0.03526014218695023,prompt
cue_disruption,50,0.27609776429936517,0.05227810215798295,prompt
prompt_char_edit_distance_norm,50,0.2231452581032413,0.11930920171251216,prompt
containment_rate_delta,50,-0.15620410334760418,0.2786932921395299,output
question_content_recall,50,-0.22467248906808834,0.1167362730258186,prompt
factual_score_delta,50,-0.5158238510081958,0.00012612687369575545,output
