item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,baseline_similarity,perturbation_similarity,noise_corrected_drift,similarity_metric
code_generation_107,code_generation,context_injection,5,5,0.922331,0.929441,-0.00711,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,formatting_changes,5,5,0.922331,0.938773,-0.016442,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,paraphrasing,5,5,0.922331,0.934929,-0.012598,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,reordering,5,5,0.922331,0.930383,-0.008052,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,surface_noise,5,5,0.922331,0.939866,-0.017535,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,context_injection,5,5,0.902029,0.885976,0.016053,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,formatting_changes,5,5,0.902029,0.881598,0.020431,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,paraphrasing,5,5,0.902029,0.755246,0.146783,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,reordering,5,5,0.902029,0.917311,-0.015282,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,surface_noise,5,5,0.902029,0.873073,0.028956,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,context_injection,5,5,0.968763,0.973161,-0.004398,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,formatting_changes,5,5,0.968763,0.936231,0.032532,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,paraphrasing,5,5,0.968763,0.923102,0.045661,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,reordering,5,5,0.968763,0.932798,0.035965,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,surface_noise,5,5,0.968763,0.965756,0.003007,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,context_injection,5,5,0.946336,0.945272,0.001064,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,formatting_changes,5,5,0.946336,0.939917,0.006419,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,paraphrasing,5,5,0.946336,0.898029,0.048307,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,reordering,5,5,0.946336,0.934039,0.012297,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,surface_noise,5,5,0.946336,0.942497,0.003839,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,context_injection,5,5,0.948262,0.959815,-0.011553,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,formatting_changes,5,5,0.948262,0.943949,0.004313,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,paraphrasing,5,5,0.948262,0.935866,0.012396,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,reordering,5,5,0.948262,0.938492,0.009769,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,surface_noise,5,5,0.948262,0.955229,-0.006968,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,context_injection,5,5,0.930535,0.920211,0.010324,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,formatting_changes,5,5,0.930535,0.931956,-0.001421,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,paraphrasing,5,5,0.930535,0.907165,0.023371,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,reordering,5,5,0.930535,0.954183,-0.023647,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,surface_noise,5,5,0.930535,0.944784,-0.014249,sentence-transformers/all-MiniLM-L6-v2
code_generation_18,code_generation,context_injection,5,5,0.945752,0.950111,-0.004359,sentence-transformers/all-MiniLM-L6-v2
code_generation_18,code_generation,formatting_changes,5,5,0.945752,0.934771,0.010981,sentence-transformers/all-MiniLM-L6-v2
code_generation_18,code_generation,paraphrasing,5,5,0.945752,0.881702,0.06405,sentence-transformers/all-MiniLM-L6-v2
code_generation_18,code_generation,reordering,5,5,0.945752,0.909079,0.036674,sentence-transformers/all-MiniLM-L6-v2
code_generation_18,code_generation,surface_noise,5,5,0.945752,0.945939,-0.000187,sentence-transformers/all-MiniLM-L6-v2
code_generation_25,code_generation,context_injection,5,5,0.911181,0.907371,0.00381,sentence-transformers/all-MiniLM-L6-v2
code_generation_25,code_generation,formatting_changes,5,5,0.911181,0.91294,-0.001759,sentence-transformers/all-MiniLM-L6-v2
code_generation_25,code_generation,paraphrasing,5,5,0.911181,0.899301,0.01188,sentence-transformers/all-MiniLM-L6-v2
code_generation_25,code_generation,reordering,5,5,0.911181,0.913145,-0.001964,sentence-transformers/all-MiniLM-L6-v2
code_generation_25,code_generation,surface_noise,5,5,0.911181,0.904935,0.006246,sentence-transformers/all-MiniLM-L6-v2
code_generation_49,code_generation,context_injection,5,5,0.962419,0.941295,0.021124,sentence-transformers/all-MiniLM-L6-v2
code_generation_49,code_generation,formatting_changes,5,5,0.962419,0.947601,0.014817,sentence-transformers/all-MiniLM-L6-v2
code_generation_49,code_generation,paraphrasing,5,5,0.962419,0.954966,0.007452,sentence-transformers/all-MiniLM-L6-v2
code_generation_49,code_generation,reordering,5,5,0.962419,0.951078,0.01134,sentence-transformers/all-MiniLM-L6-v2
code_generation_49,code_generation,surface_noise,5,5,0.962419,0.94111,0.021308,sentence-transformers/all-MiniLM-L6-v2
code_generation_75,code_generation,context_injection,5,5,0.87892,0.883124,-0.004203,sentence-transformers/all-MiniLM-L6-v2
