base_case_id,task,dataset,perturbation_family,strength_level,strength_edits,version,sample_idx,prompt,output,reference_answer,correct
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Handwritten,surface_noise,0,0,original,0,"Read the passage and answer the question in two to three complete sentences. Include all key facts needed to answer the question accurately.

Passage: The Normans were descended from Norse Viking settlers who established themselves in the region that became Normandy in northern France during the 10th and 11th centuries. Their early leadership is associated with Rollo, a Viking leader who received land from the West Frankish king Charles the Simple. Over time the Normans adopted the French language, Christianity, and local customs while retaining a reputation for military organization.

Question: Who were the Normans, where did they settle, and how did their culture change over time?","The Normans were descended from Norse Viking settlers who established themselves in Normandy, a region in northern France, during the 10th and 11th centuries. Over time, they adopted the French language, Christianity, and local customs while maintaining a reputation for military organization. Their early leadership is linked to Rollo, a Viking leader who received land from King Charles the Simple of the West Franks.","The Normans were descendants of Norse Viking settlers who settled in Normandy in northern France during the 10th and 11th centuries. Their early settlement is associated with Rollo and an agreement with Charles the Simple. Over time they adopted French language, Christianity, and local customs.",1
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Handwritten,surface_noise,0,0,original,1,"Read the passage and answer the question in two to three complete sentences. Include all key facts needed to answer the question accurately.

Passage: The Normans were descended from Norse Viking settlers who established themselves in the region that became Normandy in northern France during the 10th and 11th centuries. Their early leadership is associated with Rollo, a Viking leader who received land from the West Frankish king Charles the Simple. Over time the Normans adopted the French language, Christianity, and local customs while retaining a reputation for military organization.

Question: Who were the Normans, where did they settle, and how did their culture change over time?","The Normans were descended from Norse Viking settlers who established themselves in Normandy, a region in northern France, during the 10th and 11th centuries. Over time, they adopted the French language, Christianity, and local customs while maintaining a strong reputation for military organization.","The Normans were descendants of Norse Viking settlers who settled in Normandy in northern France during the 10th and 11th centuries. Their early settlement is associated with Rollo and an agreement with Charles the Simple. Over time they adopted French language, Christianity, and local customs.",0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Handwritten,surface_noise,0,0,original,2,"Read the passage and answer the question in two to three complete sentences. Include all key facts needed to answer the question accurately.

Passage: The Normans were descended from Norse Viking settlers who established themselves in the region that became Normandy in northern France during the 10th and 11th centuries. Their early leadership is associated with Rollo, a Viking leader who received land from the West Frankish king Charles the Simple. Over time the Normans adopted the French language, Christianity, and local customs while retaining a reputation for military organization.

Question: Who were the Normans, where did they settle, and how did their culture change over time?","The Normans were descended from Norse Viking settlers who established themselves in the region that became Normandy in northern France during the 10th and 11th centuries. Over time, they adopted the French language, Christianity, and local customs while maintaining a reputation for military organization.","The Normans were descendants of Norse Viking settlers who settled in Normandy in northern France during the 10th and 11th centuries. Their early settlement is associated with Rollo and an agreement with Charles the Simple. Over time they adopted French language, Christianity, and local customs.",0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Handwritten,surface_noise,0,0,perturbed,0,"Read the passage and answer the question in two to three complete sentences. Include all key facts needed to answer the question accurately.

Passage: The Normans were descended from Norse Viking settlers who established themselves in the region that became Normandy in northern France during the 10th and 11th centuries. Their early leadership is associated with Rollo, a Viking leader who received land from the West Frankish king Charles the Simple. Over time the Normans adopted the French language, Christianity, and local customs while retaining a reputation for military organization.

Question: Who were the Normans, where did they settle, and how did their culture change over time?","The Normans were descended from Norse Viking settlers who established themselves in Normandy, a region in northern France, during the 10th and 11th centuries. Over time, they adopted the French language, Christianity, and local customs while maintaining a reputation for military organization. Their early leadership is linked to Rollo, a Viking leader who received land from King Charles the Simple of the West Franks.","The Normans were descendants of Norse Viking settlers who settled in Normandy in northern France during the 10th and 11th centuries. Their early settlement is associated with Rollo and an agreement with Charles the Simple. Over time they adopted French language, Christianity, and local customs.",1
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Handwritten,surface_noise,0,0,perturbed,1,"Read the passage and answer the question in two to three complete sentences. Include all key facts needed to answer the question accurately.

Passage: The Normans were descended from Norse Viking settlers who established themselves in the region that became Normandy in northern France during the 10th and 11th centuries. Their early leadership is associated with Rollo, a Viking leader who received land from the West Frankish king Charles the Simple. Over time the Normans adopted the French language, Christianity, and local customs while retaining a reputation for military organization.

Question: Who were the Normans, where did they settle, and how did their culture change over time?","The Normans were descended from Norse Viking settlers who established themselves in Normandy, a region in northern France, during the 10th and 11th centuries. Over time, they adopted the French language, Christianity, and local customs while maintaining a strong reputation for military organization.","The Normans were descendants of Norse Viking settlers who settled in Normandy in northern France during the 10th and 11th centuries. Their early settlement is associated with Rollo and an agreement with Charles the Simple. Over time they adopted French language, Christianity, and local customs.",0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Handwritten,surface_noise,0,0,perturbed,2,"Read the passage and answer the question in two to three complete sentences. Include all key facts needed to answer the question accurately.

Passage: The Normans were descended from Norse Viking settlers who established themselves in the region that became Normandy in northern France during the 10th and 11th centuries. Their early leadership is associated with Rollo, a Viking leader who received land from the West Frankish king Charles the Simple. Over time the Normans adopted the French language, Christianity, and local customs while retaining a reputation for military organization.

Question: Who were the Normans, where did they settle, and how did their culture change over time?","The Normans were descended from Norse Viking settlers who established themselves in the region that became Normandy in northern France during the 10th and 11th centuries. Over time, they adopted the French language, Christianity, and local customs while maintaining a reputation for military organization.","The Normans were descendants of Norse Viking settlers who settled in Normandy in northern France during the 10th and 11th centuries. Their early settlement is associated with Rollo and an agreement with Charles the Simple. Over time they adopted French language, Christianity, and local customs.",0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Handwritten,surface_noise,1,1,perturbed,0,"Read the passage and answer the question in two to three complete sentences. Include all key faacts needed to answer the question accurately.

Passage: The Normans were descended from Norse Viking settlers who established themselves in the region that became Normandy in northern France during the 10th and 11th centuries. Their early leadership is associated with Rollo, a Viking leader who received land from the West Frankish king Charles the Simple. Over time the Normans adopted the French language, Christianity, and local customs while retaining a reputation for military organization.

Question: Who were the Normans, where did they settle, and how did their culture change over time?","The Normans were descended from Norse Viking settlers who established themselves in the region known as Normandy in northern France during the 10th and 11th centuries. Over time, they adopted the French language, converted to Christianity, and embraced local customs while maintaining their reputation for military organization.","The Normans were descendants of Norse Viking settlers who settled in Normandy in northern France during the 10th and 11th centuries. Their early settlement is associated with Rollo and an agreement with Charles the Simple. Over time they adopted French language, Christianity, and local customs.",0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Handwritten,surface_noise,1,1,perturbed,1,"Read the passage and answer the question in two to three complete sentences. Include all key faacts needed to answer the question accurately.

Passage: The Normans were descended from Norse Viking settlers who established themselves in the region that became Normandy in northern France during the 10th and 11th centuries. Their early leadership is associated with Rollo, a Viking leader who received land from the West Frankish king Charles the Simple. Over time the Normans adopted the French language, Christianity, and local customs while retaining a reputation for military organization.

Question: Who were the Normans, where did they settle, and how did their culture change over time?","The Normans were descendants of Norse Viking settlers who settled in the region known as Normandy in northern France during the 10th and 11th centuries. Over time, they adopted the French language, embraced Christianity, and integrated local customs into their culture while maintaining a reputation for military organization.","The Normans were descendants of Norse Viking settlers who settled in Normandy in northern France during the 10th and 11th centuries. Their early settlement is associated with Rollo and an agreement with Charles the Simple. Over time they adopted French language, Christianity, and local customs.",0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Handwritten,surface_noise,1,1,perturbed,2,"Read the passage and answer the question in two to three complete sentences. Include all key faacts needed to answer the question accurately.

Passage: The Normans were descended from Norse Viking settlers who established themselves in the region that became Normandy in northern France during the 10th and 11th centuries. Their early leadership is associated with Rollo, a Viking leader who received land from the West Frankish king Charles the Simple. Over time the Normans adopted the French language, Christianity, and local customs while retaining a reputation for military organization.

Question: Who were the Normans, where did they settle, and how did their culture change over time?","The Normans were descendants of Norse Viking settlers who established themselves in Normandy, a region in northern France, during the 10th and 11th centuries. Over time, they adopted the French language, Christianity, and local customs while maintaining a strong reputation for military organization. Their early leadership is linked to Rollo, a Viking leader who received land from the West Frankish king Charles the Simple.","The Normans were descendants of Norse Viking settlers who settled in Normandy in northern France during the 10th and 11th centuries. Their early settlement is associated with Rollo and an agreement with Charles the Simple. Over time they adopted French language, Christianity, and local customs.",1
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Handwritten,surface_noise,2,2,perturbed,0,"Read the passage and answer the question in two to three complete sentences. Include all key faacts neeed to answer the question accurately.

Passage: The Normans were descended from Norse Viking settlers who established themselves in the region that became Normandy in northern France during the 10th and 11th centuries. Their early leadership is associated with Rollo, a Viking leader who received land from the West Frankish king Charles the Simple. Over time the Normans adopted the French language, Christianity, and local customs while retaining a reputation for military organization.

Question: Who were the Normans, where did they settle, and how did their culture change over time?","The Normans were descended from Norse Viking settlers who established themselves in Normandy, a region in northern France, during the 10th and 11th centuries. Over time, they adopted the French language, Christianity, and local customs while maintaining a reputation for military organization. Their early leadership is linked to Rollo, a Viking leader who received land from the West Frankish king Charles the Simple.","The Normans were descendants of Norse Viking settlers who settled in Normandy in northern France during the 10th and 11th centuries. Their early settlement is associated with Rollo and an agreement with Charles the Simple. Over time they adopted French language, Christianity, and local customs.",1
