scope,n,x,y,pearson,spearman
all_levels,75,strength_edits,mean_cross_similarity,-0.34241515803498895,-0.5485829339432859
all_levels,75,strength_edits,noise_corrected_drift,0.3970440670712735,0.376937946563374
all_levels,75,strength_edits,abs_repeated_pass_rate_change,0.08794969309128647,0.11253055754615833
all_levels,75,mean_cross_similarity,abs_repeated_pass_rate_change,-0.09792433635176932,-0.332705106088848
all_levels,75,mean_paired_similarity,abs_repeated_pass_rate_change,-0.12280128557756616,-0.37828448692299793
all_levels,75,noise_corrected_drift,abs_repeated_pass_rate_change,0.09551219881759716,0.24846901205821686
all_levels,75,mean_cross_similarity,harmful_correctness_drop,-0.09925925543610906,-0.22054870197105078
all_levels,75,noise_corrected_drift,harmful_correctness_drop,0.07676732127374154,0.16681486039184892
nonzero_levels,60,strength_edits,mean_cross_similarity,-0.14199373896085996,-0.1235308738757997
nonzero_levels,60,strength_edits,noise_corrected_drift,0.383896883856678,0.21413645347258933
nonzero_levels,60,strength_edits,abs_repeated_pass_rate_change,-0.07010658911563956,-0.1313803044383243
nonzero_levels,60,mean_cross_similarity,abs_repeated_pass_rate_change,0.026702108941356606,-0.19718881576304242
nonzero_levels,60,mean_paired_similarity,abs_repeated_pass_rate_change,-0.01451586123122484,-0.26261427374371943
nonzero_levels,60,noise_corrected_drift,abs_repeated_pass_rate_change,0.05975447254289928,0.189386136522989
nonzero_levels,60,mean_cross_similarity,harmful_correctness_drop,-0.02590142293556364,-0.1415641248668667
nonzero_levels,60,noise_corrected_drift,harmful_correctness_drop,0.05372416325083653,0.12833689739180235
task:code_generation,25,strength_edits,mean_cross_similarity,-0.47451651324246574,-0.6028091789695973
task:code_generation,25,strength_edits,noise_corrected_drift,0.40514539854223997,0.2809538699978899
task:code_generation,25,strength_edits,abs_repeated_pass_rate_change,0.08703882797784893,0.08703882797784893
task:code_generation,25,mean_cross_similarity,abs_repeated_pass_rate_change,-0.5778382156119557,-0.4816716472427828
task:code_generation,25,mean_paired_similarity,abs_repeated_pass_rate_change,-0.7139202921375575,-0.533279323733081
task:code_generation,25,noise_corrected_drift,abs_repeated_pass_rate_change,-0.00441520314520601,0.0
task:code_generation,25,mean_cross_similarity,harmful_correctness_drop,,
task:code_generation,25,noise_corrected_drift,harmful_correctness_drop,,
task_nonzero:code_generation,20,strength_edits,mean_cross_similarity,-0.3461083173321736,-0.2525343242128887
task_nonzero:code_generation,20,strength_edits,noise_corrected_drift,0.40440399888861167,0.0
task_nonzero:code_generation,20,strength_edits,abs_repeated_pass_rate_change,-0.0130576791123927,-0.06262242910851495
task_nonzero:code_generation,20,mean_cross_similarity,abs_repeated_pass_rate_change,-0.5586274340533001,-0.4987590964884788
task_nonzero:code_generation,20,mean_paired_similarity,abs_repeated_pass_rate_change,-0.7056119985600451,-0.5717482325599635
task_nonzero:code_generation,20,noise_corrected_drift,abs_repeated_pass_rate_change,-0.02768015378359684,-0.06375456140357821
task_nonzero:code_generation,20,mean_cross_similarity,harmful_correctness_drop,,
task_nonzero:code_generation,20,noise_corrected_drift,harmful_correctness_drop,,
task:long_factual_qa,25,strength_edits,mean_cross_similarity,-0.3044893481508259,-0.5945619193734091
task:long_factual_qa,25,strength_edits,noise_corrected_drift,0.3384314500869938,0.2974431726311463
task:long_factual_qa,25,strength_edits,abs_repeated_pass_rate_change,-0.0799502686333539,0.007864837576396144
task:long_factual_qa,25,mean_cross_similarity,abs_repeated_pass_rate_change,0.047626605656042126,-0.1914840303717878
task:long_factual_qa,25,mean_paired_similarity,abs_repeated_pass_rate_change,-0.06255011652087998,-0.295742181679338
task:long_factual_qa,25,noise_corrected_drift,abs_repeated_pass_rate_change,0.3380843126263952,0.47890308140242227
task:long_factual_qa,25,mean_cross_similarity,harmful_correctness_drop,0.055508268602121755,-0.028416430811269728
task:long_factual_qa,25,noise_corrected_drift,harmful_correctness_drop,-0.07423060420269344,-0.10125524515755227
task_nonzero:long_factual_qa,20,strength_edits,mean_cross_similarity,-0.09426412386467871,-0.20164735092566516
task_nonzero:long_factual_qa,20,strength_edits,noise_corrected_drift,0.29029023258778835,0.1834729889175452
task_nonzero:long_factual_qa,20,strength_edits,abs_repeated_pass_rate_change,-0.26886196715911015,-0.273294081846669
task_nonzero:long_factual_qa,20,mean_cross_similarity,abs_repeated_pass_rate_change,0.18848546487835297,0.003718557869638509
task_nonzero:long_factual_qa,20,mean_paired_similarity,abs_repeated_pass_rate_change,0.05301905282724432,-0.1468830358507211
task_nonzero:long_factual_qa,20,noise_corrected_drift,abs_repeated_pass_rate_change,0.3058688259916268,0.4532824668739566
task_nonzero:long_factual_qa,20,mean_cross_similarity,harmful_correctness_drop,0.11218711707906998,0.05967860100145693
task_nonzero:long_factual_qa,20,noise_corrected_drift,harmful_correctness_drop,-0.09485654569234032,-0.13072174640400053
task:math_reasoning,25,strength_edits,mean_cross_similarity,-0.3571273315278283,-0.5118745001228026
task:math_reasoning,25,strength_edits,noise_corrected_drift,0.5251663292291068,0.55793737789026
task:math_reasoning,25,strength_edits,abs_repeated_pass_rate_change,0.24306795603287568,0.2270032172108389
task:math_reasoning,25,mean_cross_similarity,abs_repeated_pass_rate_change,0.10868360232745791,-0.1428366275171854
task:math_reasoning,25,mean_paired_similarity,abs_repeated_pass_rate_change,0.1574020194064054,-0.04556751307296712
task:math_reasoning,25,noise_corrected_drift,abs_repeated_pass_rate_change,0.11741290052877547,0.25918060599906356
task:math_reasoning,25,mean_cross_similarity,harmful_correctness_drop,0.005882820075796893,-0.1488233659121359
task:math_reasoning,25,noise_corrected_drift,harmful_correctness_drop,0.08390645716862957,0.278942469585241
task_nonzero:math_reasoning,20,strength_edits,mean_cross_similarity,-0.08719071183622393,-0.038778336716474064
task_nonzero:math_reasoning,20,strength_edits,noise_corrected_drift,0.5062410874802021,0.4640556426604234
task_nonzero:math_reasoning,20,strength_edits,abs_repeated_pass_rate_change,0.056232155711553274,-0.07526178090063818
task_nonzero:math_reasoning,20,mean_cross_similarity,abs_repeated_pass_rate_change,0.4130490047904064,0.1653831786266318
task_nonzero:math_reasoning,20,mean_paired_similarity,abs_repeated_pass_rate_change,0.4410211229691813,0.3129309164209798
task_nonzero:math_reasoning,20,noise_corrected_drift,abs_repeated_pass_rate_change,0.047980936707410875,0.15678431033616236
