task_type,perturbation_type,n_items,mean_noise_corrected_drift,std_noise_corrected_drift,similarity_metric
code_generation,context_injection,50,0.029591,0.065855,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation,formatting_changes,50,0.007711,0.052475,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation,paraphrasing,50,0.034971,0.064259,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation,reordering,50,0.023808,0.06131,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation,surface_noise,50,-0.006623,0.051974,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa,context_injection,50,0.038727,0.09366,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa,formatting_changes,50,0.029637,0.062147,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa,paraphrasing,50,0.359622,0.175435,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa,reordering,50,0.081945,0.120318,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa,surface_noise,50,0.011496,0.05672,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning,context_injection,50,0.011928,0.067084,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning,formatting_changes,50,-0.008035,0.073036,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning,paraphrasing,50,0.073271,0.153978,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning,reordering,50,0.033066,0.075745,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning,surface_noise,50,0.003129,0.07013,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing,context_injection,50,0.023603,0.072909,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing,formatting_changes,50,0.01802,0.071016,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing,paraphrasing,50,0.121091,0.16042,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing,reordering,50,0.033666,0.084721,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing,surface_noise,50,0.017975,0.054182,"sklearn HashingVectorizer char_wb(3,5) cosine"
