task_type,perturbation_type,n_items,mean_noise_corrected_drift,std_noise_corrected_drift,similarity_metric
code_generation,context_injection,50,0.004053,0.019246,sentence-transformers/all-MiniLM-L6-v2
code_generation,formatting_changes,50,0.002906,0.016259,sentence-transformers/all-MiniLM-L6-v2
code_generation,paraphrasing,50,0.016026,0.039879,sentence-transformers/all-MiniLM-L6-v2
code_generation,reordering,50,0.006532,0.016163,sentence-transformers/all-MiniLM-L6-v2
code_generation,surface_noise,50,0.003543,0.019378,sentence-transformers/all-MiniLM-L6-v2
factual_qa,context_injection,50,0.00494,0.013203,sentence-transformers/all-MiniLM-L6-v2
factual_qa,formatting_changes,50,0.012512,0.031707,sentence-transformers/all-MiniLM-L6-v2
factual_qa,paraphrasing,50,0.084251,0.074154,sentence-transformers/all-MiniLM-L6-v2
factual_qa,reordering,50,0.043968,0.06036,sentence-transformers/all-MiniLM-L6-v2
factual_qa,surface_noise,50,0.001818,0.019763,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,context_injection,50,0.000989,0.027551,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,formatting_changes,50,-0.001951,0.023054,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,paraphrasing,50,0.033969,0.066173,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,reordering,50,-0.002101,0.019777,sentence-transformers/all-MiniLM-L6-v2
math_reasoning,surface_noise,50,-0.001162,0.019531,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,context_injection,50,0.006349,0.025727,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,formatting_changes,50,0.009171,0.032605,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,paraphrasing,50,0.135086,0.228066,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,reordering,50,0.030975,0.069338,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing,surface_noise,50,2e-05,0.023223,sentence-transformers/all-MiniLM-L6-v2
