feature,n,spearman_rho,p_value,feature_family
mean_output_char_edit_distance_norm,50,0.6666186464981828,1.2576651490473484e-07,output
mean_output_token_edit_distance_norm,50,0.6633532619742037,1.5229208535844797e-07,output
median_output_token_edit_distance_norm,50,0.6274825381039637,1.0785983977106271e-06,output
prompt_token_edit_distance_norm,50,0.47550902804456396,0.00048335716871099153,prompt
output_length_delta_tokens,50,0.4442203337975594,0.0012306568708851263,output
output_length_ratio,50,0.4439588935843258,0.0012398496627749954,output
style_expansion_proxy,50,0.4436066766222703,0.0012523313984698695,output
answer_compactness_loss_proxy,50,0.430921052631579,0.001783846791356888,output
question_length_delta_tokens,50,0.4236093066501945,0.0021740943729436275,prompt
prompt_length_delta_tokens,50,0.4236093066501945,0.0021740943729436275,prompt
answer_scope_proxy,50,0.41595236392214807,0.002662252058940909,output
question_length_ratio,50,0.41178779118118497,0.0029665426035957146,prompt
question_token_edit_distance_norm,50,0.3859514748697145,0.005636491499202993,prompt
prompt_char_edit_distance_norm,50,0.3398400922970494,0.01575253873329257,prompt
question_char_edit_distance_norm,50,0.2869696752249777,0.043323622300604686,prompt
question_context_content_overlap_delta,50,0.26264857794166896,0.06536824985513877,prompt
cue_disruption,50,0.23277975776873028,0.10377876911355408,prompt
containment_rate_delta,50,-0.0057643237389771096,0.9683089496372291,output
question_content_recall,50,-0.2218451990364954,0.12153312247449354,prompt
factual_score_delta,50,-0.430921052631579,0.001783846791356888,output
