task,rank,perturbation,noise_corrected_drift,raw_perturbation_drift
factual_qa,1,context_injection,0.023844595311361516,0.04132665426112277
factual_qa,2,reordering,2.278288269930151e-06,0.03708726507533935
factual_qa,3,surface_noise,1.191274917433649e-07,5.2284210379582864e-05
factual_qa,4,paraphrase,0.0,0.025060465918982925
factual_qa,5,formatting,0.0,6.547030299008937e-08
math_reasoning,1,paraphrase,0.14997592908232968,0.27641495166014296
math_reasoning,2,reordering,0.0399646380620333,0.06463697999222283
math_reasoning,3,surface_noise,0.02041976056946848,0.057486830021461634
math_reasoning,4,context_injection,0.018201158392829635,0.06793858751409516
math_reasoning,5,formatting,0.009022922786382693,0.05783866572301182
code_generation,1,paraphrase,0.027834003881813767,0.04512061249422157
code_generation,2,context_injection,0.009411971942316332,0.02654375423840615
code_generation,3,formatting,0.0007500653595316358,0.00580918526456357
code_generation,4,surface_noise,0.000723590949125232,0.010969975974601363
code_generation,5,reordering,0.00012888309264817618,0.016356669691256306
open_ended_writing,1,reordering,0.06458188354730426,0.12716979619136273
open_ended_writing,2,context_injection,0.0636286809667416,0.13678587459499972
open_ended_writing,3,surface_noise,0.020663710287243748,0.09373521242205395
open_ended_writing,4,formatting,0.019021750005614,0.09944448161000738
open_ended_writing,5,paraphrase,0.017335810042566315,0.1039092657553716
