item_id,before_status,after_status,before_had_rewrite_prefix,after_has_rewrite_prefix,original_context_chars,before_context_chars,after_context_chars,paraphrased_question,fixed_prompt
factual_qa_11652,parsed_full_context_question_with_prefix,parsed_full_context_question,True,False,581,534,581,What was the equation that described the physics of force prior to the current Schrödinger equation?,"Context: The notion ""force"" keeps its meaning in quantum mechanics, though one is now dealing with operators instead of classical variables and though the physics is now described by the Schrödinger equation instead of Newtonian equations. This has the consequence that the results of a measurement are now sometimes ""quantized"", i.e. they appear in discrete portions. This is, of course, difficult to imagine in the context of ""forces"". However, the potentials V(x,y,z) or fields, from which the forces generally can be derived, are treated similar to classical position variables, i.e., .

Question: What was the equation that described the physics of force prior to the current Schrödinger equation?"
factual_qa_436,question_only_no_marker,parsed_full_context_question,False,False,426,0,426,What term is used to denote a complexity class that focuses on counting problems instead of decision problems?,"Context: Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines. #P is an important complexity class of counting problems (not decision problems). Classes like IP and AM are defined using Interactive proof systems. ALL is the class of all decision problems.

Question: What term is used to denote a complexity class that focuses on counting problems instead of decision problems?"
factual_qa_2060,question_only_no_marker,parsed_full_context_question,False,False,682,0,682,"How was the energy efficiency of steam engines traditionally assessed based on the concept of ""duty""?","Context: The historical measure of a steam engine's energy efficiency was its ""duty"". The concept of duty was first introduced by Watt in order to illustrate how much more efficient his engines were over the earlier Newcomen designs. Duty is the number of foot-pounds of work delivered by burning one bushel (94 pounds) of coal. The best examples of Newcomen designs had a duty of about 7 million, but most were closer to 5 million. Watt's original low-pressure designs were able to deliver duty as high as 25 million, but averaged about 17. This was a three-fold improvement over the average Newcomen design. Early Watt engines equipped with high-pressure steam improved this to 65 million.

Question: How was the energy efficiency of steam engines traditionally assessed based on the concept of ""duty""?"
factual_qa_5262,parsed_full_context_question_with_prefix,parsed_full_context_question,True,False,581,718,581,"According to historical claims, where is the oldest pharmacy believed to be located?","Context: In Europe there are old pharmacies still operating in Dubrovnik, Croatia, located inside the Franciscan monastery, opened in 1317; and in the Town Hall Square of Tallinn, Estonia, dating from at least 1422. The oldest is claimed to have been set up in 1221 in the Church of Santa Maria Novella in Florence, Italy, which now houses a perfume museum. The medieval Esteve Pharmacy, located in Llívia, a Catalan enclave close to Puigcerdà, also now a museum, dates back to the 15th century, keeping albarellos from the 16th and 17th centuries, old prescription books and antique drugs.

Question: According to historical claims, where is the oldest pharmacy believed to be located?"
factual_qa_837,question_only_no_marker,parsed_full_context_question,False,False,576,0,576,What is another key characteristic of Southern California's economy besides being one of the largest in the United States?,"Context: Southern California's economy is diverse and one of the largest in the United States. It is dominated and heavily dependent upon abundance of petroleum, as opposed to other regions where automobiles not nearly as dominant, the vast majority of transport runs on this fuel. Southern California is famous for tourism and Hollywood (film, television, and music). Other industries include software, automotive, ports, finance, tourism, biomedical, and regional logistics. The region was a leader in the housing bubble 2001–2007, and has been heavily impacted by the housing crash.

Question: What is another key characteristic of Southern California's economy besides being one of the largest in the United States?"
factual_qa_8998,question_only_no_marker,parsed_full_context_question,False,False,570,0,570,"Which étude from Neumes rythmiques features the prime numbers 41, 43, 47, and 53 according to the composer Olivier Messiaen's ametrical music influenced by natural phenomena?","Context: Prime numbers have influenced many artists and writers. The French composer Olivier Messiaen used prime numbers to create ametrical music through ""natural phenomena"". In works such as La Nativité du Seigneur (1935) and Quatre études de rythme (1949–50), he simultaneously employs motifs with lengths given by different prime numbers to create unpredictable rhythms: the primes 41, 43, 47 and 53 appear in the third étude, ""Neumes rythmiques"". According to Messiaen this way of composing was ""inspired by the movements of nature, movements of free and unequal durations"".

Question: Which étude from Neumes rythmiques features the prime numbers 41, 43, 47, and 53 according to the composer Olivier Messiaen's ametrical music influenced by natural phenomena?"
factual_qa_349,question_only_no_marker,parsed_full_context_question,False,False,538,0,538,What aspect of beneficial analysis can a non-deterministic Turing machine capture effectively?,"Context: However, some computational problems are easier to analyze in terms of more unusual resources. For example, a non-deterministic Turing machine is a computational model that is allowed to branch out to check many different possibilities at once. The non-deterministic Turing machine has very little to do with how we physically want to compute algorithms, but its branching exactly captures many of the mathematical models we want to analyze, so that non-deterministic time is a very important resource in analyzing computational problems.

Question: What aspect of beneficial analysis can a non-deterministic Turing machine capture effectively?"
factual_qa_11005,question_only_no_marker,parsed_full_context_question,False,False,795,0,795,How many individuals assemble on the banks of the Vistula for the Wianki festival each year?,"Context: Several commemorative events take place every year. Gatherings of thousands of people on the banks of the Vistula on Midsummer’s Night for a festival called Wianki (Polish for Wreaths) have become a tradition and a yearly event in the programme of cultural events in Warsaw. The festival traces its roots to a peaceful pagan ritual where maidens would float their wreaths of herbs on the water to predict when they would be married, and to whom. By the 19th century this tradition had become a festive event, and it continues today. The city council organize concerts and other events. Each Midsummer’s Eve, apart from the official floating of wreaths, jumping over fires, looking for the fern flower, there are musical performances, dignitaries' speeches, fairs and fireworks by the river bank.

Question: How many individuals assemble on the banks of the Vistula for the Wianki festival each year?"
factual_qa_6116,question_only_no_marker,parsed_full_context_question,True,False,671,0,671,What is the language of instruction in Chinese secondary schools in Malaysia?,"Context: After Malaysia's independence in 1957, the government instructed all schools to surrender their properties and be assimilated into the National School system. This caused an uproar among the Chinese and a compromise was achieved in that the schools would instead become ""National Type"" schools. Under such a system, the government is only in charge of the school curriculum and teaching personnel while the lands still belonged to the schools. While Chinese primary schools were allowed to retain Chinese as the medium of instruction, Chinese secondary schools are required to change into English-medium schools. Over 60 schools converted to become National Type schools.

Question: What is the language of instruction in Chinese secondary schools in Malaysia?"
factual_qa_7298,question_only_no_marker,parsed_full_context_question,False,False,1282,0,1282,What was the location chosen for housing the Milton Friedman Institute?,"Context: From the mid-2000s, the university began a number of multimillion-dollar expansion projects. In 2008, the University of Chicago announced plans to establish the Milton Friedman Institute which attracted both support and controversy from faculty members and students. The institute will cost around $200 million and occupy the buildings of the Chicago Theological Seminary. During the same year, investor David G. Booth donated $300 million to the university's Booth School of Business, which is the largest gift in the university's history and the largest gift ever to any business school. In 2009, planning or construction on several new buildings, half of which cost $100 million or more, was underway. Since 2011, major construction projects have included the Jules and Gwen Knapp Center for Biomedical Discovery, a ten-story medical research center, and further additions to the medical campus of the University of Chicago Medical Center. In 2014 the University launched the public phase of a $4.5 billion fundraising campaign. In September 2015, the University received $100 million from The Pearson Family Foundation to establish The Pearson Institute for the Study and Resolution of Global Conflicts and The Pearson Global Forum at the Harris School of Public Policy Studies.

Question: What was the location chosen for housing the Milton Friedman Institute?"
