scope_type,scope_value,n,corrected_similarity_drift,baseline_similarity_drift,baseline_type,correctness_drift_target,comparison_question,corrected_pearson,baseline_pearson,pearson_delta_corrected_minus_baseline,pearson_delta_ci95_low,pearson_delta_ci95_high,pearson_delta_permutation_p_greater,corrected_spearman,baseline_spearman,spearman_delta_corrected_minus_baseline,spearman_delta_ci95_low,spearman_delta_ci95_high,spearman_delta_permutation_p_greater,corrected_better_by_pearson,corrected_better_by_spearman
overall,all,150,noise_corrected_drift,raw_perturbation_drift,uncorrected_raw_cross_drift,abs_repeated_pass_rate_change,Does sample-noise correction improve repeated-output correctness-drift indication over raw cross-drift?,0.32777441420073555,0.2976105339847969,0.030163880215938632,-0.07254426721086542,0.23295024716468427,0.2837162837162837,0.3464885915297296,0.37526286706081313,-0.028774275531083526,-0.19568599980559273,0.137504396369743,0.6173826173826173,1,0
overall,all,150,noise_corrected_drift,uncorrected_single_drift,uncorrected_single_pair,abs_repeated_pass_rate_change,Does sample-noise correction improve repeated-output correctness-drift indication over a single-pair baseline?,0.32777441420073555,0.2665391601566448,0.06123525404409075,-0.058757557601702,0.29432827979919673,0.17082917082917082,0.3464885915297296,0.33168305493253497,0.014805536597194635,-0.16785843179200263,0.1886819312492784,0.46153846153846156,1,1
task,code_generation,50,noise_corrected_drift,raw_perturbation_drift,uncorrected_raw_cross_drift,abs_repeated_pass_rate_change,Does sample-noise correction improve repeated-output correctness-drift indication over raw cross-drift?,0.7469902591247614,0.6480820644182876,0.09890819470647372,-0.010610948732744662,0.3528909671810864,0.1048951048951049,0.514900085367457,0.4867150746384617,0.02818501072899532,-0.20485361566794885,0.23174967811753863,0.4005994005994006,1,1
task,code_generation,50,noise_corrected_drift,uncorrected_single_drift,uncorrected_single_pair,abs_repeated_pass_rate_change,Does sample-noise correction improve repeated-output correctness-drift indication over a single-pair baseline?,0.7469902591247614,0.5784749499042819,0.16851530922047941,-0.012134162677233398,0.4652192608370319,0.07592407592407592,0.514900085367457,0.45962610101224505,0.05527398435521197,-0.2664387425026859,0.30817457095109185,0.32867132867132864,1,1
task,factual_qa,50,noise_corrected_drift,raw_perturbation_drift,uncorrected_raw_cross_drift,abs_repeated_pass_rate_change,Does sample-noise correction improve repeated-output correctness-drift indication over raw cross-drift?,0.005833340040676487,0.12206063120777935,-0.11622729116710287,-0.24564657378564192,0.5509236294754382,0.9370629370629371,0.2240208418485493,0.5447376130452571,-0.32071677119670783,-0.6920439130857414,0.036835485416026166,0.9140859140859141,0,0
task,factual_qa,50,noise_corrected_drift,uncorrected_single_drift,uncorrected_single_pair,abs_repeated_pass_rate_change,Does sample-noise correction improve repeated-output correctness-drift indication over a single-pair baseline?,0.005833340040676487,0.06622623939815452,-0.060392899357478026,-0.45753506328692434,0.48382563559458797,0.7722277722277723,0.2240208418485493,0.2931021098798476,-0.06908126803129827,-0.521323547485421,0.4043410742786163,0.6283716283716284,0,0
task,math_reasoning,50,noise_corrected_drift,raw_perturbation_drift,uncorrected_raw_cross_drift,abs_repeated_pass_rate_change,Does sample-noise correction improve repeated-output correctness-drift indication over raw cross-drift?,-0.05986301187198885,-0.3402169737517029,0.28035396187971406,0.07688602012024276,0.8618232719248308,0.05194805194805195,0.23155583481000766,-0.23830567338568368,0.46986150819569134,0.06840623302529301,0.8690183685069827,0.026973026973026972,1,1
task,math_reasoning,50,noise_corrected_drift,uncorrected_single_drift,uncorrected_single_pair,abs_repeated_pass_rate_change,Does sample-noise correction improve repeated-output correctness-drift indication over a single-pair baseline?,-0.05986301187198885,-0.30284366376198496,0.24298065188999612,0.08252205593860035,0.7771565555039471,0.03596403596403597,0.23155583481000766,-0.25655337462324257,0.4881092094332502,0.149357679327886,0.8463414898856668,0.015984015984015984,1,1
perturbation,context_injection,30,noise_corrected_drift,raw_perturbation_drift,uncorrected_raw_cross_drift,abs_repeated_pass_rate_change,Does sample-noise correction improve repeated-output correctness-drift indication over raw cross-drift?,0.6558194189526315,0.45752159227526595,0.19829782667736556,-0.2560494637250095,0.4493813513169191,0.2597402597402597,0.46741874834274716,0.48780584740337846,-0.020387099060631297,-0.34335141888808923,0.2691846555774253,0.5424575424575424,1,0
perturbation,context_injection,30,noise_corrected_drift,uncorrected_single_drift,uncorrected_single_pair,abs_repeated_pass_rate_change,Does sample-noise correction improve repeated-output correctness-drift indication over a single-pair baseline?,0.6558194189526315,0.4086262283885358,0.24719319056409572,-0.3386674057151746,0.8180845295703579,0.21578421578421578,0.46741874834274716,0.25223189191322004,0.21518685642952712,-0.3510471340642648,0.7265950516322844,0.21078921078921078,1,1
