item_id,task_type,dataset_name,source_index,perturbation_type,sample_id,model_name,temperature,top_p,max_output_tokens,original_prompt,perturbed_prompt,output_text
factual_qa_2060,factual_qa,rajpurkar/squad_v2,2060,paraphrasing,1,gpt-4o-mini,0.7,0.9,,"Context: The historical measure of a steam engine's energy efficiency was its ""duty"". The concept of duty was first introduced by Watt in order to illustrate how much more efficient his engines were over the earlier Newcomen designs. Duty is the number of foot-pounds of work delivered by burning one bushel (94 pounds) of coal. The best examples of Newcomen designs had a duty of about 7 million, but most were closer to 5 million. Watt's original low-pressure designs were able to deliver duty as high as 25 million, but averaged about 17. This was a three-fold improvement over the average Newcomen design. Early Watt engines equipped with high-pressure steam improved this to 65 million.

Question: How was the efficiency of a steam engine typically evaluated?","Context: The historical measure of a steam engine's energy efficiency was its ""duty"". The concept of duty was first introduced by Watt in order to illustrate how much more efficient his engines were over the earlier Newcomen designs. Duty is the number of foot-pounds of work delivered by burning one bushel (94 pounds) of coal. The best examples of Newcomen designs had a duty of about 7 million, but most were closer to 5 million. Watt's original low-pressure designs were able to deliver duty as high as 25 million, but averaged about 17. This was a three-fold improvement over the average Newcomen design. Early Watt engines equipped with high-pressure steam improved this to 65 million.

Question: How was the energy efficiency of steam engines traditionally assessed based on the concept of ""duty""?","The energy efficiency of steam engines was traditionally assessed using the concept of ""duty,"" which measured the amount of work produced by burning a specific quantity of coal. Specifically, duty was quantified as the number of foot-pounds of work delivered by burning one bushel (94 pounds) of coal. This metric allowed for a direct comparison of the efficiency of different engine designs. For example, Newcomen engines had a duty ranging from about 5 million to 7 million foot-pounds, while Watt's low-pressure engines achieved duties of around 17 million, demonstrating a significant improvement in efficiency. High-pressure steam engines designed by Watt further increased this figure to 65 million foot-pounds, showcasing advancements in steam engine technology."
factual_qa_2060,factual_qa,rajpurkar/squad_v2,2060,paraphrasing,2,gpt-4o-mini,0.7,0.9,,"Context: The historical measure of a steam engine's energy efficiency was its ""duty"". The concept of duty was first introduced by Watt in order to illustrate how much more efficient his engines were over the earlier Newcomen designs. Duty is the number of foot-pounds of work delivered by burning one bushel (94 pounds) of coal. The best examples of Newcomen designs had a duty of about 7 million, but most were closer to 5 million. Watt's original low-pressure designs were able to deliver duty as high as 25 million, but averaged about 17. This was a three-fold improvement over the average Newcomen design. Early Watt engines equipped with high-pressure steam improved this to 65 million.

Question: How was the efficiency of a steam engine typically evaluated?","Context: The historical measure of a steam engine's energy efficiency was its ""duty"". The concept of duty was first introduced by Watt in order to illustrate how much more efficient his engines were over the earlier Newcomen designs. Duty is the number of foot-pounds of work delivered by burning one bushel (94 pounds) of coal. The best examples of Newcomen designs had a duty of about 7 million, but most were closer to 5 million. Watt's original low-pressure designs were able to deliver duty as high as 25 million, but averaged about 17. This was a three-fold improvement over the average Newcomen design. Early Watt engines equipped with high-pressure steam improved this to 65 million.

Question: How was the energy efficiency of steam engines traditionally assessed based on the concept of ""duty""?","The energy efficiency of steam engines was traditionally assessed using the concept of ""duty,"" which measured the amount of work produced by burning a specific amount of coal. Specifically, duty is defined as the number of foot-pounds of work that can be generated from one bushel (94 pounds) of coal. This measure allowed for a comparison of the efficiency of different engine designs. For instance, Newcomen engines had a duty ranging from about 5 million to 7 million foot-pounds, while Watt's early low-pressure engines achieved an average duty of about 17 million, demonstrating a significant improvement. Later high-pressure steam engines designed by Watt reached duties as high as 65 million, indicating even greater efficiency. Thus, duty served as a key metric to illustrate the advancements in steam engine technology and their energy efficiency."
factual_qa_2060,factual_qa,rajpurkar/squad_v2,2060,paraphrasing,3,gpt-4o-mini,0.7,0.9,,"Context: The historical measure of a steam engine's energy efficiency was its ""duty"". The concept of duty was first introduced by Watt in order to illustrate how much more efficient his engines were over the earlier Newcomen designs. Duty is the number of foot-pounds of work delivered by burning one bushel (94 pounds) of coal. The best examples of Newcomen designs had a duty of about 7 million, but most were closer to 5 million. Watt's original low-pressure designs were able to deliver duty as high as 25 million, but averaged about 17. This was a three-fold improvement over the average Newcomen design. Early Watt engines equipped with high-pressure steam improved this to 65 million.

Question: How was the efficiency of a steam engine typically evaluated?","Context: The historical measure of a steam engine's energy efficiency was its ""duty"". The concept of duty was first introduced by Watt in order to illustrate how much more efficient his engines were over the earlier Newcomen designs. Duty is the number of foot-pounds of work delivered by burning one bushel (94 pounds) of coal. The best examples of Newcomen designs had a duty of about 7 million, but most were closer to 5 million. Watt's original low-pressure designs were able to deliver duty as high as 25 million, but averaged about 17. This was a three-fold improvement over the average Newcomen design. Early Watt engines equipped with high-pressure steam improved this to 65 million.

Question: How was the energy efficiency of steam engines traditionally assessed based on the concept of ""duty""?","The energy efficiency of steam engines was traditionally assessed using the concept of ""duty,"" which measures the amount of work produced per unit of fuel consumed. Specifically, duty is defined as the number of foot-pounds of work generated by burning one bushel (94 pounds) of coal. This metric allowed for a comparison of different engine designs. For instance, Newcomen engines had a duty ranging from about 5 million to 7 million foot-pounds, while Watt's low-pressure engines achieved an average duty of around 17 million foot-pounds, and high-pressure engines reached up to 65 million foot-pounds. Thus, the higher the duty, the more efficient the engine was considered to be."
factual_qa_2060,factual_qa,rajpurkar/squad_v2,2060,paraphrasing,4,gpt-4o-mini,0.7,0.9,,"Context: The historical measure of a steam engine's energy efficiency was its ""duty"". The concept of duty was first introduced by Watt in order to illustrate how much more efficient his engines were over the earlier Newcomen designs. Duty is the number of foot-pounds of work delivered by burning one bushel (94 pounds) of coal. The best examples of Newcomen designs had a duty of about 7 million, but most were closer to 5 million. Watt's original low-pressure designs were able to deliver duty as high as 25 million, but averaged about 17. This was a three-fold improvement over the average Newcomen design. Early Watt engines equipped with high-pressure steam improved this to 65 million.

Question: How was the efficiency of a steam engine typically evaluated?","Context: The historical measure of a steam engine's energy efficiency was its ""duty"". The concept of duty was first introduced by Watt in order to illustrate how much more efficient his engines were over the earlier Newcomen designs. Duty is the number of foot-pounds of work delivered by burning one bushel (94 pounds) of coal. The best examples of Newcomen designs had a duty of about 7 million, but most were closer to 5 million. Watt's original low-pressure designs were able to deliver duty as high as 25 million, but averaged about 17. This was a three-fold improvement over the average Newcomen design. Early Watt engines equipped with high-pressure steam improved this to 65 million.

Question: How was the energy efficiency of steam engines traditionally assessed based on the concept of ""duty""?","The energy efficiency of steam engines was traditionally assessed using the concept of ""duty,"" which measures the amount of work produced by burning a specific quantity of coal. Specifically, duty is defined as the number of foot-pounds of work delivered by one bushel (94 pounds) of coal. This metric allowed for a direct comparison of the performance of different steam engine designs. For instance, Newcomen engines typically had a duty ranging from 5 to 7 million foot-pounds, while Watt's low-pressure engines achieved an average duty of about 17 million, representing a significant improvement in efficiency. High-pressure steam engines developed by Watt further increased this efficiency to around 65 million foot-pounds. Thus, duty served as a clear indicator of how effectively an engine converted fuel into mechanical work."
factual_qa_2060,factual_qa,rajpurkar/squad_v2,2060,paraphrasing,5,gpt-4o-mini,0.7,0.9,,"Context: The historical measure of a steam engine's energy efficiency was its ""duty"". The concept of duty was first introduced by Watt in order to illustrate how much more efficient his engines were over the earlier Newcomen designs. Duty is the number of foot-pounds of work delivered by burning one bushel (94 pounds) of coal. The best examples of Newcomen designs had a duty of about 7 million, but most were closer to 5 million. Watt's original low-pressure designs were able to deliver duty as high as 25 million, but averaged about 17. This was a three-fold improvement over the average Newcomen design. Early Watt engines equipped with high-pressure steam improved this to 65 million.

Question: How was the efficiency of a steam engine typically evaluated?","Context: The historical measure of a steam engine's energy efficiency was its ""duty"". The concept of duty was first introduced by Watt in order to illustrate how much more efficient his engines were over the earlier Newcomen designs. Duty is the number of foot-pounds of work delivered by burning one bushel (94 pounds) of coal. The best examples of Newcomen designs had a duty of about 7 million, but most were closer to 5 million. Watt's original low-pressure designs were able to deliver duty as high as 25 million, but averaged about 17. This was a three-fold improvement over the average Newcomen design. Early Watt engines equipped with high-pressure steam improved this to 65 million.

Question: How was the energy efficiency of steam engines traditionally assessed based on the concept of ""duty""?","The energy efficiency of steam engines was traditionally assessed using the concept of ""duty,"" which measured the amount of work produced per unit of fuel consumed. Specifically, duty was defined as the number of foot-pounds of work delivered by burning one bushel (94 pounds) of coal. This metric allowed for a comparison of the efficiency of different steam engine designs. For example, Newcomen engines had a duty ranging from about 5 to 7 million foot-pounds, while Watt's low-pressure engines achieved an average duty of about 17 million, showcasing a significant improvement. Later, Watt's high-pressure steam engines further increased the duty to 65 million, indicating even greater efficiency. Thus, duty served as a key benchmark for evaluating and comparing the performance of steam engines in terms of energy efficiency."
factual_qa_11005,factual_qa,rajpurkar/squad_v2,11005,paraphrasing,1,gpt-4o-mini,0.7,0.9,,"Context: Several commemorative events take place every year. Gatherings of thousands of people on the banks of the Vistula on Midsummer’s Night for a festival called Wianki (Polish for Wreaths) have become a tradition and a yearly event in the programme of cultural events in Warsaw. The festival traces its roots to a peaceful pagan ritual where maidens would float their wreaths of herbs on the water to predict when they would be married, and to whom. By the 19th century this tradition had become a festive event, and it continues today. The city council organize concerts and other events. Each Midsummer’s Eve, apart from the official floating of wreaths, jumping over fires, looking for the fern flower, there are musical performances, dignitaries' speeches, fairs and fireworks by the river bank.

Question: How man people gather along the banks of the Vistula for the Wianki festival?","Context: Several commemorative events take place every year. Gatherings of thousands of people on the banks of the Vistula on Midsummer’s Night for a festival called Wianki (Polish for Wreaths) have become a tradition and a yearly event in the programme of cultural events in Warsaw. The festival traces its roots to a peaceful pagan ritual where maidens would float their wreaths of herbs on the water to predict when they would be married, and to whom. By the 19th century this tradition had become a festive event, and it continues today. The city council organize concerts and other events. Each Midsummer’s Eve, apart from the official floating of wreaths, jumping over fires, looking for the fern flower, there are musical performances, dignitaries' speeches, fairs and fireworks by the river bank.

Question: How many individuals assemble on the banks of the Vistula for the Wianki festival each year?",Thousands of people assemble on the banks of the Vistula for the Wianki festival each year.
factual_qa_11005,factual_qa,rajpurkar/squad_v2,11005,paraphrasing,2,gpt-4o-mini,0.7,0.9,,"Context: Several commemorative events take place every year. Gatherings of thousands of people on the banks of the Vistula on Midsummer’s Night for a festival called Wianki (Polish for Wreaths) have become a tradition and a yearly event in the programme of cultural events in Warsaw. The festival traces its roots to a peaceful pagan ritual where maidens would float their wreaths of herbs on the water to predict when they would be married, and to whom. By the 19th century this tradition had become a festive event, and it continues today. The city council organize concerts and other events. Each Midsummer’s Eve, apart from the official floating of wreaths, jumping over fires, looking for the fern flower, there are musical performances, dignitaries' speeches, fairs and fireworks by the river bank.

Question: How man people gather along the banks of the Vistula for the Wianki festival?","Context: Several commemorative events take place every year. Gatherings of thousands of people on the banks of the Vistula on Midsummer’s Night for a festival called Wianki (Polish for Wreaths) have become a tradition and a yearly event in the programme of cultural events in Warsaw. The festival traces its roots to a peaceful pagan ritual where maidens would float their wreaths of herbs on the water to predict when they would be married, and to whom. By the 19th century this tradition had become a festive event, and it continues today. The city council organize concerts and other events. Each Midsummer’s Eve, apart from the official floating of wreaths, jumping over fires, looking for the fern flower, there are musical performances, dignitaries' speeches, fairs and fireworks by the river bank.

Question: How many individuals assemble on the banks of the Vistula for the Wianki festival each year?",Thousands of people assemble on the banks of the Vistula for the Wianki festival each year.
factual_qa_11005,factual_qa,rajpurkar/squad_v2,11005,paraphrasing,3,gpt-4o-mini,0.7,0.9,,"Context: Several commemorative events take place every year. Gatherings of thousands of people on the banks of the Vistula on Midsummer’s Night for a festival called Wianki (Polish for Wreaths) have become a tradition and a yearly event in the programme of cultural events in Warsaw. The festival traces its roots to a peaceful pagan ritual where maidens would float their wreaths of herbs on the water to predict when they would be married, and to whom. By the 19th century this tradition had become a festive event, and it continues today. The city council organize concerts and other events. Each Midsummer’s Eve, apart from the official floating of wreaths, jumping over fires, looking for the fern flower, there are musical performances, dignitaries' speeches, fairs and fireworks by the river bank.

Question: How man people gather along the banks of the Vistula for the Wianki festival?","Context: Several commemorative events take place every year. Gatherings of thousands of people on the banks of the Vistula on Midsummer’s Night for a festival called Wianki (Polish for Wreaths) have become a tradition and a yearly event in the programme of cultural events in Warsaw. The festival traces its roots to a peaceful pagan ritual where maidens would float their wreaths of herbs on the water to predict when they would be married, and to whom. By the 19th century this tradition had become a festive event, and it continues today. The city council organize concerts and other events. Each Midsummer’s Eve, apart from the official floating of wreaths, jumping over fires, looking for the fern flower, there are musical performances, dignitaries' speeches, fairs and fireworks by the river bank.

Question: How many individuals assemble on the banks of the Vistula for the Wianki festival each year?",Thousands of people gather on the banks of the Vistula for the Wianki festival each year.
factual_qa_11005,factual_qa,rajpurkar/squad_v2,11005,paraphrasing,4,gpt-4o-mini,0.7,0.9,,"Context: Several commemorative events take place every year. Gatherings of thousands of people on the banks of the Vistula on Midsummer’s Night for a festival called Wianki (Polish for Wreaths) have become a tradition and a yearly event in the programme of cultural events in Warsaw. The festival traces its roots to a peaceful pagan ritual where maidens would float their wreaths of herbs on the water to predict when they would be married, and to whom. By the 19th century this tradition had become a festive event, and it continues today. The city council organize concerts and other events. Each Midsummer’s Eve, apart from the official floating of wreaths, jumping over fires, looking for the fern flower, there are musical performances, dignitaries' speeches, fairs and fireworks by the river bank.

Question: How man people gather along the banks of the Vistula for the Wianki festival?","Context: Several commemorative events take place every year. Gatherings of thousands of people on the banks of the Vistula on Midsummer’s Night for a festival called Wianki (Polish for Wreaths) have become a tradition and a yearly event in the programme of cultural events in Warsaw. The festival traces its roots to a peaceful pagan ritual where maidens would float their wreaths of herbs on the water to predict when they would be married, and to whom. By the 19th century this tradition had become a festive event, and it continues today. The city council organize concerts and other events. Each Midsummer’s Eve, apart from the official floating of wreaths, jumping over fires, looking for the fern flower, there are musical performances, dignitaries' speeches, fairs and fireworks by the river bank.

Question: How many individuals assemble on the banks of the Vistula for the Wianki festival each year?",Thousands of people assemble on the banks of the Vistula for the Wianki festival each year.
factual_qa_11005,factual_qa,rajpurkar/squad_v2,11005,paraphrasing,5,gpt-4o-mini,0.7,0.9,,"Context: Several commemorative events take place every year. Gatherings of thousands of people on the banks of the Vistula on Midsummer’s Night for a festival called Wianki (Polish for Wreaths) have become a tradition and a yearly event in the programme of cultural events in Warsaw. The festival traces its roots to a peaceful pagan ritual where maidens would float their wreaths of herbs on the water to predict when they would be married, and to whom. By the 19th century this tradition had become a festive event, and it continues today. The city council organize concerts and other events. Each Midsummer’s Eve, apart from the official floating of wreaths, jumping over fires, looking for the fern flower, there are musical performances, dignitaries' speeches, fairs and fireworks by the river bank.

Question: How man people gather along the banks of the Vistula for the Wianki festival?","Context: Several commemorative events take place every year. Gatherings of thousands of people on the banks of the Vistula on Midsummer’s Night for a festival called Wianki (Polish for Wreaths) have become a tradition and a yearly event in the programme of cultural events in Warsaw. The festival traces its roots to a peaceful pagan ritual where maidens would float their wreaths of herbs on the water to predict when they would be married, and to whom. By the 19th century this tradition had become a festive event, and it continues today. The city council organize concerts and other events. Each Midsummer’s Eve, apart from the official floating of wreaths, jumping over fires, looking for the fern flower, there are musical performances, dignitaries' speeches, fairs and fireworks by the river bank.

Question: How many individuals assemble on the banks of the Vistula for the Wianki festival each year?",Thousands of people assemble on the banks of the Vistula for the Wianki festival each year.
