task,perturbation,dataset,n,uncorrected_single_drift,noise_baseline,raw_perturbation_drift,noise_corrected_drift
factual_qa,paraphrase,SQuAD V2,10,0.05303398350862591,0.02875096040570651,0.025060465918982925,0.0
factual_qa,reordering,SQuAD V2,10,2.3489189125203146e-06,0.04291397404268195,0.03708726507533935,2.278288269930151e-06
factual_qa,formatting,SQuAD V2,10,7.771561172376095e-17,6.547030299008937e-08,6.547030299008937e-08,0.0
factual_qa,context_injection,SQuAD V2,10,0.07629072958449848,0.01748205894976125,0.04132665426112277,0.023844595311361516
factual_qa,surface_noise,SQuAD V2,10,0.00015661437615511754,5.2165082887839495e-05,5.2284210379582864e-05,1.191274917433649e-07
math_reasoning,paraphrase,MATH,10,0.24623431395524972,0.12775442484787303,0.27641495166014296,0.14997592908232968
math_reasoning,reordering,MATH,10,0.07194606551959674,0.024737644427212126,0.06463697999222283,0.0399646380620333
math_reasoning,formatting,MATH,10,0.062093432153033534,0.05321146102360542,0.05783866572301182,0.009022922786382693
math_reasoning,context_injection,MATH,10,0.06585722143892725,0.05305982904069113,0.06793858751409516,0.018201158392829635
math_reasoning,surface_noise,MATH,10,0.046405225863930956,0.03785765229390115,0.057486830021461634,0.02041976056946848
code_generation,paraphrase,HumanEval,10,0.026184163497205593,0.017297862685266487,0.04512061249422157,0.027834003881813767
code_generation,reordering,HumanEval,10,0.027839109889652845,0.019281175117063513,0.016356669691256306,0.00012888309264817618
code_generation,formatting,HumanEval,10,0.0025241197506240764,0.005088980675539647,0.00580918526456357,0.0007500653595316358
code_generation,context_injection,HumanEval,10,0.037411252460882304,0.01716774761644867,0.02654375423840615,0.009411971942316332
code_generation,surface_noise,HumanEval,10,0.02780670492579478,0.01024862950232225,0.010969975974601363,0.000723590949125232
open_ended_writing,paraphrase,Alpaca,10,0.07487612576947897,0.08746350217230468,0.1039092657553716,0.017335810042566315
open_ended_writing,reordering,Alpaca,10,0.1094569640095228,0.06314467789169628,0.12716979619136273,0.06458188354730426
open_ended_writing,formatting,Alpaca,10,0.12772035149176209,0.08042273160439338,0.09944448161000738,0.019021750005614
open_ended_writing,context_injection,Alpaca,10,0.14896259733710643,0.07570430545539933,0.13678587459499972,0.0636286809667416
open_ended_writing,surface_noise,Alpaca,10,0.08707664018569503,0.07425184101462395,0.09373521242205395,0.020663710287243748
