item_id,task_type,dataset_name,source_index,sample_id,model_name,temperature,top_p,max_output_tokens,prompt_text,output_text
factual_qa_378,factual_qa,mandarjoshi/trivia_qa,378,1,gpt-4o-mini,0.7,0.9,300,Which act has had more Christmas number one singles than any other?,"The Beatles hold the record for the most Christmas number one singles in the UK, with a total of 4 Christmas number ones."
factual_qa_378,factual_qa,mandarjoshi/trivia_qa,378,2,gpt-4o-mini,0.7,0.9,300,Which act has had more Christmas number one singles than any other?,The act with the most Christmas number one singles in the UK is The Beatles. They have achieved this feat 4 times.
factual_qa_378,factual_qa,mandarjoshi/trivia_qa,378,3,gpt-4o-mini,0.7,0.9,300,Which act has had more Christmas number one singles than any other?,The act with the most Christmas number one singles in the UK is The Beatles. They have achieved this feat 4 times.
factual_qa_642,factual_qa,mandarjoshi/trivia_qa,642,1,gpt-4o-mini,0.7,0.9,300,Who played Aunty Entity' in the film 'Mad Max Beyond the Thunderdome'?,Tina Turner played the character Aunty Entity in the film 'Mad Max Beyond Thunderdome'.
factual_qa_642,factual_qa,mandarjoshi/trivia_qa,642,2,gpt-4o-mini,0.7,0.9,300,Who played Aunty Entity' in the film 'Mad Max Beyond the Thunderdome'?,Tina Turner played the character 'Aunty Entity' in the film 'Mad Max Beyond Thunderdome'.
factual_qa_642,factual_qa,mandarjoshi/trivia_qa,642,3,gpt-4o-mini,0.7,0.9,300,Who played Aunty Entity' in the film 'Mad Max Beyond the Thunderdome'?,"Tina Turner played the character Aunty Entity in the film ""Mad Max Beyond Thunderdome."""
factual_qa_9317,factual_qa,mandarjoshi/trivia_qa,9317,1,gpt-4o-mini,0.7,0.9,300,Which part of the human body contains the most gold?,"The part of the human body that contains the most gold is the bones. However, the amount is very small, typically estimated at about 0.02% of the body's weight, primarily in the form of trace amounts. Gold is present in the body but in minute quantities, with most of it found in the bones, organs, and blood."
factual_qa_9317,factual_qa,mandarjoshi/trivia_qa,9317,2,gpt-4o-mini,0.7,0.9,300,Which part of the human body contains the most gold?,"The part of the human body that contains the most gold is the bones. Gold can be found in trace amounts in the body, primarily in the bones and teeth, but the concentrations are very low. Overall, the amount of gold in an average human body is estimated to be about 0.2 milligrams."
factual_qa_9317,factual_qa,mandarjoshi/trivia_qa,9317,3,gpt-4o-mini,0.7,0.9,300,Which part of the human body contains the most gold?,"The part of the human body that contains the most gold is the bones. However, the amount of gold in the human body is extremely small, typically around 0.02 grams, primarily in the form of trace amounts found in various tissues, including bones."
factual_qa_12706,factual_qa,mandarjoshi/trivia_qa,12706,1,gpt-4o-mini,0.7,0.9,300,Mrs Maria Fitzherbert was the wife of which British monarch?,"Mrs. Maria Fitzherbert was the wife of King George IV of the United Kingdom. They had a secret marriage in 1785, although it was not legally recognized because George was still married to his first wife, Caroline of Brunswick."
factual_qa_12706,factual_qa,mandarjoshi/trivia_qa,12706,2,gpt-4o-mini,0.7,0.9,300,Mrs Maria Fitzherbert was the wife of which British monarch?,"Mrs. Maria Fitzherbert was the wife of King George IV of the United Kingdom. They were married in a private ceremony in 1785, although the marriage was not legally recognized due to George's status as a prince."
factual_qa_12706,factual_qa,mandarjoshi/trivia_qa,12706,3,gpt-4o-mini,0.7,0.9,300,Mrs Maria Fitzherbert was the wife of which British monarch?,"Mrs. Maria Fitzherbert was the wife of King George IV of the United Kingdom. They were married in a secret ceremony in 1785, although the marriage was not legally recognized because George was still officially married to Caroline of Brunswick."
factual_qa_12920,factual_qa,mandarjoshi/trivia_qa,12920,1,gpt-4o-mini,0.7,0.9,300,"""The X-Files spawned two theatrical movies, """"The X-Files"""" and """"I Want To Believe"""", and which spin-off TV series?""","The spin-off TV series is ""The X-Files: The Lone Gunmen."""
