group,n,pearson_r,pearson_p,spearman_rho,spearman_p
overall,120,0.018997,0.836832,0.147424,0.108089
task=code_generation,30,0.250259,0.182263,0.064739,0.733949
task=factual_qa,30,0.192204,0.308898,0.161073,0.395148
task=math_reasoning,30,-0.15667,0.408364,-0.005562,0.97673
task=open_ended_writing,30,-0.308261,0.097456,-0.227529,0.226581
intensity=low,40,-0.040019,0.80632,-0.005267,0.974268
intensity=medium,40,0.30333,0.05708,0.361175,0.022037
intensity=high,40,-0.128407,0.429737,0.051304,0.753223
task=code_generation;intensity=low,10,-0.61336,0.059312,-0.69697,0.025097
task=code_generation;intensity=medium,10,0.7675,0.009551,0.224242,0.533401
task=code_generation;intensity=high,10,0.247115,0.491254,0.333333,0.346594
task=factual_qa;intensity=low,10,-0.281633,0.430511,0.075037,0.836778
task=factual_qa;intensity=medium,10,0.624103,0.053787,0.22511,0.531776
task=factual_qa;intensity=high,10,0.270433,0.449826,0.435616,0.208258
task=math_reasoning;intensity=low,10,-0.095187,0.793655,0.054545,0.881036
task=math_reasoning;intensity=medium,10,-0.006631,0.985495,0.187879,0.603218
task=math_reasoning;intensity=high,10,-0.396199,0.257027,-0.466667,0.173939
task=open_ended_writing;intensity=low,10,-0.30653,0.388996,0.006135,0.986579
task=open_ended_writing;intensity=medium,10,0.19089,0.597314,0.092031,0.800378
task=open_ended_writing;intensity=high,10,-0.790117,0.006533,-0.766929,0.009638
