branch,item_id,reference_answer,original_question,paraphrased_question,original_prompt,perturbed_prompt,noise_corrected_drift,question_content_recall,cue_disruption,question_context_content_overlap_delta,original_mean_factual_score,paraphrase_mean_factual_score,factual_score_delta,original_containment_rate,paraphrase_containment_rate,containment_rate_delta,original_mean_output_length_tokens,paraphrase_mean_output_length_tokens,output_length_delta_tokens,prompt_char_edit_distance,prompt_char_edit_distance_norm,question_char_edit_distance,question_char_edit_distance_norm,prompt_token_edit_distance,prompt_token_edit_distance_norm,question_token_edit_distance,question_token_edit_distance_norm,original_prompt_length_tokens,perturbed_prompt_length_tokens,prompt_length_delta_tokens,original_question_length_tokens,paraphrased_question_length_tokens,question_length_delta_tokens,question_length_ratio,mean_output_char_edit_distance,mean_output_char_edit_distance_norm,mean_output_token_edit_distance,mean_output_token_edit_distance_norm,median_output_token_edit_distance_norm,min_output_token_edit_distance_norm,max_output_token_edit_distance_norm,n_output_pairs,output_length_ratio,answer_compactness_loss_proxy,style_expansion_proxy,answer_scope_proxy
outputs_fixed,factual_qa_10038,economic,What type of sanctions has the US directed at Iran?,What sanctions has the United States imposed on Iran despite the Islamic Republic's continued power and support for Shia terrorist groups in various countries?,"Context: The Islamic Republic has also maintained its hold on power in Iran in spite of US economic sanctions, and has created or assisted like-minded Shia terrorist groups in Iraq, Egypt, Syria, Jordan (SCIRI) and Lebanon (Hezbollah) (two Muslim countries that also have large Shiite populations). During the 2006 Israel-Lebanon conflict, the Iranian government enjoyed something of a resurgence in popularity amongst the predominantly Sunni ""Arab street,"" due to its support for Hezbollah and to President Mahmoud Ahmadinejad's vehement opposition to the United States and his call that Israel shall vanish.

Question: What type of sanctions has the US directed at Iran?","Context: The Islamic Republic has also maintained its hold on power in Iran in spite of US economic sanctions, and has created or assisted like-minded Shia terrorist groups in Iraq, Egypt, Syria, Jordan (SCIRI) and Lebanon (Hezbollah) (two Muslim countries that also have large Shiite populations). During the 2006 Israel-Lebanon conflict, the Iranian government enjoyed something of a resurgence in popularity amongst the predominantly Sunni ""Arab street,"" due to its support for Hezbollah and to President Mahmoud Ahmadinejad's vehement opposition to the United States and his call that Israel shall vanish.

Question: What sanctions has the United States imposed on Iran despite the Islamic Republic's continued power and support for Shia terrorist groups in various countries?",0.045451,0.5,0.3333333333333333,0.1208436724565757,0.012162257711749,0.0083354256798057,-0.0038268320319433,1.0,1.0,0.0,165.4,240.4,75.0,105.4957507082153,0.1388101983002833,103.3076923076923,0.6538461538461539,22,0.18333333333333332,22,0.88,105,120,15,10,25,15,2.5,1512.3824514935968,0.9558768391437185,203.32,0.8454729867573478,0.8436018957345972,0.7949790794979079,0.8924302788844621,25,1.4534461910519951,-0.4009218283549473,1.3171322306620967,1.0396139127756086
outputs_fixed,factual_qa_10197,March 2011,When did the Syrian Civil War begin?,When did the conflict in Syria start?,"Context: Originating as the Jama'at al-Tawhid wal-Jihad in 1999, it pledged allegiance to al-Qaeda in 2004, participated in the Iraqi insurgency that followed the March 2003 invasion of Iraq by Western forces, joined the fight in the Syrian Civil War beginning in March 2011, and was expelled from al-Qaeda in early 2014, (which complained of its failure to consult and ""notorious intransigence""). The group gained prominence after it drove Iraqi government forces out of key cities in western Iraq in a 2014 offensive. The group is adept at social media, posting Internet videos of beheadings of soldiers, civilians, journalists and aid workers, and is known for its destruction of cultural heritage sites. The United Nations has held ISIL responsible for human rights abuses and war crimes, and Amnesty International has reported ethnic cleansing by the group on a ""historic scale"". The group has been designated a terrorist organisation by the United Nations, the European Union and member states, the United States, India, Indonesia, Turkey, Saudi Arabia, Syria and other countries.

Question: When did the Syrian Civil War begin?","Context: Originating as the Jama'at al-Tawhid wal-Jihad in 1999, it pledged allegiance to al-Qaeda in 2004, participated in the Iraqi insurgency that followed the March 2003 invasion of Iraq by Western forces, joined the fight in the Syrian Civil War beginning in March 2011, and was expelled from al-Qaeda in early 2014, (which complained of its failure to consult and ""notorious intransigence""). The group gained prominence after it drove Iraqi government forces out of key cities in western Iraq in a 2014 offensive. The group is adept at social media, posting Internet videos of beheadings of soldiers, civilians, journalists and aid workers, and is known for its destruction of cultural heritage sites. The United Nations has held ISIL responsible for human rights abuses and war crimes, and Amnesty International has reported ethnic cleansing by the group on a ""historic scale"". The group has been designated a terrorist organisation by the United Nations, the European Union and member states, the United States, India, Indonesia, Turkey, Saudi Arabia, Syria and other countries.

Question: When did the conflict in Syria start?",0.105928,0.2,0.6000000000000001,-0.0213885778275475,0.4,0.4,0.0,1.0,1.0,0.0,8.0,8.0,0.0,17.507936507936567,0.015873015873015928,14.704225352112676,0.4084507042253521,4,0.02185792349726776,4,0.5714285714285714,183,183,0,7,7,0,1.0,13.671247954782093,0.32321880113044776,3.6,0.45,0.5,0.375,0.5,25,1.0,-0.43737114466310967,-0.34524184882863534,-0.6592094830232859
outputs_fixed,factual_qa_10550,1776,When did Great Britain lose its colonies in North America?,At what point did Great Britain cede its North American colonies?,"Context: The First British Empire was based on mercantilism, and involved colonies and holdings primarily in North America, the Caribbean, and India. Its growth was reversed by the loss of the American colonies in 1776. Britain made compensating gains in India, Australia, and in constructing an informal economic empire through control of trade and finance in Latin America after the independence of Spanish and Portuguese colonies about 1820. By the 1840s, Britain had adopted a highly successful policy of free trade that gave it dominance in the trade of much of the world. After losing its first Empire to the Americans, Britain then turned its attention towards Asia, Africa, and the Pacific. Following the defeat of Napoleonic France in 1815, Britain enjoyed a century of almost unchallenged dominance and expanded its imperial holdings around the globe. Increasing degrees of internal autonomy were granted to its white settler colonies in the 20th century.

Question: When did Great Britain lose its colonies in North America?","Context: The First British Empire was based on mercantilism, and involved colonies and holdings primarily in North America, the Caribbean, and India. Its growth was reversed by the loss of the American colonies in 1776. Britain made compensating gains in India, Australia, and in constructing an informal economic empire through control of trade and finance in Latin America after the independence of Spanish and Portuguese colonies about 1820. By the 1840s, Britain had adopted a highly successful policy of free trade that gave it dominance in the trade of much of the world. After losing its first Empire to the Americans, Britain then turned its attention towards Asia, Africa, and the Pacific. Following the defeat of Napoleonic France in 1815, Britain enjoyed a century of almost unchallenged dominance and expanded its imperial holdings around the globe. Increasing degrees of internal autonomy were granted to its white settler colonies in the 20th century.

Question: At what point did Great Britain cede its North American colonies?",0.122686,0.5714285714285714,0.6428571428571428,-0.0006172839506172,0.0782857142857142,0.0,-0.0782857142857142,1.0,0.0,-1.0,24.6,40.2,15.6,58.7012285012285,0.05749385749385749,20.62809917355372,0.3223140495867769,8,0.04878048780487805,8,0.7272727272727273,163,164,1,10,11,1,1.1,157.64947552867267,0.6083370026229528,28.12,0.7000813930190622,0.717391304347826,0.5714285714285714,0.782608695652174,25,1.6341463414634148,0.3082745326470111,0.0005319597054369363,-4.709602933364887
outputs_fixed,factual_qa_10779,Masovian gothic,"What is St. John's Cathedral an example of, stylistically?",What architectural style is exemplified by St. John's Cathedral?,"Context: Gothic architecture is represented in the majestic churches but also at the burgher houses and fortifications. The most significant buildings are St. John's Cathedral (14th century), the temple is a typical example of the so-called Masovian gothic style, St. Mary's Church (1411), a town house of Burbach family (14th century), Gunpowder Tower (after 1379) and the Royal Castle Curia Maior (1407–1410). The most notable examples of Renaissance architecture in the city are the house of Baryczko merchant family (1562), building called ""The Negro"" (early 17th century) and Salwator tenement (1632). The most interesting examples of mannerist architecture are the Royal Castle (1596–1619) and the Jesuit Church (1609–1626) at Old Town. Among the first structures of the early baroque the most important are St. Hyacinth's Church (1603–1639) and Sigismund's Column (1644).

Question: What is St. John's Cathedral an example of, stylistically?","Context: Gothic architecture is represented in the majestic churches but also at the burgher houses and fortifications. The most significant buildings are St. John's Cathedral (14th century), the temple is a typical example of the so-called Masovian gothic style, St. Mary's Church (1411), a town house of Burbach family (14th century), Gunpowder Tower (after 1379) and the Royal Castle Curia Maior (1407–1410). The most notable examples of Renaissance architecture in the city are the house of Baryczko merchant family (1562), building called ""The Negro"" (early 17th century) and Salwator tenement (1632). The most interesting examples of mannerist architecture are the Royal Castle (1596–1619) and the Jesuit Church (1609–1626) at Old Town. Among the first structures of the early baroque the most important are St. Hyacinth's Church (1603–1639) and Sigismund's Column (1644).

Question: What architectural style is exemplified by St. John's Cathedral?",0.032859,0.6666666666666666,0.1111111111111111,-0.0007207207207207,0.2857142857142857,0.3515151515151515,0.0658008658008658,1.0,1.0,0.0,12.0,9.4,-2.6,33.62934362934368,0.03695532266960844,33.38461538461538,0.5384615384615384,8,0.052980132450331126,8,0.8,151,151,0,10,10,0,1.0,10.881556833259621,0.1628482972136223,4.4,0.36666666666666664,0.3333333333333333,0.3333333333333333,0.4166666666666667,25,0.7833333333333333,-1.0641027469144837,-0.4028708169176474,-1.343570053363672
outputs_fixed,factual_qa_10908,the City council,Who has elected the President of Warsaw since 1990?,"Since 1990, who has been responsible for electing the President of Warsaw?","Context: The mayor of Warsaw is called President. Generally, in Poland, the mayors of bigger cities are called presidents – i.e. such cities, which have over 100,000 people or these, where already was president before 1990. The first Warsaw President was Jan Andrzej Menich (1695–1696). Between 1975 and 1990 the Warsaw Presidents was simultaneously the Warsaw Voivode. Since 1990 the President of Warsaw had been elected by the City council. In the years of 1994–1999 the mayor of the district Centrum automatically was designated as the President of Warsaw: the mayor of Centrum was elected by the district council of Centrum and the council was elected only by the Centrum residents. Since 2002 the President of Warsaw is elected by all of the citizens of Warsaw.

Question: Who has elected the President of Warsaw since 1990?","Context: The mayor of Warsaw is called President. Generally, in Poland, the mayors of bigger cities are called presidents – i.e. such cities, which have over 100,000 people or these, where already was president before 1990. The first Warsaw President was Jan Andrzej Menich (1695–1696). Between 1975 and 1990 the Warsaw Presidents was simultaneously the Warsaw Voivode. Since 1990 the President of Warsaw had been elected by the City council. In the years of 1994–1999 the mayor of the district Centrum automatically was designated as the President of Warsaw: the mayor of Centrum was elected by the district council of Centrum and the council was elected only by the Centrum residents. Since 2002 the President of Warsaw is elected by all of the citizens of Warsaw.

Question: Since 1990, who has been responsible for electing the President of Warsaw?",0.011661,0.6666666666666666,0.0833333333333333,-0.0253699788583509,0.375,0.3363636363636363,-0.0386363636363636,1.0,1.0,0.0,13.0,16.4,3.3999999999999986,61.819291819291784,0.07448107448107444,28.327868852459016,0.39344262295081966,8,0.056338028169014086,8,0.6666666666666666,139,142,3,9,12,3,1.3333333333333333,13.308016877637128,0.08016877637130801,3.4,0.11333333333333333,0.0,0.0,0.5666666666666667,25,1.2615384615384615,-0.06937249005169463,-0.2698808905583889,-0.2158498701416244
outputs_fixed,factual_qa_11075,Nobel Prize,What was Maria Curie the first female recipient of?,What was Maria Curie the first woman to receive?,"Context: One of the most famous people born in Warsaw was Maria Skłodowska-Curie, who achieved international recognition for her research on radioactivity and was the first female recipient of the Nobel Prize. Famous musicians include Władysław Szpilman and Frédéric Chopin. Though Chopin was born in the village of Żelazowa Wola, about 60 km (37 mi) from Warsaw, he moved to the city with his family when he was seven months old. Casimir Pulaski, a Polish general and hero of the American Revolutionary War, was born here in 1745.

Question: What was Maria Curie the first female recipient of?","Context: One of the most famous people born in Warsaw was Maria Skłodowska-Curie, who achieved international recognition for her research on radioactivity and was the first female recipient of the Nobel Prize. Famous musicians include Władysław Szpilman and Frédéric Chopin. Though Chopin was born in the village of Żelazowa Wola, about 60 km (37 mi) from Warsaw, he moved to the city with his family when he was seven months old. Casimir Pulaski, a Polish general and hero of the American Revolutionary War, was born here in 1745.

Question: What was Maria Curie the first woman to receive?",0.015952,0.6666666666666666,0.1111111111111111,-0.0397941680960549,0.3076923076923077,0.3076923076923077,0.0,1.0,1.0,0.0,11.0,11.0,0.0,17.54553339115349,0.030355594102341676,9.79381443298969,0.19587628865979378,3,0.028846153846153848,3,0.3333333333333333,104,104,0,9,9,0,1.0,8.241988077282194,0.1351145586439704,2.6,0.23636363636363636,0.2727272727272727,0.0,0.36363636363636365,25,1.0,-0.43737114466310967,-0.34524184882863534,-0.6592094830232859
outputs_fixed,factual_qa_11262,colonel of the Iroquois,What title did Iroquois give Johnson?,What was the title given to William Johnson by the Iroquois?,"Context: The Iroquois sent runners to the manor of William Johnson in upstate New York. The British Superintendent for Indian Affairs in the New York region and beyond, Johnson was known to the Iroquois as Warraghiggey, meaning ""He who does great things."" He spoke their languages and had become a respected honorary member of the Iroquois Confederacy in the area. In 1746, Johnson was made a colonel of the Iroquois. Later he was commissioned as a colonel of the Western New York Militia. They met at Albany, New York with Governor Clinton and officials from some of the other American colonies. Mohawk Chief Hendrick, Speaker of their tribal council, insisted that the British abide by their obligations and block French expansion. When Clinton did not respond to his satisfaction, Chief Hendrick said that the ""Covenant Chain"", a long-standing friendly relationship between the Iroquois Confederacy and the British Crown, was broken.

Question: What title did Iroquois give Johnson?","Context: The Iroquois sent runners to the manor of William Johnson in upstate New York. The British Superintendent for Indian Affairs in the New York region and beyond, Johnson was known to the Iroquois as Warraghiggey, meaning ""He who does great things."" He spoke their languages and had become a respected honorary member of the Iroquois Confederacy in the area. In 1746, Johnson was made a colonel of the Iroquois. Later he was commissioned as a colonel of the Western New York Militia. They met at Albany, New York with Governor Clinton and officials from some of the other American colonies. Mohawk Chief Hendrick, Speaker of their tribal council, insisted that the British abide by their obligations and block French expansion. When Clinton did not respond to his satisfaction, Chief Hendrick said that the ""Covenant Chain"", a long-standing friendly relationship between the Iroquois Confederacy and the British Crown, was broken.

Question: What was the title given to William Johnson by the Iroquois?",0.002052,0.8,0.2333333333333334,0.0136986301369863,0.2175438596491228,0.1852813852813852,-0.0322624743677375,0.0,0.0,0.0,14.4,17.6,3.200000000000001,33.896551724137886,0.03448275862068961,32.91578947368421,0.5578947368421052,8,0.049079754601226995,8,0.7272727272727273,158,163,5,6,11,5,1.8333333333333333,21.767030856938014,0.21250772999438217,7.04,0.4,0.4444444444444444,0.3333333333333333,0.47058823529411764,25,1.2222222222222223,-0.13008168871160516,-0.27431388810369745,-0.2809920663468435
outputs_fixed,factual_qa_11313,"formalize a unified front in trade and negotiations with various Indians, since allegiance of the various tribes and nations was seen to be pivotal",What was the goal of congress?,What was the objective of the Albany Congress that convened in June and July 1754 in response to the beginning of hostilities?,"Context: An early important political response to the opening of hostilities was the convening of the Albany Congress in June and July, 1754. The goal of the congress was to formalize a unified front in trade and negotiations with various Indians, since allegiance of the various tribes and nations was seen to be pivotal in the success in the war that was unfolding. The plan that the delegates agreed to was never ratified by the colonial legislatures nor approved of by the crown. Nevertheless, the format of the congress and many specifics of the plan became the prototype for confederation during the War of Independence.

Question: What was the goal of congress?","Context: An early important political response to the opening of hostilities was the convening of the Albany Congress in June and July, 1754. The goal of the congress was to formalize a unified front in trade and negotiations with various Indians, since allegiance of the various tribes and nations was seen to be pivotal in the success in the war that was unfolding. The plan that the delegates agreed to was never ratified by the colonial legislatures nor approved of by the crown. Nevertheless, the format of the congress and many specifics of the plan became the prototype for confederation during the War of Independence.

Question: What was the objective of the Albany Congress that convened in June and July 1754 in response to the beginning of hostilities?",0.15627,0.6666666666666666,0.1666666666666667,0.0937990580847723,0.5674876847290641,0.3994040254837229,-0.1680836592453411,0.0,0.0,0.0,32.4,62.2,29.800000000000004,68.35744680851066,0.09078014184397165,82.79220779220779,0.6623376623376623,17,0.1328125,17,0.7727272727272727,112,128,16,6,22,16,3.6666666666666665,264.5473303094728,0.6727989850508181,36.68,0.5783011657392969,0.5423728813559322,0.4528301886792453,0.6987951807228916,25,1.9197530864197532,1.1635704202991028,0.315274785422349,1.6022487161899108
outputs_fixed,factual_qa_11559,Newton's Second Law,What describes the proportionality of acceleration to force and mass?,"What defines the relationship between acceleration, force, and mass according to Newton's Second Law?","Context: Newton's Second Law asserts the direct proportionality of acceleration to force and the inverse proportionality of acceleration to mass. Accelerations can be defined through kinematic measurements. However, while kinematics are well-described through reference frame analysis in advanced physics, there are still deep questions that remain as to what is the proper definition of mass. General relativity offers an equivalence between space-time and mass, but lacking a coherent theory of quantum gravity, it is unclear as to how or whether this connection is relevant on microscales. With some justification, Newton's second law can be taken as a quantitative definition of mass by writing the law as an equality; the relative units of force and mass then are fixed.

Question: What describes the proportionality of acceleration to force and mass?","Context: Newton's Second Law asserts the direct proportionality of acceleration to force and the inverse proportionality of acceleration to mass. Accelerations can be defined through kinematic measurements. However, while kinematics are well-described through reference frame analysis in advanced physics, there are still deep questions that remain as to what is the proper definition of mass. General relativity offers an equivalence between space-time and mass, but lacking a coherent theory of quantum gravity, it is unclear as to how or whether this connection is relevant on microscales. With some justification, Newton's second law can be taken as a quantitative definition of mass by writing the law as an equality; the relative units of force and mass then are fixed.

Question: What defines the relationship between acceleration, force, and mass according to Newton's Second Law?",0.071199,0.6666666666666666,0.1666666666666667,0.0320197044334975,0.0718931247963506,0.0558685209486731,-0.0160246038476774,1.0,1.0,0.0,107.6,143.8,36.20000000000002,75.29672897196265,0.08644859813084116,38.963855421686745,0.3975903614457831,10,0.07246376811594203,10,0.6666666666666666,133,138,5,10,15,5,1.5,790.0831577725006,0.8991979220308883,116.16,0.8056785283603315,0.824,0.6386554621848739,0.8571428571428571,25,1.3364312267657994,-0.28474206413866704,0.45713070687222507,0.2957921532020171
outputs_fixed,factual_qa_11773,nuclear,What is the force between nucleons?,"Research Context: The strong force primarily interacts with elementary particles. Nonetheless, a residue of this force is evident between hadrons, such as the interaction between nucleons in atomic nuclei known as the nuclear force. In this scenario, the strong force indirectly operates through gluons, which are components of virtual pi and rho mesons responsible for transmitting the nuclear force. The inability to detect free quarks in numerous searches indicates that these elementary particles are not directly observable, a principle known as color confinement.

Research Question: What force acts between nucleons?","Context: The strong force only acts directly upon elementary particles. However, a residual of the force is observed between hadrons (the best known example being the force that acts between nucleons in atomic nuclei) as the nuclear force. Here the strong force acts indirectly, transmitted as gluons, which form part of the virtual pi and rho mesons, which classically transmit the nuclear force (see this topic for more). The failure of many searches for free quarks has shown that the elementary particles affected are not directly observable. This phenomenon is called color confinement.

Question: What is the force between nucleons?","Context: The strong force only acts directly upon elementary particles. However, a residual of the force is observed between hadrons (the best known example being the force that acts between nucleons in atomic nuclei) as the nuclear force. Here the strong force acts indirectly, transmitted as gluons, which form part of the virtual pi and rho mesons, which classically transmit the nuclear force (see this topic for more). The failure of many searches for free quarks has shown that the elementary particles affected are not directly observable. This phenomenon is called color confinement.

Question: Research Context: The strong force primarily interacts with elementary particles. Nonetheless, a residue of this force is evident between hadrons, such as the interaction between nucleons in atomic nuclei known as the nuclear force. In this scenario, the strong force indirectly operates through gluons, which are components of virtual pi and rho mesons responsible for transmitting the nuclear force. The inability to detect free quarks in numerous searches indicates that these elementary particles are not directly observable, a principle known as color confinement.

Research Question: What force acts between nucleons?",0.051773,1.0,0.5,0.3305811368688472,0.0263008482032872,0.0461869637790758,0.0198861155757886,1.0,1.0,0.0,76.0,43.0,-33.0,424.01980198019805,0.35423542354235427,592.9503105590062,0.9720496894409938,85,0.46195652173913043,85,0.9444444444444444,100,184,84,6,90,84,15.0,338.5893147502205,0.7223071458922962,51.64,0.6764244950607967,0.6891891891891891,0.5161290322580645,0.7236842105263158,25,0.5657894736842105,-0.6267798541941931,-1.0766864438045576,-1.5800627875302917
