item_id,task_type,perturbation_type,perturbation_intensity,surface_noise_error_count,surface_noise_eligible_token_count,input_similarity,input_drift,output_similarity,output_drift,baseline_similarity,noise_corrected_drift,similarity_metric
code_generation_107,code_generation,surface_noise_high,high,4,42,0.950588,0.049412,0.923424,0.076576,0.921048,-0.002376,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,surface_noise_low,low,1,42,0.998616,0.001384,0.922255,0.077745,0.921048,-0.001207,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,surface_noise_medium,medium,2,42,0.990781,0.009219,0.921427,0.078573,0.921048,-0.000379,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,surface_noise_high,high,8,94,0.941589,0.058411,0.871052,0.128948,0.894483,0.023431,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,surface_noise_low,low,1,94,0.998973,0.001027,0.876123,0.123877,0.894483,0.01836,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,surface_noise_medium,medium,3,94,0.892528,0.107472,0.841931,0.158069,0.894483,0.052552,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,surface_noise_high,high,5,61,0.978632,0.021368,0.964721,0.035279,0.965166,0.000444,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,surface_noise_low,low,1,61,0.996218,0.003782,0.955842,0.044158,0.965166,0.009324,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,surface_noise_medium,medium,2,61,0.994768,0.005232,0.939904,0.060096,0.965166,0.025262,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,surface_noise_high,high,3,21,0.989578,0.010422,0.93052,0.06948,0.93597,0.005449,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,surface_noise_low,low,1,21,0.994334,0.005666,0.941545,0.058455,0.93597,-0.005575,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,surface_noise_medium,medium,2,21,0.986337,0.013663,0.926901,0.073099,0.93597,0.009069,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,surface_noise_high,high,3,15,0.942029,0.057971,0.956015,0.043985,0.943335,-0.012681,sentence-transformers/all-MiniLM-L6-v2
