base_case_id,task,dataset,perturbation_family,strength_level,strength_edits,original_noise,perturbed_noise,noise_baseline,raw_perturbation_drift,noise_corrected_drift,mean_cross_similarity,mean_paired_similarity,clean_single_correct,perturbed_single_correct,single_pass_rate_drop,abs_single_pass_rate_change,single_sample_pdr,clean_mean_correctness,perturbed_mean_correctness,repeated_pass_rate_drop,abs_repeated_pass_rate_change,repeated_sampling_pdr,harmful_correctness_drop,correctness_changed
rq2_dose_humaneval_01,code_generation,HumanEval,context_injection,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_01,code_generation,HumanEval,context_injection,1,1,0.013449164515809834,0.0,0.006724582257904917,0.0750186854713828,0.06829410321347788,0.9249813145286172,0.9249813145286172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_01,code_generation,HumanEval,context_injection,2,2,0.013449164515809834,0.06034432428073629,0.03689674439827306,0.0317362788436845,0.0,0.9682637211563155,0.9785733126481825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_01,code_generation,HumanEval,context_injection,3,3,0.013449164515809834,0.0,0.006724582257904917,0.0750186854713828,0.06829410321347788,0.9249813145286172,0.9249813145286172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_01,code_generation,HumanEval,context_injection,4,4,0.013449164515809834,0.0,0.006724582257904917,0.0750186854713828,0.06829410321347788,0.9249813145286172,0.9249813145286172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_01,code_generation,HumanEval,context_injection,5,5,0.013449164515809834,0.0,0.006724582257904917,0.0750186854713828,0.06829410321347788,0.9249813145286172,0.9249813145286172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_02,code_generation,HumanEval,context_injection,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_02,code_generation,HumanEval,context_injection,1,1,0.0020877626593775642,0.017876359876514147,0.009982061267945855,0.008983613540723844,0.0,0.9910163864592761,0.9904508805577931,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_02,code_generation,HumanEval,context_injection,2,2,0.002079029060452875,0.00559573801511537,0.0038373835377841226,0.00578937880839477,0.0019519952706106474,0.9942106211916052,0.9941451232035551,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_02,code_generation,HumanEval,context_injection,3,3,0.002079029060452875,0.017725946791783076,0.009902487926117975,0.01328677755219724,0.003384289626079265,0.9867132224478028,0.9861348917252398,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_02,code_generation,HumanEval,context_injection,4,4,0.002079029060452875,0.004652292196631176,0.0033656606285420256,0.007642360138316293,0.004276699509774268,0.9923576398616837,0.9927512416680797,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_02,code_generation,HumanEval,context_injection,5,5,0.002079029060452875,0.010480482300208371,0.006279755680330623,0.00627949795899606,0.0,0.9937205020410039,0.9940488408007989,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_03,code_generation,HumanEval,context_injection,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_03,code_generation,HumanEval,context_injection,1,1,0.0,2.220446049250313e-16,1.1102230246251565e-16,0.3492243914049977,0.3492243914049976,0.6507756085950023,0.6507756085950023,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1
rq2_dose_humaneval_03,code_generation,HumanEval,context_injection,2,2,0.0,0.16630507115083515,0.08315253557541757,0.22385518033084661,0.14070264475542904,0.7761448196691534,0.7761448196691534,1.0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.33333333333333337,1,1
rq2_dose_humaneval_03,code_generation,HumanEval,context_injection,3,3,0.0,0.0,0.0,0.16118104352648244,0.16118104352648244,0.8388189564735176,0.8388189564735176,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_03,code_generation,HumanEval,context_injection,4,4,0.0,0.10743024114482957,0.05371512057241479,0.05371512057241479,0.0,0.9462848794275852,0.9462848794275852,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_03,code_generation,HumanEval,context_injection,5,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_04,code_generation,HumanEval,context_injection,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0,0
rq2_dose_humaneval_04,code_generation,HumanEval,context_injection,1,1,0.11318825257516192,1.1102230246251565e-16,0.056594126287581016,0.056594126287581016,0.0,0.943405873712419,0.943405873712419,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,-0.33333333333333337,0.33333333333333337,-0.5000000000000001,0,1
rq2_dose_humaneval_04,code_generation,HumanEval,context_injection,2,2,0.11318825257516192,0.11318825257516192,0.11318825257516192,0.07545883505010798,0.0,0.924541164949892,0.886811747424838,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0,0
rq2_dose_humaneval_04,code_generation,HumanEval,context_injection,3,3,0.11318825257516192,0.11318174565175261,0.11318499911345727,0.07545687874878443,0.0,0.9245431212512156,0.9999996107889763,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0,0
rq2_dose_humaneval_04,code_generation,HumanEval,context_injection,4,4,0.11318825257516192,0.011289764647880932,0.06223900861152143,0.06381813032433296,0.0015791217128115348,0.9361818696756671,0.9377609913884786,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,-0.33333333333333337,0.33333333333333337,-0.5000000000000001,0,1
rq2_dose_humaneval_04,code_generation,HumanEval,context_injection,5,5,0.11318825257516192,0.011289764647880932,0.06223900861152143,0.06381813032433296,0.0015791217128115348,0.9361818696756671,0.9377609913884786,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,-0.33333333333333337,0.33333333333333337,-0.5000000000000001,0,1
rq2_dose_humaneval_05,code_generation,HumanEval,context_injection,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_05,code_generation,HumanEval,context_injection,1,1,0.0,0.0014666540647450728,0.0007333270323725364,0.0007333270323725364,0.0,0.9992666729676275,0.9992666729676275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_05,code_generation,HumanEval,context_injection,2,2,0.0,0.0821430554309482,0.0410715277154741,0.0410532179257298,0.0,0.9589467820742702,0.9589467820742702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_05,code_generation,HumanEval,context_injection,3,3,0.0,0.0024530824760700862,0.0012265412380350431,0.0014591298660931635,0.00023258862805812042,0.9985408701339068,0.9985408701339068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_05,code_generation,HumanEval,context_injection,4,4,0.0,0.0014666540647450728,0.0007333270323725364,0.0007333270323725364,0.0,0.9992666729676275,0.9992666729676275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_humaneval_05,code_generation,HumanEval,context_injection,5,5,0.0,0.0024530824760700862,0.0012265412380350431,0.0018295554816053865,0.0006030142435703434,0.9981704445183947,0.9981704445183947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,1,1,0.001797390748760545,0.0017243550495807576,0.0017608728991706513,0.0013452407843648206,0.0,0.9986547592156352,0.9995546330240821,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,2,2,0.001797390748760545,0.003015223173989612,0.0024063069613750785,0.002188461311844642,0.0,0.9978115386881553,0.9979191693082338,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,3,3,0.001797390748760545,0.002269573796340296,0.0020334822725504207,0.0015749128341171852,0.0,0.9984250871658829,0.9979945094080005,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,4,4,0.001797390748760545,0.0026311502674501628,0.0022142705081053538,0.0016589944905737051,0.0,0.9983410055094263,0.9980649621524652,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,5,5,0.0017994914967221314,0.0008188367527128815,0.0013091641247175065,0.0019180429780098545,0.000608878853292348,0.9980819570219901,0.9980936863199434,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_longfact_02,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_longfact_02,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,1,1,0.01791098503911215,0.028386299142163767,0.02314864209063796,0.02430538364917207,0.0011567415585341106,0.9756946163508279,0.9726429311332442,1.0,0.8571428571428571,0.1428571428571429,0.1428571428571429,0.1428571428571429,1.0,0.9047619047619048,0.09523809523809523,0.09523809523809523,0.09523809523809523,1,1
rq2_dose_longfact_02,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,2,2,0.01791098503911215,0.009205346434936054,0.013558165737024102,0.017785616460467835,0.004227450723443733,0.9822143835395322,0.983461521905217,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_longfact_02,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,3,3,0.01791098503911215,0.016640061663191652,0.0172755233511519,0.025527825416333052,0.008252302065181152,0.974472174583667,0.9759615138031734,1.0,1.0,0.0,0.0,0.0,1.0,0.9523809523809523,0.04761904761904767,0.04761904761904767,0.04761904761904767,1,1
rq2_dose_longfact_02,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,4,4,0.01791098503911215,0.012262645828621613,0.01508681543386688,0.01767162342439225,0.0025848079905253715,0.9823283765756078,0.9804704036516405,1.0,0.8571428571428571,0.1428571428571429,0.1428571428571429,0.1428571428571429,1.0,0.9047619047619048,0.09523809523809523,0.09523809523809523,0.09523809523809523,1,1
rq2_dose_longfact_02,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,5,5,0.01791098503911215,0.005353161044593269,0.011632073041852709,0.0166937968603497,0.005061723818496993,0.9833062031396503,0.9828159962598336,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_longfact_03,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_longfact_03,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,1,1,0.0006099279356902206,0.0008129461621069941,0.0007114370488986074,0.0006874116449197985,0.0,0.9993125883550802,0.9994692248063579,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_longfact_03,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,2,2,0.0006099279356902206,0.0010113338632469955,0.000810630899468608,0.0021951935219295025,0.0013845626224608944,0.9978048064780705,0.9978283352691287,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_longfact_03,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,3,3,0.0006099279356902206,0.0026793351291734733,0.001644631532431847,0.0016865230375977907,4.1891505165943645e-05,0.9983134769624022,0.9981618604069081,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
rq2_dose_longfact_03,long_factual_qa,LongFactQA-Stress-Decoy,context_injection,4,4,0.0006099279356902206,0.0006096007307506331,0.0006097643332204269,0.0005093161690801207,0.0,0.9994906838309199,0.9996938975652752,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
