base_case_id,task,n_levels,spearman_strength_to_similarity,spearman_strength_to_corrected_drift,spearman_strength_to_abs_correctness_change,spearman_similarity_to_abs_correctness_change
rq2_dose_humaneval_01,code_generation,5,-0.7,,,
rq2_dose_humaneval_06,code_generation,5,-0.15389675281277312,,,
rq2_dose_humaneval_11,code_generation,5,-0.1,0.8944271909999159,0.4472135954999579,-0.33541019662496846
rq2_dose_humaneval_16,code_generation,5,-0.9746794344808964,0.9486832980505138,,
rq2_dose_humaneval_21,code_generation,5,-0.3,0.7071067811865475,0.8660254037844386,-0.28867513459481287
rq2_dose_humaneval_26,code_generation,5,-0.9746794344808964,0.8660254037844386,0.7905694150420948,-0.8111071056538127
rq2_dose_humaneval_31,code_generation,5,-0.9,0.1,0.7071067811865475,-0.7071067811865475
rq2_dose_humaneval_36,code_generation,5,-0.9,0.7826237921249264,0.7826237921249264,-0.8944271909999159
rq2_dose_humaneval_41,code_generation,5,-0.1,-0.10259783520851541,0.35909242322980395,-0.41039134083406165
rq2_dose_humaneval_46,code_generation,5,-0.6,0.41039134083406165,0.6708203932499369,-0.22360679774997896
rq2_dose_longfact_01,long_factual_qa,5,-0.9,0.35355339059327373,0.7071067811865475,-0.35355339059327373
rq2_dose_longfact_06,long_factual_qa,5,-0.3,0.872081599272381,0.7071067811865475,-0.7071067811865475
rq2_dose_longfact_11,long_factual_qa,5,-1.0,0.10259783520851541,0.7071067811865475,-0.7071067811865475
rq2_dose_longfact_16,long_factual_qa,5,-0.6,0.7,0.4616902584383194,-0.9746794344808964
rq2_dose_longfact_21,long_factual_qa,5,-0.7,0.8207826816681233,0.3,-0.7
rq2_dose_longfact_26,long_factual_qa,5,-0.1,0.7071067811865475,0.4472135954999579,-0.11180339887498948
rq2_dose_longfact_31,long_factual_qa,5,-0.1,0.4,0.7,-0.4
rq2_dose_longfact_36,long_factual_qa,5,-0.7,0.7071067811865475,0.7378647873726218,-0.9486832980505138
rq2_dose_longfact_41,long_factual_qa,5,-0.1,0.1,0.22360679774997896,-0.8944271909999159
rq2_dose_longfact_46,long_factual_qa,5,-0.9,,0.31622776601683794,-0.5270462766947299
rq2_dose_math_01,math_reasoning,5,-0.4,0.35355339059327373,0.22360679774997896,-0.7826237921249264
rq2_dose_math_06,math_reasoning,5,-0.4,0.872081599272381,0.872081599272381,-0.6668859288553503
rq2_dose_math_11,math_reasoning,5,-0.6,0.8944271909999159,,
rq2_dose_math_16,math_reasoning,5,-0.5,0.22360679774997896,,
rq2_dose_math_21,math_reasoning,5,-0.6,0.0,0.8660254037844386,-0.28867513459481287
rq2_dose_math_26,math_reasoning,5,-0.7,0.8207826816681233,,
rq2_dose_math_31,math_reasoning,5,-0.6,0.8944271909999159,0.6668859288553503,-0.9746794344808964
rq2_dose_math_36,math_reasoning,5,-0.4,0.35355339059327373,0.8944271909999159,-0.6708203932499369
rq2_dose_math_41,math_reasoning,5,-0.1,,0.0,-0.28867513459481287
rq2_dose_math_46,math_reasoning,5,-1.0,1.0,-0.28867513459481287,0.28867513459481287
rq2_dose_squad_01,factual_qa,5,,,,
rq2_dose_squad_06,factual_qa,5,-0.22360679774997896,-0.35355339059327373,,
rq2_dose_squad_11,factual_qa,5,-0.9746794344808964,0.15811388300841897,,
rq2_dose_squad_16,factual_qa,5,-0.7,0.9746794344808964,,
rq2_dose_squad_21,factual_qa,5,-0.9,0.9,,
rq2_dose_squad_26,factual_qa,5,,,,
rq2_dose_squad_31,factual_qa,5,-0.20519567041703082,-0.35355339059327373,,
rq2_dose_squad_36,factual_qa,5,-0.8207826816681233,0.8207826816681233,,
rq2_dose_squad_41,factual_qa,5,-0.8660254037844386,,,
rq2_dose_squad_46,factual_qa,5,-0.8207826816681233,0.7905694150420948,,
