item_id,task_type,perturbation_type,input_similarity,input_drift,output_similarity,output_drift,baseline_similarity,noise_corrected_drift,similarity_metric,sampling_seed
code_generation_117,code_generation,context_injection,0.97431,0.02569,0.973161,0.026839,0.968763,-0.004398,sentence-transformers/all-MiniLM-L6-v2,20260702
code_generation_109,code_generation,context_injection,0.971015,0.028985,0.885976,0.114024,0.902029,0.016053,sentence-transformers/all-MiniLM-L6-v2,20260702
code_generation_109,code_generation,formatting_changes,0.991376,0.008624,0.881598,0.118402,0.902029,0.020431,sentence-transformers/all-MiniLM-L6-v2,20260702
code_generation_138,code_generation,formatting_changes,0.972771,0.027229,0.943949,0.056051,0.948262,0.004313,sentence-transformers/all-MiniLM-L6-v2,20260702
code_generation_128,code_generation,paraphrasing,0.920679,0.079321,0.898029,0.101971,0.946336,0.048307,sentence-transformers/all-MiniLM-L6-v2,20260702
code_generation_109,code_generation,paraphrasing,0.81225,0.18775,0.755246,0.244754,0.902029,0.146783,sentence-transformers/all-MiniLM-L6-v2,20260702
code_generation_138,code_generation,reordering,0.980981,0.019019,0.938492,0.061508,0.948262,0.009769,sentence-transformers/all-MiniLM-L6-v2,20260702
code_generation_143,code_generation,reordering,0.968363,0.031637,0.954183,0.045817,0.930535,-0.023647,sentence-transformers/all-MiniLM-L6-v2,20260702
code_generation_128,code_generation,surface_noise,0.991357,0.008643,0.942497,0.057503,0.946336,0.003839,sentence-transformers/all-MiniLM-L6-v2,20260702
code_generation_138,code_generation,surface_noise,0.955261,0.044739,0.955229,0.044771,0.948262,-0.006968,sentence-transformers/all-MiniLM-L6-v2,20260702
factual_qa_3373,factual_qa,context_injection,0.964833,0.035167,0.998869,0.001131,0.998385,-0.000483,sentence-transformers/all-MiniLM-L6-v2,20260702
factual_qa_8164,factual_qa,context_injection,0.945448,0.054552,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2,20260702
factual_qa_3373,factual_qa,formatting_changes,0.97706,0.02294,0.998708,0.001292,0.998385,-0.000323,sentence-transformers/all-MiniLM-L6-v2,20260702
factual_qa_8164,factual_qa,formatting_changes,0.985268,0.014732,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2,20260702
factual_qa_4029,factual_qa,paraphrasing,0.884132,0.115868,0.844257,0.155743,1.0,0.155743,sentence-transformers/all-MiniLM-L6-v2,20260702
factual_qa_2289,factual_qa,paraphrasing,0.592475,0.407525,0.882315,0.117685,0.97859,0.096274,sentence-transformers/all-MiniLM-L6-v2,20260702
factual_qa_6353,factual_qa,reordering,0.976455,0.023545,0.924451,0.075549,0.952329,0.027878,sentence-transformers/all-MiniLM-L6-v2,20260702
factual_qa_10908,factual_qa,reordering,0.960723,0.039277,0.804998,0.195002,1.0,0.195003,sentence-transformers/all-MiniLM-L6-v2,20260702
factual_qa_4029,factual_qa,surface_noise,0.995077,0.004923,1.0,0.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2,20260702
factual_qa_7525,factual_qa,surface_noise,0.997659,0.002341,0.86955,0.13045,0.828729,-0.040822,sentence-transformers/all-MiniLM-L6-v2,20260702
math_reasoning_8004,math_reasoning,context_injection,0.884194,0.115806,0.952248,0.047752,0.939082,-0.013167,sentence-transformers/all-MiniLM-L6-v2,20260702
math_reasoning_3886,math_reasoning,context_injection,0.913364,0.086636,0.864813,0.135187,0.848252,-0.016561,sentence-transformers/all-MiniLM-L6-v2,20260702
math_reasoning_5497,math_reasoning,formatting_changes,0.962939,0.037061,0.978689,0.021311,0.980003,0.001314,sentence-transformers/all-MiniLM-L6-v2,20260702
math_reasoning_4807,math_reasoning,formatting_changes,0.969589,0.030411,0.948062,0.051938,0.941622,-0.00644,sentence-transformers/all-MiniLM-L6-v2,20260702
math_reasoning_5497,math_reasoning,paraphrasing,0.970422,0.029578,0.967002,0.032998,0.980003,0.013001,sentence-transformers/all-MiniLM-L6-v2,20260702
math_reasoning_4807,math_reasoning,paraphrasing,0.823429,0.176571,0.92304,0.07696,0.941622,0.018581,sentence-transformers/all-MiniLM-L6-v2,20260702
math_reasoning_8004,math_reasoning,reordering,0.985532,0.014468,0.952708,0.047292,0.939082,-0.013626,sentence-transformers/all-MiniLM-L6-v2,20260702
math_reasoning_10926,math_reasoning,reordering,0.993383,0.006617,0.955667,0.044333,0.961172,0.005504,sentence-transformers/all-MiniLM-L6-v2,20260702
math_reasoning_4807,math_reasoning,surface_noise,0.998889,0.001111,0.944714,0.055286,0.941622,-0.003092,sentence-transformers/all-MiniLM-L6-v2,20260702
math_reasoning_5497,math_reasoning,surface_noise,0.986643,0.013357,0.980542,0.019458,0.980003,-0.000539,sentence-transformers/all-MiniLM-L6-v2,20260702
open_ended_writing_10208,open_ended_writing,context_injection,0.802074,0.197926,0.89721,0.10279,0.944571,0.047361,sentence-transformers/all-MiniLM-L6-v2,20260702
open_ended_writing_35144,open_ended_writing,context_injection,0.911431,0.088569,0.85024,0.14976,0.821372,-0.028868,sentence-transformers/all-MiniLM-L6-v2,20260702
open_ended_writing_50246,open_ended_writing,formatting_changes,0.900984,0.099016,0.89816,0.10184,0.918756,0.020596,sentence-transformers/all-MiniLM-L6-v2,20260702
