scope_type,scope_value,n,relationship,x,y,pearson,spearman,spearman_ci95_low,spearman_ci95_high,spearman_permutation_p_two_sided
overall,all,150,primary,noise_corrected_drift,abs_repeated_pass_rate_change,0.536327085570062,0.34929383243287326,0.1866167348065147,0.5005530672992884,0.000999000999000999
overall,all,150,raw_auxiliary,raw_perturbation_drift,abs_repeated_pass_rate_change,0.4816570211801474,0.40914314252879624,0.27942840247944006,0.5273645651752482,0.000999000999000999
overall,all,150,single_vs_repeated_auxiliary,uncorrected_single_drift,abs_repeated_pass_rate_change,0.4323172256419085,0.3830086564225981,0.25996377047040364,0.5111439545101362,0.000999000999000999
overall,all,150,signed_drop,noise_corrected_drift,repeated_pass_rate_drop,0.5264274569251655,0.16671398568099982,-0.03595088755295954,0.34761201546261333,0.03796203796203796
overall,all,150,harmful_drop_binary,noise_corrected_drift,harmful_correctness_drop,0.4615545340135578,0.3559683119437215,0.18565855872925174,0.5051940912287155,0.000999000999000999
overall,all,150,raw_harmful_drop_binary,raw_perturbation_drift,harmful_correctness_drop,0.41170348048492844,0.28035189743871924,0.13266178027962688,0.41451837499679,0.000999000999000999
overall,all,150,single_sample,uncorrected_single_drift,abs_single_pass_rate_change,0.4104338536631455,0.3367701604400113,0.20127404611640493,0.4629331629301702,0.000999000999000999
overall,all,150,single_change_auxiliary,noise_corrected_drift,abs_single_pass_rate_change,0.40496421177188857,0.28722631762223305,0.11511362532597884,0.4533604833617897,0.001998001998001998
task,code_generation,50,primary,noise_corrected_drift,abs_repeated_pass_rate_change,0.7469902591247614,0.514900085367457,0.18010966026433314,0.7318556015892832,0.001998001998001998
task,code_generation,50,raw_auxiliary,raw_perturbation_drift,abs_repeated_pass_rate_change,0.6480820644182876,0.4867150746384617,0.21463330022330784,0.6837185873662415,0.000999000999000999
task,code_generation,50,single_vs_repeated_auxiliary,uncorrected_single_drift,abs_repeated_pass_rate_change,0.5784749499042819,0.45962610101224505,0.21658552866615585,0.6510378735088843,0.000999000999000999
task,code_generation,50,signed_drop,noise_corrected_drift,repeated_pass_rate_drop,0.6918996190288054,0.2576995594186208,-0.12444709079351736,0.5783580328801886,0.06493506493506493
task,code_generation,50,harmful_drop_binary,noise_corrected_drift,harmful_correctness_drop,0.6933381281106804,0.4553002882623849,0.1165872346690902,0.6771022567423584,0.000999000999000999
task,code_generation,50,raw_harmful_drop_binary,raw_perturbation_drift,harmful_correctness_drop,0.6226668923483674,0.4822195490367364,0.2686267268257284,0.6318788719979467,0.000999000999000999
task,code_generation,50,single_sample,uncorrected_single_drift,abs_single_pass_rate_change,0.6121844665684415,0.5349673685722155,0.29161707600560943,0.7130311121214773,0.000999000999000999
task,code_generation,50,single_change_auxiliary,noise_corrected_drift,abs_single_pass_rate_change,0.5344310077019471,0.37366206706230454,0.028506769747485894,0.637693253141171,0.00999000999000999
task,factual_qa,50,primary,noise_corrected_drift,abs_repeated_pass_rate_change,0.9437349171222739,0.16192598941384265,-0.1489022952266323,0.5310726457632933,0.08291708291708291
task,factual_qa,50,raw_auxiliary,raw_perturbation_drift,abs_repeated_pass_rate_change,0.9645097822405772,0.3513650878047123,0.2471041956992128,0.5498534708465368,0.000999000999000999
task,factual_qa,50,single_vs_repeated_auxiliary,uncorrected_single_drift,abs_repeated_pass_rate_change,0.9129390193425759,0.22650073689459505,0.025664605532372802,0.4601461068419194,0.07292707292707293
