inspection_category,rank,case_id,task,dataset,perturbation,noise_corrected_drift,raw_perturbation_drift,uncorrected_single_drift,noise_baseline,clean_mean_correctness,perturbed_mean_correctness,repeated_pass_rate_drop,abs_repeated_pass_rate_change,harmful_correctness_drop,correctness_changed
high_corrected_drift_high_correctness_drift,1,promptrobust_pdr_paraphrase_squad_08,factual_qa,SQuAD V2,paraphrase,0.41575019866255514,0.41575019866255525,0.41575019866255525,1.1102230246251565e-16,1,0,1.0,1.0,1,1
high_corrected_drift_high_correctness_drift,2,promptrobust_pdr_formatting_humaneval_03,code_generation,HumanEval,formatting,0.3492243914049976,0.3492243914049977,0.3492243914049977,1.1102230246251565e-16,1.0,0.0,1.0,1.0,1,1
high_corrected_drift_high_correctness_drift,3,promptrobust_pdr_paraphrase_humaneval_04,code_generation,HumanEval,paraphrase,0.16976289069259254,0.16976289069259265,0.16976289069259265,1.1102230246251565e-16,1.0,0.0,1.0,1.0,1,1
high_corrected_drift_high_correctness_drift,4,promptrobust_pdr_formatting_humaneval_09,code_generation,HumanEval,formatting,0.12303028863511735,0.12326928112127196,0.12338314341903223,0.00023899248615461,1.0,0.0,1.0,1.0,1,1
high_corrected_drift_high_correctness_drift,5,promptrobust_pdr_surface_noise_humaneval_09,code_generation,HumanEval,surface_noise,0.10210039585583176,0.11758460084061814,0.12312336255741219,0.015484204984786382,1.0,0.0,1.0,1.0,1,1
high_corrected_drift_high_correctness_drift,6,promptrobust_pdr_context_injection_humaneval_06,code_generation,HumanEval,context_injection,0.05195162643369098,0.11104000150625176,0.16342585999802894,0.05908837507256078,0.0,0.6666666666666666,-0.6666666666666666,0.6666666666666666,0,1
high_corrected_drift_high_correctness_drift,7,promptrobust_pdr_formatting_humaneval_02,code_generation,HumanEval,formatting,0.03245450244481479,0.09726491071839281,0.131244308302501,0.06481040827357802,1.0,0.3333333333333333,0.6666666666666667,0.6666666666666667,1,1
high_corrected_drift_high_correctness_drift,8,promptrobust_pdr_context_injection_humaneval_04,code_generation,HumanEval,context_injection,0.021671072504500254,0.07826246467793811,0.016929767577683164,0.05659139217343786,0.6666666666666666,1.0,-0.33333333333333337,0.33333333333333337,0,1
high_corrected_drift_high_correctness_drift,9,promptrobust_pdr_surface_noise_math_06,math_reasoning,MATH,surface_noise,0.006822273898649509,0.01452136063797391,0.015027985505772445,0.007699086739324401,1.0,0.0,1.0,1.0,1,1
high_corrected_drift_high_correctness_drift,10,promptrobust_pdr_reordering_math_05,math_reasoning,MATH,reordering,0.009077828911886805,0.0432169824146804,0.07256616057111498,0.0341391535027936,1.0,0.3333333333333333,0.6666666666666667,0.6666666666666667,1,1
high_corrected_drift_no_correctness_drift,1,promptrobust_pdr_formatting_math_03,math_reasoning,MATH,formatting,0.10500771683898985,0.16746868786033084,0.15580014270095766,0.062460971021340995,0.0,0.0,0.0,0.0,0,0
high_corrected_drift_no_correctness_drift,2,promptrobust_pdr_surface_noise_humaneval_01,code_generation,HumanEval,surface_noise,0.06829442710378233,0.07501916417337598,0.0642644721202521,0.006724737069593645,0.0,0.0,0.0,0.0,0,0
high_corrected_drift_no_correctness_drift,3,promptrobust_pdr_formatting_humaneval_10,code_generation,HumanEval,formatting,0.04020220810700312,0.14768351833731524,0.19512568478672565,0.10748131023031213,0.0,0.0,0.0,0.0,0,0
high_corrected_drift_no_correctness_drift,4,promptrobust_pdr_context_injection_squad_02,factual_qa,SQuAD V2,context_injection,0.034375604920426746,0.06874632611536623,0.0,0.03437072119493948,1,1,0.0,0.0,0,0
high_corrected_drift_no_correctness_drift,5,promptrobust_pdr_context_injection_humaneval_01,code_generation,HumanEval,context_injection,0.023436943539050185,0.05359846933600528,0.06426064840613255,0.030161525796955097,0.0,0.0,0.0,0.0,0,0
high_corrected_drift_no_correctness_drift,6,promptrobust_pdr_paraphrase_humaneval_01,code_generation,HumanEval,paraphrase,0.021420216135377517,0.042840432270755034,0.06426064840613255,0.021420216135377517,0.0,0.0,0.0,0.0,0,0
high_corrected_drift_no_correctness_drift,7,promptrobust_pdr_context_injection_humaneval_05,code_generation,HumanEval,context_injection,0.013767442649619521,0.02811700439016586,0.004557916923867089,0.014349561740546338,0.0,0.0,0.0,0.0,0,0
high_corrected_drift_no_correctness_drift,8,promptrobust_pdr_formatting_humaneval_05,code_generation,HumanEval,formatting,0.01225060998510704,0.032588084108923096,0.03849076829777187,0.020337474123816056,0.0,0.0,0.0,0.0,0,0
high_corrected_drift_no_correctness_drift,9,promptrobust_pdr_surface_noise_humaneval_06,code_generation,HumanEval,surface_noise,0.012216042344230418,0.049390033311389914,0.05926565957685104,0.037173990967159495,0.0,0.0,0.0,0.0,0,0
high_corrected_drift_no_correctness_drift,10,promptrobust_pdr_surface_noise_squad_09,factual_qa,SQuAD V2,surface_noise,0.011188774786905163,0.022377549573810402,0.033566324360715605,0.01118877478690524,1,1,0.0,0.0,0,0
low_corrected_drift_high_correctness_drift,1,promptrobust_pdr_surface_noise_math_08,math_reasoning,MATH,surface_noise,0.003139136698297092,0.00988948254185773,0.005345286901875634,0.0067503458435606385,0.0,1.0,-1.0,1.0,0,1
low_corrected_drift_high_correctness_drift,2,promptrobust_pdr_surface_noise_math_06,math_reasoning,MATH,surface_noise,0.006822273898649509,0.01452136063797391,0.015027985505772445,0.007699086739324401,1.0,0.0,1.0,1.0,1,1
low_corrected_drift_high_correctness_drift,3,promptrobust_pdr_surface_noise_humaneval_09,code_generation,HumanEval,surface_noise,0.10210039585583176,0.11758460084061814,0.12312336255741219,0.015484204984786382,1.0,0.0,1.0,1.0,1,1
low_corrected_drift_high_correctness_drift,4,promptrobust_pdr_formatting_humaneval_09,code_generation,HumanEval,formatting,0.12303028863511735,0.12326928112127196,0.12338314341903223,0.00023899248615461,1.0,0.0,1.0,1.0,1,1
low_corrected_drift_high_correctness_drift,5,promptrobust_pdr_paraphrase_humaneval_04,code_generation,HumanEval,paraphrase,0.16976289069259254,0.16976289069259265,0.16976289069259265,1.1102230246251565e-16,1.0,0.0,1.0,1.0,1,1
low_corrected_drift_high_correctness_drift,6,promptrobust_pdr_formatting_humaneval_03,code_generation,HumanEval,formatting,0.3492243914049976,0.3492243914049977,0.3492243914049977,1.1102230246251565e-16,1.0,0.0,1.0,1.0,1,1
low_corrected_drift_high_correctness_drift,7,promptrobust_pdr_paraphrase_squad_08,factual_qa,SQuAD V2,paraphrase,0.41575019866255514,0.41575019866255525,0.41575019866255525,1.1102230246251565e-16,1,0,1.0,1.0,1,1
low_corrected_drift_high_correctness_drift,8,promptrobust_pdr_formatting_math_04,math_reasoning,MATH,formatting,0.0,0.07182670773971986,0.025343459838937488,0.07684624115407204,0.3333333333333333,1.0,-0.6666666666666667,0.6666666666666667,0,1
low_corrected_drift_high_correctness_drift,9,promptrobust_pdr_formatting_math_05,math_reasoning,MATH,formatting,0.0,0.037391500688076125,0.02179703004028799,0.04071132303863685,0.3333333333333333,1.0,-0.6666666666666667,0.6666666666666667,0,1
low_corrected_drift_high_correctness_drift,10,promptrobust_pdr_paraphrase_humaneval_09,code_generation,HumanEval,paraphrase,3.0100679817981774e-05,0.0010961659871115107,0.0005769702747013827,0.0010660653072935289,0.3333333333333333,1.0,-0.6666666666666667,0.6666666666666667,0,1
largest_harmful_correctness_drop,1,promptrobust_pdr_formatting_humaneval_03,code_generation,HumanEval,formatting,0.3492243914049976,0.3492243914049977,0.3492243914049977,1.1102230246251565e-16,1.0,0.0,1.0,1.0,1,1
largest_harmful_correctness_drop,2,promptrobust_pdr_formatting_humaneval_09,code_generation,HumanEval,formatting,0.12303028863511735,0.12326928112127196,0.12338314341903223,0.00023899248615461,1.0,0.0,1.0,1.0,1,1
largest_harmful_correctness_drop,3,promptrobust_pdr_paraphrase_humaneval_04,code_generation,HumanEval,paraphrase,0.16976289069259254,0.16976289069259265,0.16976289069259265,1.1102230246251565e-16,1.0,0.0,1.0,1.0,1,1
largest_harmful_correctness_drop,4,promptrobust_pdr_surface_noise_humaneval_09,code_generation,HumanEval,surface_noise,0.10210039585583176,0.11758460084061814,0.12312336255741219,0.015484204984786382,1.0,0.0,1.0,1.0,1,1
largest_harmful_correctness_drop,5,promptrobust_pdr_paraphrase_squad_08,factual_qa,SQuAD V2,paraphrase,0.41575019866255514,0.41575019866255525,0.41575019866255525,1.1102230246251565e-16,1,0,1.0,1.0,1,1
largest_harmful_correctness_drop,6,promptrobust_pdr_surface_noise_math_06,math_reasoning,MATH,surface_noise,0.006822273898649509,0.01452136063797391,0.015027985505772445,0.007699086739324401,1.0,0.0,1.0,1.0,1,1
largest_harmful_correctness_drop,7,promptrobust_pdr_formatting_humaneval_02,code_generation,HumanEval,formatting,0.03245450244481479,0.09726491071839281,0.131244308302501,0.06481040827357802,1.0,0.3333333333333333,0.6666666666666667,0.6666666666666667,1,1
largest_harmful_correctness_drop,8,promptrobust_pdr_reordering_math_05,math_reasoning,MATH,reordering,0.009077828911886805,0.0432169824146804,0.07256616057111498,0.0341391535027936,1.0,0.3333333333333333,0.6666666666666667,0.6666666666666667,1,1
largest_harmful_correctness_drop,9,promptrobust_pdr_paraphrase_math_08,math_reasoning,MATH,paraphrase,0.0,0.01430368393365712,0.019018666272399676,0.014974232979900342,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,1,1
largest_harmful_correctness_drop,10,promptrobust_pdr_surface_noise_squad_08,factual_qa,SQuAD V2,surface_noise,0.0,0.13858339955418522,2.220446049250313e-16,0.13858339955418522,1,0.6666666666666666,0.33333333333333337,0.33333333333333337,1,1
largest_correctness_improvement,1,promptrobust_pdr_surface_noise_math_08,math_reasoning,MATH,surface_noise,0.003139136698297092,0.00988948254185773,0.005345286901875634,0.0067503458435606385,0.0,1.0,-1.0,1.0,0,1
largest_correctness_improvement,2,promptrobust_pdr_paraphrase_humaneval_09,code_generation,HumanEval,paraphrase,3.0100679817981774e-05,0.0010961659871115107,0.0005769702747013827,0.0010660653072935289,0.3333333333333333,1.0,-0.6666666666666667,0.6666666666666667,0,1
largest_correctness_improvement,3,promptrobust_pdr_formatting_math_04,math_reasoning,MATH,formatting,0.0,0.07182670773971986,0.025343459838937488,0.07684624115407204,0.3333333333333333,1.0,-0.6666666666666667,0.6666666666666667,0,1
largest_correctness_improvement,4,promptrobust_pdr_formatting_math_05,math_reasoning,MATH,formatting,0.0,0.037391500688076125,0.02179703004028799,0.04071132303863685,0.3333333333333333,1.0,-0.6666666666666667,0.6666666666666667,0,1
largest_correctness_improvement,5,promptrobust_pdr_context_injection_humaneval_06,code_generation,HumanEval,context_injection,0.05195162643369098,0.11104000150625176,0.16342585999802894,0.05908837507256078,0.0,0.6666666666666666,-0.6666666666666666,0.6666666666666666,0,1
largest_correctness_improvement,6,promptrobust_pdr_formatting_math_02,math_reasoning,MATH,formatting,0.006068264145810784,0.05066158045212646,0.03327708648019956,0.044593316306315675,0.0,0.6666666666666666,-0.6666666666666666,0.6666666666666666,0,1
largest_correctness_improvement,7,promptrobust_pdr_context_injection_humaneval_04,code_generation,HumanEval,context_injection,0.021671072504500254,0.07826246467793811,0.016929767577683164,0.05659139217343786,0.6666666666666666,1.0,-0.33333333333333337,0.33333333333333337,0,1
largest_correctness_improvement,8,promptrobust_pdr_reordering_humaneval_09,code_generation,HumanEval,reordering,0.0,0.03788502320363274,0.11365506961089822,0.03788502320363274,0.6666666666666666,1.0,-0.33333333333333337,0.33333333333333337,0,1
largest_correctness_improvement,9,promptrobust_pdr_context_injection_math_05,math_reasoning,MATH,context_injection,0.0,0.04168108258153769,0.033637265621550894,0.042798429965309824,0.6666666666666666,1.0,-0.33333333333333337,0.33333333333333337,0,1
largest_correctness_improvement,10,promptrobust_pdr_reordering_math_01,math_reasoning,MATH,reordering,0.0,0.031539477303231,0.03460397451009167,0.03399334378868707,0.6666666666666666,1.0,-0.33333333333333337,0.33333333333333337,0,1
