item_id,task_type,n_outputs,n_pairs,sampling_noise_drift,abs_change_from_previous_n
code_generation_35,code_generation,3,3,0.077639,
code_generation_35,code_generation,5,10,0.081853,0.004213
code_generation_35,code_generation,7,21,0.077593,0.00426
code_generation_35,code_generation,10,45,0.076808,0.000785
code_generation_62,code_generation,3,3,0.124639,
code_generation_62,code_generation,5,10,0.14762,0.022981
code_generation_62,code_generation,7,21,0.142216,0.005404
code_generation_62,code_generation,10,45,0.131359,0.010856
factual_qa_378,factual_qa,3,3,0.229755,
factual_qa_378,factual_qa,5,10,0.184523,0.045231
factual_qa_378,factual_qa,7,21,0.170242,0.014282
factual_qa_378,factual_qa,10,45,0.156994,0.013248
factual_qa_642,factual_qa,3,3,0.0,
factual_qa_642,factual_qa,5,10,0.036197,0.036197
factual_qa_642,factual_qa,7,21,0.043091,0.006895
factual_qa_642,factual_qa,10,45,0.042229,0.000862
math_reasoning_400,math_reasoning,3,3,0.055969,
math_reasoning_400,math_reasoning,5,10,0.063718,0.007749
math_reasoning_400,math_reasoning,7,21,0.062182,0.001535
math_reasoning_400,math_reasoning,10,45,0.057033,0.00515
math_reasoning_4082,math_reasoning,3,3,0.103423,
math_reasoning_4082,math_reasoning,5,10,0.094439,0.008984
math_reasoning_4082,math_reasoning,7,21,0.083103,0.011337
math_reasoning_4082,math_reasoning,10,45,0.086777,0.003674
open_ended_writing_13494,open_ended_writing,3,3,0.219929,
open_ended_writing_13494,open_ended_writing,5,10,0.222085,0.002156
open_ended_writing_13494,open_ended_writing,7,21,0.215901,0.006183
open_ended_writing_13494,open_ended_writing,10,45,0.207254,0.008647
open_ended_writing_16116,open_ended_writing,3,3,0.208157,
open_ended_writing_16116,open_ended_writing,5,10,0.225687,0.01753
open_ended_writing_16116,open_ended_writing,7,21,0.222439,0.003248
open_ended_writing_16116,open_ended_writing,10,45,0.203483,0.018955
