case_id,task,dataset,perturbation,clean_single_correct,perturbed_single_correct,single_sample_pdr,clean_mean_correctness,perturbed_mean_correctness,repeated_sampling_pdr,correctness_sample_noise
promptrobust_pdr_paraphrase_squad_01,factual_qa,SQuAD V2,paraphrase,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_paraphrase_squad_02,factual_qa,SQuAD V2,paraphrase,0,0,0.0,0,0,0.0,0.0
promptrobust_pdr_paraphrase_squad_03,factual_qa,SQuAD V2,paraphrase,0,0,0.0,0,0,0.0,0.0
promptrobust_pdr_paraphrase_squad_04,factual_qa,SQuAD V2,paraphrase,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_paraphrase_squad_05,factual_qa,SQuAD V2,paraphrase,1,0,1.0,1,0,1.0,0.0
promptrobust_pdr_paraphrase_math_01,math_reasoning,MATH,paraphrase,0,1,0.0,0.6666666666666666,0.6666666666666666,0.0,0.4714045207910317
promptrobust_pdr_paraphrase_math_02,math_reasoning,MATH,paraphrase,1,1,0.0,0.6666666666666666,1,-0.5000000000000001,0.23570226039551584
promptrobust_pdr_paraphrase_math_03,math_reasoning,MATH,paraphrase,0,0,0.0,0,0,0.0,0.0
promptrobust_pdr_paraphrase_math_04,math_reasoning,MATH,paraphrase,1,1,0.0,0.3333333333333333,1,-2.0000000000000004,0.23570226039551584
promptrobust_pdr_paraphrase_math_05,math_reasoning,MATH,paraphrase,0,1,0.0,0.3333333333333333,1,-2.0000000000000004,0.23570226039551584
