scope,n,x,y,pearson,spearman
all_levels,75,strength_edits,mean_cross_similarity,-0.34241515803498895,-0.5485829339432859
all_levels,75,strength_edits,noise_corrected_drift,0.3970440670712735,0.376937946563374
all_levels,75,strength_edits,abs_repeated_pass_rate_change,0.13172493900193866,0.13328941589692017
all_levels,75,mean_cross_similarity,abs_repeated_pass_rate_change,-0.1326284747301014,-0.3499422949222038
all_levels,75,mean_paired_similarity,abs_repeated_pass_rate_change,-0.14107876498974042,-0.38810378067408147
all_levels,75,noise_corrected_drift,abs_repeated_pass_rate_change,0.11309772475667038,0.21004466190412835
all_levels,75,mean_cross_similarity,harmful_correctness_drop,-0.09369259120261314,-0.23426429681475944
all_levels,75,noise_corrected_drift,harmful_correctness_drop,0.06134331031536684,0.12944746606644086
nonzero_levels,60,strength_edits,mean_cross_similarity,-0.14199373896085996,-0.1235308738757997
nonzero_levels,60,strength_edits,noise_corrected_drift,0.383896883856678,0.21413645347258933
nonzero_levels,60,strength_edits,abs_repeated_pass_rate_change,0.006764367935649704,-0.10993674503503265
nonzero_levels,60,mean_cross_similarity,abs_repeated_pass_rate_change,-0.03153284944889158,-0.21499234847613824
nonzero_levels,60,mean_paired_similarity,abs_repeated_pass_rate_change,-0.051091197845685284,-0.27041539912464596
nonzero_levels,60,noise_corrected_drift,abs_repeated_pass_rate_change,0.08270784814692458,0.14057041258865483
nonzero_levels,60,mean_cross_similarity,harmful_correctness_drop,-0.013694808943771083,-0.14959480427038654
nonzero_levels,60,noise_corrected_drift,harmful_correctness_drop,0.03626888318089912,0.08343841256884643
task:code_generation,25,strength_edits,mean_cross_similarity,-0.47451651324246574,-0.6028091789695973
task:code_generation,25,strength_edits,noise_corrected_drift,0.40514539854223997,0.2809538699978899
task:code_generation,25,strength_edits,abs_repeated_pass_rate_change,0.08703882797784893,0.08703882797784893
task:code_generation,25,mean_cross_similarity,abs_repeated_pass_rate_change,-0.5778382156119557,-0.4816716472427828
task:code_generation,25,mean_paired_similarity,abs_repeated_pass_rate_change,-0.7139202921375575,-0.533279323733081
task:code_generation,25,noise_corrected_drift,abs_repeated_pass_rate_change,-0.00441520314520601,0.0
task:code_generation,25,mean_cross_similarity,harmful_correctness_drop,,
task:code_generation,25,noise_corrected_drift,harmful_correctness_drop,,
task_nonzero:code_generation,20,strength_edits,mean_cross_similarity,-0.3461083173321736,-0.2525343242128887
task_nonzero:code_generation,20,strength_edits,noise_corrected_drift,0.40440399888861167,0.0
task_nonzero:code_generation,20,strength_edits,abs_repeated_pass_rate_change,-0.0130576791123927,-0.06262242910851495
task_nonzero:code_generation,20,mean_cross_similarity,abs_repeated_pass_rate_change,-0.5586274340533001,-0.4987590964884788
task_nonzero:code_generation,20,mean_paired_similarity,abs_repeated_pass_rate_change,-0.7056119985600451,-0.5717482325599635
task_nonzero:code_generation,20,noise_corrected_drift,abs_repeated_pass_rate_change,-0.02768015378359684,-0.06375456140357821
task_nonzero:code_generation,20,mean_cross_similarity,harmful_correctness_drop,,
task_nonzero:code_generation,20,noise_corrected_drift,harmful_correctness_drop,,
task:long_factual_qa,25,strength_edits,mean_cross_similarity,-0.3044893481508259,-0.5945619193734091
task:long_factual_qa,25,strength_edits,noise_corrected_drift,0.3384314500869938,0.2974431726311463
task:long_factual_qa,25,strength_edits,abs_repeated_pass_rate_change,-0.0266951567032823,0.06194117885393053
task:long_factual_qa,25,mean_cross_similarity,abs_repeated_pass_rate_change,0.034371334120782665,-0.23072292326828972
task:long_factual_qa,25,mean_paired_similarity,abs_repeated_pass_rate_change,-0.07002088162214458,-0.3307191162281193
task:long_factual_qa,25,noise_corrected_drift,abs_repeated_pass_rate_change,0.3727584829884798,0.4345278479911878
task:long_factual_qa,25,mean_cross_similarity,harmful_correctness_drop,0.040059410007027466,-0.12315370553522795
task:long_factual_qa,25,noise_corrected_drift,harmful_correctness_drop,-0.10723577534416003,-0.14627638881240754
task_nonzero:long_factual_qa,20,strength_edits,mean_cross_similarity,-0.09426412386467871,-0.20164735092566516
task_nonzero:long_factual_qa,20,strength_edits,noise_corrected_drift,0.29029023258778835,0.1834729889175452
task_nonzero:long_factual_qa,20,strength_edits,abs_repeated_pass_rate_change,-0.20739512824354225,-0.2277437593371385
task_nonzero:long_factual_qa,20,mean_cross_similarity,abs_repeated_pass_rate_change,0.17606797122328824,-0.020312505624697736
task_nonzero:long_factual_qa,20,mean_paired_similarity,abs_repeated_pass_rate_change,0.04701432477143893,-0.17044841676376796
task_nonzero:long_factual_qa,20,noise_corrected_drift,abs_repeated_pass_rate_change,0.3419418894556799,0.4062413855976669
task_nonzero:long_factual_qa,20,mean_cross_similarity,harmful_correctness_drop,0.11785359983002568,-0.028903665650803996
task_nonzero:long_factual_qa,20,noise_corrected_drift,harmful_correctness_drop,-0.13782336560208663,-0.18993429409939655
task:math_reasoning,25,strength_edits,mean_cross_similarity,-0.3571273315278283,-0.5118745001228026
task:math_reasoning,25,strength_edits,noise_corrected_drift,0.5251663292291068,0.55793737789026
task:math_reasoning,25,strength_edits,abs_repeated_pass_rate_change,0.24306795603287568,0.2270032172108389
task:math_reasoning,25,mean_cross_similarity,abs_repeated_pass_rate_change,0.10868360232745791,-0.1428366275171854
task:math_reasoning,25,mean_paired_similarity,abs_repeated_pass_rate_change,0.1574020194064054,-0.04556751307296712
task:math_reasoning,25,noise_corrected_drift,abs_repeated_pass_rate_change,0.11741290052877547,0.25918060599906356
task:math_reasoning,25,mean_cross_similarity,harmful_correctness_drop,0.005882820075796893,-0.1488233659121359
task:math_reasoning,25,noise_corrected_drift,harmful_correctness_drop,0.08390645716862957,0.278942469585241
task_nonzero:math_reasoning,20,strength_edits,mean_cross_similarity,-0.08719071183622393,-0.038778336716474064
task_nonzero:math_reasoning,20,strength_edits,noise_corrected_drift,0.5062410874802021,0.4640556426604234
task_nonzero:math_reasoning,20,strength_edits,abs_repeated_pass_rate_change,0.056232155711553274,-0.07526178090063818
task_nonzero:math_reasoning,20,mean_cross_similarity,abs_repeated_pass_rate_change,0.4130490047904064,0.1653831786266318
task_nonzero:math_reasoning,20,mean_paired_similarity,abs_repeated_pass_rate_change,0.4410211229691813,0.3129309164209798
task_nonzero:math_reasoning,20,noise_corrected_drift,abs_repeated_pass_rate_change,0.047980936707410875,0.15678431033616236
