task,perturbation,dataset,n,uncorrected_single_drift,noise_baseline,raw_perturbation_drift,noise_corrected_drift
factual_qa,character,SQuAD V2,5,4.4408920985006264e-17,0.016808026620259212,0.016808026620259212,0.0
factual_qa,word,SQuAD V2,5,0.067408876933022,0.008981457140939331,0.059405609833112626,0.0504241526921733
factual_qa,sentence,SQuAD V2,5,0.0003133977366475138,3.3306690738754695e-17,0.0003133977366475138,0.0003133977366474805
factual_qa,semantic,SQuAD V2,5,0.08902709598998915,0.02346757568901597,0.1276384052380844,0.10417082954906844
math_reasoning,character,MATH,5,0.046615961053363145,0.05587379390946626,0.05574839233383669,0.0029421532407743374
math_reasoning,word,MATH,5,0.3901433021082358,0.12393907133239072,0.31737914670470985,0.1934400753723191
math_reasoning,sentence,MATH,5,0.062174670424711455,0.04038643579056224,0.05941636128309205,0.02264504767219755
math_reasoning,semantic,MATH,5,0.05836657672591576,0.04740716675628665,0.06542270170199355,0.018770775027591426
code_generation,character,HumanEval,5,0.035206518661657825,0.006861805097595494,0.04083644002616139,0.03399549082752399
code_generation,word,HumanEval,5,0.12616361311335447,0.016706310899296417,0.11430589660105307,0.09759958570175667
code_generation,sentence,HumanEval,5,0.010558209908649308,0.016171462728312054,0.015734042534089904,4.7101196087277405e-05
code_generation,semantic,HumanEval,5,0.1309907587215799,0.012071079751497718,0.12179673424532714,0.10972565449382941
open_ended_writing,character,Alpaca,5,0.1738385930749924,0.0799133212767955,0.1802984134716236,0.1012751205139791
open_ended_writing,word,Alpaca,5,0.1157689593660074,0.06938587125942923,0.14776096401014702,0.07856516554829363
open_ended_writing,sentence,Alpaca,5,0.17244143933996187,0.10537352943853392,0.185746002937002,0.08037247349846807
open_ended_writing,semantic,Alpaca,5,0.16428062698127815,0.09618422050800068,0.1393025087980219,0.04334939996157818
