item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,baseline_similarity,perturbation_similarity,noise_corrected_drift,similarity_metric
code_generation_35,code_generation,context_injection,3,3,0.926818,0.90087,0.025948,sentence-transformers/all-MiniLM-L6-v2
code_generation_35,code_generation,formatting_changes,3,3,0.926818,0.936451,-0.009633,sentence-transformers/all-MiniLM-L6-v2
code_generation_35,code_generation,paraphrasing,3,3,0.926818,0.885376,0.041442,sentence-transformers/all-MiniLM-L6-v2
code_generation_35,code_generation,reordering,3,3,0.926818,0.911886,0.014932,sentence-transformers/all-MiniLM-L6-v2
code_generation_35,code_generation,surface_noise,3,3,0.926818,0.927438,-0.00062,sentence-transformers/all-MiniLM-L6-v2
factual_qa_378,factual_qa,context_injection,3,3,0.947652,0.884821,0.062831,sentence-transformers/all-MiniLM-L6-v2
factual_qa_378,factual_qa,formatting_changes,3,3,0.947652,0.897077,0.050575,sentence-transformers/all-MiniLM-L6-v2
factual_qa_378,factual_qa,paraphrasing,3,3,0.947652,0.955766,-0.008114,sentence-transformers/all-MiniLM-L6-v2
factual_qa_378,factual_qa,reordering,3,3,0.947652,0.968187,-0.020535,sentence-transformers/all-MiniLM-L6-v2
factual_qa_378,factual_qa,surface_noise,3,3,0.947652,0.958523,-0.010871,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_400,math_reasoning,context_injection,3,3,0.904491,0.899467,0.005024,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_400,math_reasoning,formatting_changes,3,3,0.904491,0.838038,0.066452,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_400,math_reasoning,paraphrasing,3,3,0.904491,0.909657,-0.005167,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_400,math_reasoning,reordering,3,3,0.904491,0.879993,0.024498,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_400,math_reasoning,surface_noise,3,3,0.904491,0.916511,-0.01202,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_13494,open_ended_writing,context_injection,3,3,0.940477,0.874405,0.066072,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_13494,open_ended_writing,formatting_changes,3,3,0.940477,0.940052,0.000425,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_13494,open_ended_writing,paraphrasing,3,3,0.940477,0.945173,-0.004696,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_13494,open_ended_writing,reordering,3,3,0.940477,0.936413,0.004064,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_13494,open_ended_writing,surface_noise,3,3,0.940477,0.93378,0.006697,sentence-transformers/all-MiniLM-L6-v2
