item_id,task_type,n_outputs,n_pairs,mean_within_prompt_similarity,sampling_noise_drift,similarity_metric
code_generation_107,code_generation,5,10,0.922331,0.077669,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,5,10,0.902029,0.097971,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,5,10,0.968763,0.031237,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,5,10,0.946336,0.053664,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,5,10,0.948262,0.051738,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,5,10,0.930535,0.069465,sentence-transformers/all-MiniLM-L6-v2
code_generation_18,code_generation,5,10,0.945752,0.054248,sentence-transformers/all-MiniLM-L6-v2
code_generation_25,code_generation,5,10,0.911181,0.088819,sentence-transformers/all-MiniLM-L6-v2
code_generation_49,code_generation,5,10,0.962419,0.037581,sentence-transformers/all-MiniLM-L6-v2
code_generation_75,code_generation,5,10,0.87892,0.12108,sentence-transformers/all-MiniLM-L6-v2
factual_qa_10908,factual_qa,5,10,1.0,-0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_2289,factual_qa,5,10,0.97859,0.02141,sentence-transformers/all-MiniLM-L6-v2
factual_qa_3373,factual_qa,5,10,0.998385,0.001615,sentence-transformers/all-MiniLM-L6-v2
factual_qa_4029,factual_qa,5,10,1.0,-0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6353,factual_qa,5,10,0.952329,0.047671,sentence-transformers/all-MiniLM-L6-v2
factual_qa_6460,factual_qa,5,10,0.996534,0.003466,sentence-transformers/all-MiniLM-L6-v2
factual_qa_7525,factual_qa,5,10,0.828729,0.171271,sentence-transformers/all-MiniLM-L6-v2
factual_qa_800,factual_qa,5,10,0.865765,0.134235,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8164,factual_qa,5,10,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_8650,factual_qa,5,10,0.896577,0.103423,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_10926,math_reasoning,5,10,0.961172,0.038828,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11297,math_reasoning,5,10,0.845066,0.154934,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_11759,math_reasoning,5,10,0.906556,0.093444,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_2873,math_reasoning,5,10,0.891134,0.108866,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_3886,math_reasoning,5,10,0.848252,0.151748,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4807,math_reasoning,5,10,0.941622,0.058378,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_4896,math_reasoning,5,10,0.92571,0.07429,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5038,math_reasoning,5,10,0.896256,0.103744,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_5497,math_reasoning,5,10,0.980003,0.019997,sentence-transformers/all-MiniLM-L6-v2
math_reasoning_8004,math_reasoning,5,10,0.939082,0.060918,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_10208,open_ended_writing,5,10,0.944571,0.055429,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_10774,open_ended_writing,5,10,0.857055,0.142945,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_11297,open_ended_writing,5,10,0.818667,0.181333,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_16258,open_ended_writing,5,10,0.885328,0.114672,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_34294,open_ended_writing,5,10,0.969356,0.030644,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35144,open_ended_writing,5,10,0.821372,0.178628,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_35341,open_ended_writing,5,10,1.0,-0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_36102,open_ended_writing,5,10,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_45338,open_ended_writing,5,10,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
open_ended_writing_50246,open_ended_writing,5,10,0.918756,0.081244,sentence-transformers/all-MiniLM-L6-v2
