task,rank,perturbation,noise_corrected_drift,raw_perturbation_drift
factual_qa,1,paraphrase,0.06110718899430796,0.09601227001394289
factual_qa,2,context_injection,0.015029685395761688,0.03869808758606901
factual_qa,3,formatting,0.013860509156877091,0.03153567642693047
factual_qa,4,surface_noise,0.00975379982480836,0.03506617186098942
factual_qa,5,reordering,3.641569790158172e-08,0.01723093188827482
math_reasoning,1,surface_noise,0.011120774763495165,0.0616424776009637
math_reasoning,2,formatting,0.006912037174289288,0.050942817138920155
math_reasoning,3,context_injection,0.005233014255740007,0.056109033905331
math_reasoning,4,paraphrase,0.004534771425409882,0.04645759755649895
math_reasoning,5,reordering,0.0025475853605167785,0.05434863550863254
code_generation,1,formatting,0.029402330814540193,0.055224953460149225
code_generation,2,surface_noise,0.028764274210482808,0.06050751477313203
code_generation,3,reordering,0.02083844253380303,0.055071453688933625
code_generation,4,paraphrase,0.0197893129780003,0.04852331560634565
code_generation,5,context_injection,0.016114142667433096,0.03899317317076212
open_ended_writing,1,formatting,0.05880936289594162,0.15688796568046487
open_ended_writing,2,surface_noise,0.026548439560861777,0.11835808115791409
open_ended_writing,3,context_injection,0.020867228229854755,0.13313110329053682
open_ended_writing,4,reordering,0.01801044239469366,0.11519784377235814
open_ended_writing,5,paraphrase,0.013782257778120005,0.12779612136144736
