case_id,task,dataset,perturbation,clean_single_correct,perturbed_single_correct,single_sample_pdr,clean_mean_correctness,perturbed_mean_correctness,repeated_sampling_pdr,correctness_sample_noise
promptrobust_pdr_paraphrase_squad_01,factual_qa,SQuAD V2,paraphrase,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_reordering_squad_01,factual_qa,SQuAD V2,reordering,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_formatting_squad_01,factual_qa,SQuAD V2,formatting,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_context_injection_squad_01,factual_qa,SQuAD V2,context_injection,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_surface_noise_squad_01,factual_qa,SQuAD V2,surface_noise,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_paraphrase_squad_02,factual_qa,SQuAD V2,paraphrase,0,0,0.0,0,0,0.0,0.0
promptrobust_pdr_reordering_squad_02,factual_qa,SQuAD V2,reordering,0,0,0.0,0,0,0.0,0.0
promptrobust_pdr_formatting_squad_02,factual_qa,SQuAD V2,formatting,1,0,1.0,0.3333333333333333,0,1.0,0.23570226039551584
promptrobust_pdr_context_injection_squad_02,factual_qa,SQuAD V2,context_injection,0,0,0.0,0,0.6666666666666666,0.0,0.23570226039551584
promptrobust_pdr_surface_noise_squad_02,factual_qa,SQuAD V2,surface_noise,0,0,0.0,0,0,0.0,0.0
promptrobust_pdr_paraphrase_squad_03,factual_qa,SQuAD V2,paraphrase,0,0,0.0,0.3333333333333333,0,1.0,0.23570226039551584
promptrobust_pdr_reordering_squad_03,factual_qa,SQuAD V2,reordering,0,0,0.0,0,0,0.0,0.0
promptrobust_pdr_formatting_squad_03,factual_qa,SQuAD V2,formatting,0,0,0.0,0.3333333333333333,0,1.0,0.23570226039551584
promptrobust_pdr_context_injection_squad_03,factual_qa,SQuAD V2,context_injection,0,1,0.0,0.3333333333333333,0.6666666666666666,-1.0,0.4714045207910317
promptrobust_pdr_surface_noise_squad_03,factual_qa,SQuAD V2,surface_noise,0,0,0.0,0,0,0.0,0.0
promptrobust_pdr_paraphrase_squad_04,factual_qa,SQuAD V2,paraphrase,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_reordering_squad_04,factual_qa,SQuAD V2,reordering,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_formatting_squad_04,factual_qa,SQuAD V2,formatting,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_context_injection_squad_04,factual_qa,SQuAD V2,context_injection,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_surface_noise_squad_04,factual_qa,SQuAD V2,surface_noise,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_paraphrase_squad_05,factual_qa,SQuAD V2,paraphrase,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_reordering_squad_05,factual_qa,SQuAD V2,reordering,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_formatting_squad_05,factual_qa,SQuAD V2,formatting,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_context_injection_squad_05,factual_qa,SQuAD V2,context_injection,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_surface_noise_squad_05,factual_qa,SQuAD V2,surface_noise,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_paraphrase_squad_06,factual_qa,SQuAD V2,paraphrase,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_reordering_squad_06,factual_qa,SQuAD V2,reordering,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_formatting_squad_06,factual_qa,SQuAD V2,formatting,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_context_injection_squad_06,factual_qa,SQuAD V2,context_injection,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_surface_noise_squad_06,factual_qa,SQuAD V2,surface_noise,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_paraphrase_squad_07,factual_qa,SQuAD V2,paraphrase,0,0,0.0,0,0,0.0,0.0
promptrobust_pdr_reordering_squad_07,factual_qa,SQuAD V2,reordering,0,0,0.0,0,0,0.0,0.0
promptrobust_pdr_formatting_squad_07,factual_qa,SQuAD V2,formatting,0,0,0.0,0,0,0.0,0.0
promptrobust_pdr_context_injection_squad_07,factual_qa,SQuAD V2,context_injection,0,0,0.0,0,0,0.0,0.0
promptrobust_pdr_surface_noise_squad_07,factual_qa,SQuAD V2,surface_noise,0,0,0.0,0,0,0.0,0.0
promptrobust_pdr_paraphrase_squad_08,factual_qa,SQuAD V2,paraphrase,0,0,0.0,0,0,0.0,0.0
promptrobust_pdr_reordering_squad_08,factual_qa,SQuAD V2,reordering,0,0,0.0,0,0,0.0,0.0
promptrobust_pdr_formatting_squad_08,factual_qa,SQuAD V2,formatting,0,0,0.0,0,0,0.0,0.0
promptrobust_pdr_context_injection_squad_08,factual_qa,SQuAD V2,context_injection,0,0,0.0,0,0,0.0,0.0
promptrobust_pdr_surface_noise_squad_08,factual_qa,SQuAD V2,surface_noise,0,0,0.0,0,0,0.0,0.0
promptrobust_pdr_paraphrase_squad_09,factual_qa,SQuAD V2,paraphrase,1,1,0.0,1,0.6666666666666666,0.33333333333333337,0.23570226039551584
promptrobust_pdr_reordering_squad_09,factual_qa,SQuAD V2,reordering,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_formatting_squad_09,factual_qa,SQuAD V2,formatting,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_context_injection_squad_09,factual_qa,SQuAD V2,context_injection,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_surface_noise_squad_09,factual_qa,SQuAD V2,surface_noise,1,0,1.0,1,0.3333333333333333,0.6666666666666667,0.23570226039551584
promptrobust_pdr_paraphrase_squad_10,factual_qa,SQuAD V2,paraphrase,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_reordering_squad_10,factual_qa,SQuAD V2,reordering,1,1,0.0,1,1,0.0,0.0
promptrobust_pdr_formatting_squad_10,factual_qa,SQuAD V2,formatting,1,1,0.0,1,1,0.0,0.0
