group1,group2,meandiff,p-adj,lower,upper,reject
code_generation / context_injection,code_generation / formatting,0.0331,1.0,-0.1132,0.1795,False
code_generation / context_injection,code_generation / paraphrase,0.0318,1.0,-0.1145,0.1782,False
code_generation / context_injection,code_generation / reordering,0.0414,1.0,-0.1049,0.1877,False
code_generation / context_injection,code_generation / surface_noise,0.0282,1.0,-0.1181,0.1745,False
code_generation / context_injection,factual_qa / context_injection,-0.0051,1.0,-0.1514,0.1412,False
code_generation / context_injection,factual_qa / formatting,-0.0051,1.0,-0.1514,0.1412,False
code_generation / context_injection,factual_qa / paraphrase,0.0287,1.0,-0.1176,0.175,False
code_generation / context_injection,factual_qa / reordering,-0.0051,1.0,-0.1514,0.1412,False
code_generation / context_injection,factual_qa / surface_noise,-0.0051,1.0,-0.1514,0.1412,False
code_generation / context_injection,math_reasoning / context_injection,-0.0033,1.0,-0.1496,0.143,False
code_generation / context_injection,math_reasoning / formatting,-0.004,1.0,-0.1503,0.1423,False
code_generation / context_injection,math_reasoning / paraphrase,0.007,1.0,-0.1393,0.1534,False
code_generation / context_injection,math_reasoning / reordering,-0.0019,1.0,-0.1482,0.1444,False
code_generation / context_injection,math_reasoning / surface_noise,-0.0044,1.0,-0.1508,0.1419,False
code_generation / context_injection,open_ended_writing / context_injection,0.011,1.0,-0.1353,0.1574,False
code_generation / context_injection,open_ended_writing / formatting,0.0492,0.9994,-0.0971,0.1955,False
code_generation / context_injection,open_ended_writing / paraphrase,0.0015,1.0,-0.1448,0.1478,False
code_generation / context_injection,open_ended_writing / reordering,0.0015,1.0,-0.1448,0.1478,False
code_generation / context_injection,open_ended_writing / surface_noise,0.0965,0.6468,-0.0498,0.2428,False
code_generation / formatting,code_generation / paraphrase,-0.0013,1.0,-0.1476,0.145,False
code_generation / formatting,code_generation / reordering,0.0083,1.0,-0.138,0.1546,False
code_generation / formatting,code_generation / surface_noise,-0.0049,1.0,-0.1512,0.1414,False
code_generation / formatting,factual_qa / context_injection,-0.0382,1.0,-0.1846,0.1081,False
code_generation / formatting,factual_qa / formatting,-0.0382,1.0,-0.1846,0.1081,False
code_generation / formatting,factual_qa / paraphrase,-0.0044,1.0,-0.1508,0.1419,False
code_generation / formatting,factual_qa / reordering,-0.0382,1.0,-0.1846,0.1081,False
code_generation / formatting,factual_qa / surface_noise,-0.0382,1.0,-0.1846,0.1081,False
code_generation / formatting,math_reasoning / context_injection,-0.0364,1.0,-0.1827,0.1099,False
code_generation / formatting,math_reasoning / formatting,-0.0372,1.0,-0.1835,0.1092,False
code_generation / formatting,math_reasoning / paraphrase,-0.0261,1.0,-0.1724,0.1202,False
code_generation / formatting,math_reasoning / reordering,-0.0351,1.0,-0.1814,0.1112,False
code_generation / formatting,math_reasoning / surface_noise,-0.0376,1.0,-0.1839,0.1087,False
code_generation / formatting,open_ended_writing / context_injection,-0.0221,1.0,-0.1684,0.1242,False
code_generation / formatting,open_ended_writing / formatting,0.016,1.0,-0.1303,0.1624,False
code_generation / formatting,open_ended_writing / paraphrase,-0.0316,1.0,-0.178,0.1147,False
code_generation / formatting,open_ended_writing / reordering,-0.0317,1.0,-0.178,0.1146,False
code_generation / formatting,open_ended_writing / surface_noise,0.0634,0.9874,-0.0829,0.2097,False
code_generation / paraphrase,code_generation / reordering,0.0096,1.0,-0.1367,0.1559,False
code_generation / paraphrase,code_generation / surface_noise,-0.0036,1.0,-0.1499,0.1427,False
code_generation / paraphrase,factual_qa / context_injection,-0.0369,1.0,-0.1832,0.1094,False
code_generation / paraphrase,factual_qa / formatting,-0.0369,1.0,-0.1832,0.1094,False
code_generation / paraphrase,factual_qa / paraphrase,-0.0031,1.0,-0.1495,0.1432,False
code_generation / paraphrase,factual_qa / reordering,-0.0369,1.0,-0.1832,0.1094,False
code_generation / paraphrase,factual_qa / surface_noise,-0.0369,1.0,-0.1832,0.1094,False
code_generation / paraphrase,math_reasoning / context_injection,-0.0351,1.0,-0.1814,0.1112,False
code_generation / paraphrase,math_reasoning / formatting,-0.0358,1.0,-0.1822,0.1105,False
code_generation / paraphrase,math_reasoning / paraphrase,-0.0248,1.0,-0.1711,0.1215,False
code_generation / paraphrase,math_reasoning / reordering,-0.0338,1.0,-0.1801,0.1126,False
code_generation / paraphrase,math_reasoning / surface_noise,-0.0363,1.0,-0.1826,0.1101,False
code_generation / paraphrase,open_ended_writing / context_injection,-0.0208,1.0,-0.1671,0.1255,False
code_generation / paraphrase,open_ended_writing / formatting,0.0174,1.0,-0.129,0.1637,False
code_generation / paraphrase,open_ended_writing / paraphrase,-0.0303,1.0,-0.1766,0.116,False
code_generation / paraphrase,open_ended_writing / reordering,-0.0304,1.0,-0.1767,0.116,False
code_generation / paraphrase,open_ended_writing / surface_noise,0.0647,0.9843,-0.0816,0.211,False
code_generation / reordering,code_generation / surface_noise,-0.0132,1.0,-0.1595,0.1331,False
code_generation / reordering,factual_qa / context_injection,-0.0465,0.9997,-0.1928,0.0998,False
code_generation / reordering,factual_qa / formatting,-0.0465,0.9997,-0.1928,0.0998,False
code_generation / reordering,factual_qa / paraphrase,-0.0127,1.0,-0.159,0.1336,False
code_generation / reordering,factual_qa / reordering,-0.0465,0.9997,-0.1928,0.0998,False
code_generation / reordering,factual_qa / surface_noise,-0.0465,0.9997,-0.1928,0.0998,False
code_generation / reordering,math_reasoning / context_injection,-0.0447,0.9998,-0.191,0.1016,False
code_generation / reordering,math_reasoning / formatting,-0.0454,0.9998,-0.1917,0.1009,False
code_generation / reordering,math_reasoning / paraphrase,-0.0344,1.0,-0.1807,0.1119,False
code_generation / reordering,math_reasoning / reordering,-0.0433,0.9999,-0.1897,0.103,False
code_generation / reordering,math_reasoning / surface_noise,-0.0458,0.9998,-0.1922,0.1005,False
code_generation / reordering,open_ended_writing / context_injection,-0.0304,1.0,-0.1767,0.1159,False
code_generation / reordering,open_ended_writing / formatting,0.0078,1.0,-0.1385,0.1541,False
code_generation / reordering,open_ended_writing / paraphrase,-0.0399,1.0,-0.1862,0.1064,False
code_generation / reordering,open_ended_writing / reordering,-0.0399,1.0,-0.1863,0.1064,False
code_generation / reordering,open_ended_writing / surface_noise,0.0551,0.9975,-0.0912,0.2014,False
code_generation / surface_noise,factual_qa / context_injection,-0.0333,1.0,-0.1796,0.113,False
code_generation / surface_noise,factual_qa / formatting,-0.0333,1.0,-0.1796,0.113,False
code_generation / surface_noise,factual_qa / paraphrase,0.0005,1.0,-0.1458,0.1468,False
code_generation / surface_noise,factual_qa / reordering,-0.0333,1.0,-0.1796,0.113,False
code_generation / surface_noise,factual_qa / surface_noise,-0.0333,1.0,-0.1796,0.113,False
code_generation / surface_noise,math_reasoning / context_injection,-0.0315,1.0,-0.1778,0.1148,False
code_generation / surface_noise,math_reasoning / formatting,-0.0322,1.0,-0.1786,0.1141,False
code_generation / surface_noise,math_reasoning / paraphrase,-0.0212,1.0,-0.1675,0.1251,False
code_generation / surface_noise,math_reasoning / reordering,-0.0302,1.0,-0.1765,0.1162,False
code_generation / surface_noise,math_reasoning / surface_noise,-0.0327,1.0,-0.179,0.1137,False
code_generation / surface_noise,open_ended_writing / context_injection,-0.0172,1.0,-0.1635,0.1291,False
code_generation / surface_noise,open_ended_writing / formatting,0.021,1.0,-0.1254,0.1673,False
code_generation / surface_noise,open_ended_writing / paraphrase,-0.0267,1.0,-0.173,0.1196,False
code_generation / surface_noise,open_ended_writing / reordering,-0.0268,1.0,-0.1731,0.1196,False
code_generation / surface_noise,open_ended_writing / surface_noise,0.0683,0.9727,-0.078,0.2146,False
factual_qa / context_injection,factual_qa / formatting,-0.0,1.0,-0.1463,0.1463,False
