task,rank,perturbation,noise_corrected_drift,raw_perturbation_drift
factual_qa,1,semantic,0.288897112226762,0.29139196481578866
factual_qa,2,word,0.042020066550647904,0.08404013310129584
factual_qa,3,character,0.0,0.0
factual_qa,4,sentence,0.0,0.0
math_reasoning,1,word,0.2711232333434521,0.294572384939982
math_reasoning,2,semantic,0.013901890596786207,0.05232009014391102
math_reasoning,3,character,0.0038432118491324007,0.030075006365398164
math_reasoning,4,sentence,0.0,0.030840577907393966
code_generation,1,semantic,0.1356816838186331,0.13853867628437275
code_generation,2,word,0.10513221531756976,0.12473632883294707
code_generation,3,sentence,0.03163006142782384,0.06911164808216241
code_generation,4,character,0.0,0.016806826478088004
open_ended_writing,1,sentence,0.04193474937983415,0.08967599492021083
open_ended_writing,2,semantic,0.013944064060717846,0.03730434062572801
open_ended_writing,3,word,0.0041075072298804235,0.029603023885470956
open_ended_writing,4,character,2.4905469886427056e-07,0.03129824481200419
