case_id,task,version,sample_idx,prompt,output
fact_01,factual_qa,original,0,What is the capital city of Canada? Answer in one short sentence.,The capital city of Canada is Ottawa.
fact_01,factual_qa,original,1,What is the capital city of Canada? Answer in one short sentence.,The capital city of Canada is Ottawa.
fact_01,factual_qa,original,2,What is the capital city of Canada? Answer in one short sentence.,The capital city of Canada is Ottawa.
fact_01,factual_qa,original,3,What is the capital city of Canada? Answer in one short sentence.,The capital city of Canada is Ottawa.
fact_01,factual_qa,perturbed,0,"In one short sentence, please identify Canada's capital city.",Canada's capital city is Ottawa.
fact_01,factual_qa,perturbed,1,"In one short sentence, please identify Canada's capital city.",Canada's capital city is Ottawa.
fact_01,factual_qa,perturbed,2,"In one short sentence, please identify Canada's capital city.",Canada's capital city is Ottawa.
fact_01,factual_qa,perturbed,3,"In one short sentence, please identify Canada's capital city.",Canada's capital city is Ottawa.
fact_02,factual_qa,original,0,Who wrote the novel Pride and Prejudice? Answer briefly.,"Jane Austen wrote the novel ""Pride and Prejudice."""
fact_02,factual_qa,original,1,Who wrote the novel Pride and Prejudice? Answer briefly.,"Jane Austen wrote the novel ""Pride and Prejudice."""
fact_02,factual_qa,original,2,Who wrote the novel Pride and Prejudice? Answer briefly.,"Jane Austen wrote the novel ""Pride and Prejudice."""
fact_02,factual_qa,original,3,Who wrote the novel Pride and Prejudice? Answer briefly.,"Jane Austen wrote the novel ""Pride and Prejudice."""
fact_02,factual_qa,perturbed,0,Answer briefly: the novel Pride and Prejudice was written by whom?,Pride and Prejudice was written by Jane Austen.
fact_02,factual_qa,perturbed,1,Answer briefly: the novel Pride and Prejudice was written by whom?,Pride and Prejudice was written by Jane Austen.
fact_02,factual_qa,perturbed,2,Answer briefly: the novel Pride and Prejudice was written by whom?,Pride and Prejudice was written by Jane Austen.
fact_02,factual_qa,perturbed,3,Answer briefly: the novel Pride and Prejudice was written by whom?,Pride and Prejudice was written by Jane Austen.
math_01,math_reasoning,original,0,"A shop sells pencils in packs of 8. If Maya buys 6 packs and gives away 11 pencils, how many pencils does she have left? Show the calculation.","First, calculate the total number of pencils Maya buys:

\[
\text{Total pencils} = \text{packs} \times \text{pencils per pack} = 6 \times 8 = 48
\]

Next, subtract the number of pencils she gives away:

\[
\text{Pencils left} = \text{Total pencils} - \text{pencils given away} = 48 - 11 = 37
\]

Thus, Maya has **37 pencils left**."
