base_case_id,task,n_levels,spearman_strength_to_similarity,spearman_strength_to_corrected_drift,spearman_strength_to_abs_correctness_change,spearman_similarity_to_abs_correctness_change
rq2_dose_humaneval_01,code_generation,5,-0.6155870112510925,0.8944271909999159,,
rq2_dose_humaneval_02,code_generation,5,-0.7,0.20519567041703082,,
rq2_dose_humaneval_03,code_generation,5,-0.8944271909999159,0.0,,
rq2_dose_humaneval_04,code_generation,5,-0.872081599272381,0.7071067811865475,0.28867513459481287,0.0
rq2_dose_humaneval_05,code_generation,5,-0.4,-0.33541019662496846,,
rq2_dose_longfact_01,long_factual_qa,5,-0.9,-0.33541019662496846,-0.15811388300841897,0.15811388300841897
rq2_dose_longfact_02,long_factual_qa,5,-0.7,,,
rq2_dose_longfact_03,long_factual_qa,5,-0.7,,,
rq2_dose_longfact_04,long_factual_qa,5,-0.9,0.7071067811865475,,
rq2_dose_longfact_05,long_factual_qa,5,-0.9,0.7826237921249264,0.15811388300841897,-0.15811388300841897
rq2_dose_math_01,math_reasoning,5,-0.7,0.6708203932499369,-0.15811388300841897,-0.15811388300841897
rq2_dose_math_02,math_reasoning,5,-0.1,0.11180339887498948,0.8660254037844386,0.28867513459481287
rq2_dose_math_03,math_reasoning,5,-0.6,0.7071067811865475,,
rq2_dose_math_04,math_reasoning,5,-0.1,0.7071067811865475,-0.28867513459481287,-0.8660254037844386
rq2_dose_math_05,math_reasoning,5,-0.8,0.8,0.7905694150420948,-0.9486832980505138
