base_case_id,task,n_levels,spearman_strength_to_similarity,spearman_strength_to_corrected_drift,spearman_strength_to_abs_correctness_change,spearman_similarity_to_abs_correctness_change
rq2_dose_humaneval_01,code_generation,6,-0.6761234037828133,0.6210590034081188,,
rq2_dose_humaneval_02,code_generation,6,-0.3142857142857143,0.39466488146729556,,
rq2_dose_humaneval_03,code_generation,6,0.28988551782622424,-0.33394720739540396,-0.4394802124588286,-0.8574929257125442
rq2_dose_humaneval_04,code_generation,6,-0.46381682852195877,0.8280786712108251,0.4879500364742666,0.2970442628930023
rq2_dose_humaneval_05,code_generation,6,-0.5217939320872036,0.6761234037828133,,
rq2_dose_longfact_01,long_factual_qa,6,-0.6571428571428571,0.6546536707079772,,
rq2_dose_longfact_02,long_factual_qa,6,-0.02857142857142857,0.7142857142857143,0.06172133998483677,-0.5246313898711126
rq2_dose_longfact_03,long_factual_qa,6,-0.42857142857142855,-0.033806170189140665,,
rq2_dose_longfact_04,long_factual_qa,6,-0.4857142857142857,0.8696565534786727,0.7356123579206245,-0.7650368522374495
rq2_dose_longfact_05,long_factual_qa,6,-0.08571428571428572,-0.030358837035945812,0.16903085094570333,-0.8451542547285166
rq2_dose_math_01,math_reasoning,6,-0.3142857142857143,0.2125118592516207,0.46291004988627577,-0.46291004988627577
rq2_dose_math_02,math_reasoning,6,-0.8285714285714286,0.6982532518267537,0.29277002188455997,0.09759000729485331
rq2_dose_math_03,math_reasoning,6,-0.8285714285714286,0.7589709258986453,,
rq2_dose_math_04,math_reasoning,6,-0.14285714285714285,0.2732295333235123,0.6210590034081188,-0.20701966780270628
rq2_dose_math_05,math_reasoning,6,0.02857142857142857,0.057977103565244846,0.46291004988627577,-0.6172133998483676
