task,strength_level,strength_edits,n,mean_cross_similarity,mean_noise_corrected_drift,mean_abs_repeated_pass_rate_change,mean_repeated_pass_rate_drop,share_harmful_correctness_drop,share_correctness_changed
code_generation,0,0,2,1.0,0.0,0.0,0.0,0.0,0.0
code_generation,1,1,2,0.969515623478421,0.012054593003470535,0.0,0.0,0.0,0.0
code_generation,2,2,2,0.9710274842746474,0.012123864007260223,0.0,0.0,0.0,0.0
code_generation,3,4,2,0.9812842060106068,0.0,0.0,0.0,0.0,0.0
code_generation,4,8,2,0.9853597933703959,1.673200283089111e-05,0.0,0.0,0.0,0.0
factual_qa,0,0,2,1.0,0.0,0.0,0.0,0.0,0.0
factual_qa,1,1,2,0.9828147038216442,0.0,0.16666666666666666,-0.16666666666666666,0.0,0.5
factual_qa,2,2,2,0.9999997381116903,1.8207848950790861e-07,0.0,0.0,0.0,0.0
factual_qa,3,4,2,0.9999998179215105,1.8207848950790861e-07,0.0,0.0,0.0,0.0
factual_qa,4,8,2,1.0,0.0,0.0,0.0,0.0,0.0
math_reasoning,0,0,2,1.0,0.0,0.0,0.0,0.0,0.0
math_reasoning,1,1,2,0.9614750215261852,0.003600066405474337,0.0,0.0,0.0,0.0
math_reasoning,2,2,2,0.9719468913201275,0.0005976577300533491,0.6666666666666666,0.6666666666666666,1.0,1.0
math_reasoning,3,4,2,0.9691739725966111,0.0,0.33333333333333337,0.33333333333333337,1.0,1.0
math_reasoning,4,8,2,0.9557458938633154,0.0050825064190398415,0.33333333333333337,0.33333333333333337,1.0,1.0
