case_id,task,dataset,perturbation,uncorrected_single_drift,original_noise,perturbed_noise,noise_baseline,raw_perturbation_drift,noise_corrected_drift
fourtask_context_injection_squad_01,factual_qa,SQuAD V2,context_injection,4.849684922536568e-07,0.0,0.0,0.0,4.849684922536568e-07,4.849684922536568e-07
fourtask_context_injection_squad_02,factual_qa,SQuAD V2,context_injection,0.0,0.0,0.0,0.0,0.0,0.0
fourtask_context_injection_squad_03,factual_qa,SQuAD V2,context_injection,0.0,0.0,0.0,0.0,0.0,0.0
fourtask_context_injection_squad_04,factual_qa,SQuAD V2,context_injection,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0
fourtask_context_injection_squad_05,factual_qa,SQuAD V2,context_injection,2.278288269930151e-05,0.0,0.0,0.0,2.278288269930151e-05,2.278288269930151e-05
fourtask_context_injection_math_01,math_reasoning,MATH,context_injection,0.0382132230508081,0.01936791360756518,0.023651748692357016,0.0215098311499611,0.02888415482776103,0.007374323677799929
fourtask_context_injection_math_02,math_reasoning,MATH,context_injection,0.08139268251712095,0.022972209583398923,0.04858242447331751,0.035777317028358215,0.03587253262906972,9.521560071150403e-05
fourtask_context_injection_math_03,math_reasoning,MATH,context_injection,0.1598676925260083,0.11182164396572976,0.06825705210248245,0.0900393480341061,0.09162692522271237,0.0015875771886062762
fourtask_context_injection_math_04,math_reasoning,MATH,context_injection,0.11181201188726353,0.07096172921804889,0.08622298095243226,0.07859235508524057,0.06378069851084422,0.0
fourtask_context_injection_math_05,math_reasoning,MATH,context_injection,0.02403410051511634,0.02598383642529556,0.0542809732928368,0.040132404859066176,0.035945353045214685,0.0
fourtask_context_injection_humaneval_01,code_generation,HumanEval,context_injection,0.09653008937972862,0.06644448713736088,0.0,0.03322224356868044,0.05422491279180471,0.02100266922312427
fourtask_context_injection_humaneval_02,code_generation,HumanEval,context_injection,0.01747457576089828,0.014534424098392637,0.010357239746673649,0.012445831922533143,0.016910944696149496,0.0044651127736163535
fourtask_context_injection_humaneval_03,code_generation,HumanEval,context_injection,0.16114536171724436,0.10743024114482957,0.0,0.05371512057241479,0.05371512057241479,0.0
fourtask_context_injection_humaneval_04,code_generation,HumanEval,context_injection,1.1102230246251565e-16,1.1102230246251565e-16,0.011289764647880932,0.0056448823239405215,0.0056448823239405215,0.0
fourtask_context_injection_humaneval_05,code_generation,HumanEval,context_injection,0.0417389172670537,0.02795297256813704,0.027825944844702466,0.027889458706419755,0.018837414815070692,0.0
fourtask_context_injection_alpaca_01,open_ended_writing,Alpaca,context_injection,0.0995633160388365,0.04413745579211925,0.026349388599654522,0.035243422195886887,0.09663150636113577,0.06138808416524888
fourtask_context_injection_alpaca_02,open_ended_writing,Alpaca,context_injection,0.0,0.0,0.0,0.0,0.0,0.0
fourtask_context_injection_alpaca_03,open_ended_writing,Alpaca,context_injection,0.016731910305648467,0.05880023524214865,0.10504595347715524,0.08192309435965195,0.07413139582729465,0.0
fourtask_context_injection_alpaca_04,open_ended_writing,Alpaca,context_injection,0.10053081715216716,0.07989286402979483,0.040299852881324726,0.06009635845555977,0.07934217754648226,0.01924581909092249
fourtask_context_injection_alpaca_05,open_ended_writing,Alpaca,context_injection,0.2783788816754005,0.3154016203215792,0.049072273931999165,0.18223694712678917,0.17847293873928,0.0
