item_id,perturbation_type,original_prompt,perturbed_prompt,original_problem_text,perturbed_problem_text,prompt_content_recall,prompt_content_jaccard,problem_content_recall,problem_content_jaccard,math_token_recall,number_recall,latex_segment_recall,prompt_length_delta_tokens,problem_length_delta_tokens,label_changed,perturbed_has_research_question_label,perturbed_has_rewrite_label,perturbed_has_code_artifact,perturbed_has_template_artifact,original_has_asy,perturbed_has_asy,asy_removed,original_labels,perturbed_labels
math_reasoning_3886,paraphrasing,"Problem: Find the area of the region enclosed by the graph of $|x-60|+|y|=\left|\frac{x}{4}\right|.$

Instruction: Solve the problem and provide the final answer.","Task: Determine the area of the region bounded by the equation $|x-60|+|y|=\left|\frac{x}{4}\right|$.

Action: Calculate the area and present the final result.",Find the area of the region enclosed by the graph of $|x-60|+|y|=\left|\frac{x}{4}\right|.$,Determine the area of the region bounded by the equation $|x-60|+|y|=\left|\frac{x}{4}\right|$.,0.4666666666666667,0.30434782608695654,0.6666666666666666,0.5,1.0,1.0,0.0,-1,-1,True,False,False,False,False,False,False,False,Problem; Instruction,Task; Action
math_reasoning_3886,reordering,"Problem: Find the area of the region enclosed by the graph of $|x-60|+|y|=\left|\frac{x}{4}\right|.$

Instruction: Solve the problem and provide the final answer.","Instruction: Solve the problem and provide the final answer.

Problem: Find the area of the region enclosed by the graph of $|x-60|+|y|=\left|\frac{x}{4}\right|.$",Find the area of the region enclosed by the graph of $|x-60|+|y|=\left|\frac{x}{4}\right|.$,Find the area of the region enclosed by the graph of $|x-60|+|y|=\left|\frac{x}{4}\right|.$,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,True,False,False,False,False,False,False,False,Problem; Instruction,Instruction; Problem
math_reasoning_3886,formatting_changes,"Problem: Find the area of the region enclosed by the graph of $|x-60|+|y|=\left|\frac{x}{4}\right|.$

Instruction: Solve the problem and provide the final answer.","Please answer the following prompt:

- Prompt: Problem: Find the area of the region enclosed by the graph of $|x-60|+|y|=\left|\frac{x}{4}\right|.$

Instruction: Solve the problem and provide the final answer.",Find the area of the region enclosed by the graph of $|x-60|+|y|=\left|\frac{x}{4}\right|.$,Find the area of the region enclosed by the graph of $|x-60|+|y|=\left|\frac{x}{4}\right|.$,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,6,0,True,False,False,False,False,False,False,False,Problem; Instruction,Prompt; Instruction
math_reasoning_3886,context_injection,"Problem: Find the area of the region enclosed by the graph of $|x-60|+|y|=\left|\frac{x}{4}\right|.$

Instruction: Solve the problem and provide the final answer.","This item appears in a broader collection of benchmark prompts.

Problem: Find the area of the region enclosed by the graph of $|x-60|+|y|=\left|\frac{x}{4}\right|.$

Instruction: Solve the problem and provide the final answer.",Find the area of the region enclosed by the graph of $|x-60|+|y|=\left|\frac{x}{4}\right|.$,Find the area of the region enclosed by the graph of $|x-60|+|y|=\left|\frac{x}{4}\right|.$,1.0,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,10,0,False,False,False,False,False,False,False,False,Problem; Instruction,Problem; Instruction
math_reasoning_3886,surface_noise,"Problem: Find the area of the region enclosed by the graph of $|x-60|+|y|=\left|\frac{x}{4}\right|.$

Instruction: Solve the problem and provide the final answer.","Problem: Fimd the area of the region enclosed by the graph of $|x-60|+|y|=\left|\frac{x}{4}\right|.$

Instruction: Solve the problem and provide the final answer.",Find the area of the region enclosed by the graph of $|x-60|+|y|=\left|\frac{x}{4}\right|.$,Fimd the area of the region enclosed by the graph of $|x-60|+|y|=\left|\frac{x}{4}\right|.$,0.9333333333333333,0.875,0.8888888888888888,0.8,1.0,1.0,1.0,0,0,False,False,False,False,False,False,False,False,Problem; Instruction,Problem; Instruction
math_reasoning_5038,paraphrasing,"Problem: Let $a,$ $b,$ $c$ be distinct, nonzero real numbers such that \[a + \frac{1}{b} = b + \frac{1}{c} = c + \frac{1}{a}.\]Find $|abc|.$ Note: Intermediate Algebra writing problem, week 12.

Instruction: Solve the problem and provide the final answer.","Find the absolute value of the product of three distinct, non-zero real numbers $a,$ $b,$ and $c$ that satisfy the equations $a + \frac{1}{b} = b + \frac{1}{c} = c + \frac{1}{a}.$ Remember to write down your solution.","Let $a,$ $b,$ $c$ be distinct, nonzero real numbers such that \[a + \frac{1}{b} = b + \frac{1}{c} = c + \frac{1}{a}.\]Find $|abc|.$ Note: Intermediate Algebra writing problem, week 12.","Find the absolute value of the product of three distinct, non-zero real numbers $a,$ $b,$ and $c$ that satisfy the equations $a + \frac{1}{b} = b + \frac{1}{c} = c + \frac{1}{a}.$ Remember to write down your solution.",0.3181818181818182,0.20588235294117646,0.4117647058823529,0.2413793103448276,0.75,0.5,0.8,-2,8,True,False,False,False,False,False,False,False,Problem; Instruction,
math_reasoning_5038,reordering,"Problem: Let $a,$ $b,$ $c$ be distinct, nonzero real numbers such that \[a + \frac{1}{b} = b + \frac{1}{c} = c + \frac{1}{a}.\]Find $|abc|.$ Note: Intermediate Algebra writing problem, week 12.

Instruction: Solve the problem and provide the final answer.","Instruction: Solve the problem and provide the final answer.

Problem: Let $a,$ $b,$ $c$ be distinct, nonzero real numbers such that \[a + \frac{1}{b} = b + \frac{1}{c} = c + \frac{1}{a}.\]Find $|abc|.$ Note: Intermediate Algebra writing problem, week 12.","Let $a,$ $b,$ $c$ be distinct, nonzero real numbers such that \[a + \frac{1}{b} = b + \frac{1}{c} = c + \frac{1}{a}.\]Find $|abc|.$ Note: Intermediate Algebra writing problem, week 12.","Let $a,$ $b,$ $c$ be distinct, nonzero real numbers such that \[a + \frac{1}{b} = b + \frac{1}{c} = c + \frac{1}{a}.\]Find $|abc|.$ Note: Intermediate Algebra writing problem, week 12.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,True,False,False,False,False,False,False,False,Problem; Instruction,Instruction; Problem
math_reasoning_5038,formatting_changes,"Problem: Let $a,$ $b,$ $c$ be distinct, nonzero real numbers such that \[a + \frac{1}{b} = b + \frac{1}{c} = c + \frac{1}{a}.\]Find $|abc|.$ Note: Intermediate Algebra writing problem, week 12.

Instruction: Solve the problem and provide the final answer.","Please answer the following prompt:

- Prompt: Problem: Let $a,$ $b,$ $c$ be distinct, nonzero real numbers such that \[a + \frac{1}{b} = b + \frac{1}{c} = c + \frac{1}{a}.\]Find $|abc|.$ Note: Intermediate Algebra writing problem, week 12.

Instruction: Solve the problem and provide the final answer.","Let $a,$ $b,$ $c$ be distinct, nonzero real numbers such that \[a + \frac{1}{b} = b + \frac{1}{c} = c + \frac{1}{a}.\]Find $|abc|.$ Note: Intermediate Algebra writing problem, week 12.","Let $a,$ $b,$ $c$ be distinct, nonzero real numbers such that \[a + \frac{1}{b} = b + \frac{1}{c} = c + \frac{1}{a}.\]Find $|abc|.$ Note: Intermediate Algebra writing problem, week 12.",1.0,0.88,1.0,1.0,1.0,1.0,1.0,6,0,True,False,False,False,False,False,False,False,Problem; Instruction,Prompt; Instruction
math_reasoning_5038,context_injection,"Problem: Let $a,$ $b,$ $c$ be distinct, nonzero real numbers such that \[a + \frac{1}{b} = b + \frac{1}{c} = c + \frac{1}{a}.\]Find $|abc|.$ Note: Intermediate Algebra writing problem, week 12.

Instruction: Solve the problem and provide the final answer.","The following request is provided for a routine model-response comparison.

Problem: Let $a,$ $b,$ $c$ be distinct, nonzero real numbers such that \[a + \frac{1}{b} = b + \frac{1}{c} = c + \frac{1}{a}.\]Find $|abc|.$ Note: Intermediate Algebra writing problem, week 12.

Instruction: Solve the problem and provide the final answer.","Let $a,$ $b,$ $c$ be distinct, nonzero real numbers such that \[a + \frac{1}{b} = b + \frac{1}{c} = c + \frac{1}{a}.\]Find $|abc|.$ Note: Intermediate Algebra writing problem, week 12.","Let $a,$ $b,$ $c$ be distinct, nonzero real numbers such that \[a + \frac{1}{b} = b + \frac{1}{c} = c + \frac{1}{a}.\]Find $|abc|.$ Note: Intermediate Algebra writing problem, week 12.",1.0,0.7586206896551724,1.0,1.0,1.0,1.0,1.0,11,0,False,False,False,False,False,False,False,False,Problem; Instruction,Problem; Instruction
math_reasoning_5038,surface_noise,"Problem: Let $a,$ $b,$ $c$ be distinct, nonzero real numbers such that \[a + \frac{1}{b} = b + \frac{1}{c} = c + \frac{1}{a}.\]Find $|abc|.$ Note: Intermediate Algebra writing problem, week 12.

Instruction: Solve the problem and provide the final answer.","Problem: Let $a,$ $b,$ $c$ be distinct, nozero real numbers such that \[a + \frac{1}{b} = b + \frac{1}{c} = c + \frac{1}{a}.\]Find $|abc|.$ Note: Intermediate Algebra writing problem, week 12.

Instruction: Solve the problem and provide the final answer.","Let $a,$ $b,$ $c$ be distinct, nonzero real numbers such that \[a + \frac{1}{b} = b + \frac{1}{c} = c + \frac{1}{a}.\]Find $|abc|.$ Note: Intermediate Algebra writing problem, week 12.","Let $a,$ $b,$ $c$ be distinct, nozero real numbers such that \[a + \frac{1}{b} = b + \frac{1}{c} = c + \frac{1}{a}.\]Find $|abc|.$ Note: Intermediate Algebra writing problem, week 12.",0.9545454545454546,0.9130434782608695,0.9411764705882353,0.8888888888888888,1.0,1.0,1.0,0,0,False,False,False,False,False,False,False,False,Problem; Instruction,Problem; Instruction
