case_id,task,dataset,perturbation,version,sample_idx,prompt,output,reference_answer,correct
promptrobust_pdr_paraphrase_math_01,math_reasoning,MATH,paraphrase,original,0,"Solve the mathematics problem. Put the final answer only on the last line.

Problem: How many vertical asymptotes does the graph of $y=\frac{2}{x^2+x-6}$ have?","To find the vertical asymptotes of the function \( y = \frac{2}{x^2 + x - 6} \), we need to determine where the denominator is equal to zero, as vertical asymptotes occur at these points.

First, we set the denominator equal to zero:

\[
x^2 + x - 6 = 0
\]

Next, we can factor the quadratic equation:

\[
x^2 + x - 6 = (x - 2)(x + 3)
\]

Setting each factor equal to zero gives:

\[
x - 2 = 0 \quad \Rightarrow \quad x = 2
\]
\[
x + 3 = 0 \quad \Rightarrow \quad x = -3
\]

Thus, the denominator is zero at \( x = 2 \) and \( x = -3 \). Therefore, these are the points where the function has vertical asymptotes.

In conclusion, the graph of \( y = \frac{2}{x^2 + x - 6} \) has:

2 vertical asymptotes.

Final answer: 2",2,1
promptrobust_pdr_paraphrase_math_01,math_reasoning,MATH,paraphrase,original,1,"Solve the mathematics problem. Put the final answer only on the last line.

Problem: How many vertical asymptotes does the graph of $y=\frac{2}{x^2+x-6}$ have?","To find the vertical asymptotes of the function \( y = \frac{2}{x^2 + x - 6} \), we need to determine where the denominator is equal to zero, since vertical asymptotes occur at those points.

First, we factor the quadratic in the denominator:

\[
x^2 + x - 6 = (x - 2)(x + 3)
\]

Now, we set the denominator equal to zero to find the values of \( x \):

\[
(x - 2)(x + 3) = 0
\]

Setting each factor to zero gives us:

1. \( x - 2 = 0 \)  which leads to \( x = 2 \)
2. \( x + 3 = 0 \)  which leads to \( x = -3 \)

Thus, the function has vertical asymptotes at \( x = 2 \) and \( x = -3 \).

In total, there are 2 vertical asymptotes.

Final answer: 2",2,1
promptrobust_pdr_paraphrase_math_01,math_reasoning,MATH,paraphrase,original,2,"Solve the mathematics problem. Put the final answer only on the last line.

Problem: How many vertical asymptotes does the graph of $y=\frac{2}{x^2+x-6}$ have?","To find the vertical asymptotes of the function \( y = \frac{2}{x^2 + x - 6} \), we need to determine when the denominator is equal to zero, as vertical asymptotes occur at these points.

First, we factor the quadratic expression in the denominator:

\[
x^2 + x - 6
\]

We look for two numbers that multiply to \(-6\) and add to \(1\). These numbers are \(3\) and \(-2\). Thus, we can factor the quadratic as follows:

\[
x^2 + x - 6 = (x + 3)(x - 2)
\]

Next, we set the denominator equal to zero to find the values of \(x\) that lead to vertical asymptotes:

\[
(x + 3)(x - 2) = 0
\]

Setting each factor to zero gives us:

1. \(x + 3 = 0 \implies x = -3\)
2. \(x - 2 = 0 \implies x = 2\)

These calculations show that there are vertical asymptotes at \(x = -3\) and \(x = 2\).

In conclusion, since there are two distinct values where the denominator is zero, the graph of \(y = \frac{2}{x^2 + x - 6}\) has:

2",2,1
promptrobust_pdr_paraphrase_math_01,math_reasoning,MATH,paraphrase,perturbed,0,"Work through the following math problem carefully. Explain the reasoning, then state the final answer at the end.

Problem: How many vertical asymptotes does the graph of $y=\frac{2}{x^2+x-6}$ have?","To determine the number of vertical asymptotes of the function \( y = \frac{2}{x^2 + x - 6} \), we need to identify the points where the denominator is equal to zero, as vertical asymptotes occur where the function is undefined due to division by zero.

1. **Set the denominator equal to zero**:
   \[
   x^2 + x - 6 = 0
   \]

2. **Factor the quadratic equation**:
   We need to factor \( x^2 + x - 6 \). We are looking for two numbers that multiply to \(-6\) (the constant term) and add up to \(1\) (the coefficient of \(x\)).
   The numbers \(3\) and \(-2\) work because:
   \[
   3 \times (-2) = -6 \quad \text{and} \quad 3 + (-2) = 1
   \]
   Thus, we can factor the quadratic as follows:
   \[
   (x + 3)(x - 2) = 0
   \]

3. **Solve for \(x\)**:
   Setting each factor equal to zero gives:
   \[
   x + 3 = 0 \quad \Rightarrow \quad x = -3
   \]
   \[
   x - 2 = 0 \quad \Rightarrow \quad x = 2
   \]

4. **Identify vertical asymptotes**:
   The function \( y = \frac{2}{x^2 + x - 6} \) will have vertical asymptotes at the values of \(x\) where the denominator is zero, which are \(x = -3\) and \(x = 2\).

5. **Count the vertical asymptotes**:
   Since we found two distinct values where the denominator is zero, we conclude that there are two vertical asymptotes.

Thus, the final answer is:
\[
\boxed{2}
\]",2,1
promptrobust_pdr_paraphrase_math_01,math_reasoning,MATH,paraphrase,perturbed,1,"Work through the following math problem carefully. Explain the reasoning, then state the final answer at the end.

Problem: How many vertical asymptotes does the graph of $y=\frac{2}{x^2+x-6}$ have?","To find the vertical asymptotes of the function \( y = \frac{2}{x^2 + x - 6} \), we need to identify where the denominator is equal to zero, as vertical asymptotes occur at these points provided the numerator is not also zero at those points.

First, we start with the denominator:

\[
x^2 + x - 6
\]

Next, we set this equal to zero and solve for \( x \):

\[
x^2 + x - 6 = 0
\]

To factor this quadratic equation, we look for two numbers that multiply to \(-6\) (the constant term) and add to \(1\) (the coefficient of the linear term). The numbers \(3\) and \(-2\) satisfy this condition because:

\[
3 \times (-2) = -6 \quad \text{and} \quad 3 + (-2) = 1
\]

Thus, we can factor the quadratic as follows:

\[
(x + 3)(x - 2) = 0
\]

Now, we find the values of \( x \) that make the denominator zero:

\[
x + 3 = 0 \quad \Rightarrow \quad x = -3
\]
\[
x - 2 = 0 \quad \Rightarrow \quad x = 2
\]

These calculations show that the denominator is zero at \( x = -3 \) and \( x = 2 \). We must now check that the numerator does not also equal zero at these points.

The numerator of our function is a constant \( 2 \), which is never zero. Therefore, both \( x = -3 \) and \( x = 2 \) will result in vertical asymptotes.

In conclusion, the graph of the function \( y = \frac{2}{x^2 + x - 6} \) has two vertical asymptotes at \( x = -3 \) and \( x = 2 \).

Thus, the final answer is:

\[
\boxed{2}
\]",2,1
promptrobust_pdr_paraphrase_math_01,math_reasoning,MATH,paraphrase,perturbed,2,"Work through the following math problem carefully. Explain the reasoning, then state the final answer at the end.

Problem: How many vertical asymptotes does the graph of $y=\frac{2}{x^2+x-6}$ have?","To determine the number of vertical asymptotes for the function \( y = \frac{2}{x^2 + x - 6} \), we need to identify the values of \( x \) that make the denominator equal to zero, since vertical asymptotes occur at these points, provided that they do not also make the numerator zero.

First, we start by factoring the denominator:

\[
x^2 + x - 6
\]

We look for two numbers that multiply to \(-6\) (the constant term) and add to \(1\) (the coefficient of \(x\)). The numbers \(3\) and \(-2\) satisfy these conditions:

\[
x^2 + x - 6 = (x + 3)(x - 2)
\]

Now we set the factored denominator equal to zero to find the critical points:

\[
(x + 3)(x - 2) = 0
\]

This gives us two equations:

1. \( x + 3 = 0 \) which simplifies to \( x = -3 \)
2. \( x - 2 = 0 \) which simplifies to \( x = 2 \)

Next, we check whether these points lead to vertical asymptotes by ensuring that the numerator does not also equal zero at these points. The numerator of our function is \( 2 \), which is not zero at any value of \( x \).

Since both \( x = -3 \) and \( x = 2 \) make the denominator zero and the numerator is not zero at these points, we confirm that there are vertical asymptotes at both of these values.

Thus, the function \( y = \frac{2}{x^2 + x - 6} \) has:

- A vertical asymptote at \( x = -3 \)
- A vertical asymptote at \( x = 2 \)

In conclusion, the number of vertical asymptotes for the graph of the function is:

\[
\boxed{2}
\]",2,1
promptrobust_pdr_paraphrase_math_02,math_reasoning,MATH,paraphrase,original,0,"Solve the mathematics problem. Put the final answer only on the last line.

Problem: What is the positive difference between $120\%$ of 30 and $130\%$ of 20?","First, we calculate \(120\%\) of \(30\):

\[
120\% \text{ of } 30 = \frac{120}{100} \times 30 = 1.2 \times 30 = 36
\]

Next, we calculate \(130\%\) of \(20\):

\[
130\% \text{ of } 20 = \frac{130}{100} \times 20 = 1.3 \times 20 = 26
\]

Now, we find the positive difference between \(36\) and \(26\):

\[
\text{Positive difference} = |36 - 26| = 10
\]

Thus, the final answer is:

10",10,0
promptrobust_pdr_paraphrase_math_02,math_reasoning,MATH,paraphrase,original,1,"Solve the mathematics problem. Put the final answer only on the last line.

Problem: What is the positive difference between $120\%$ of 30 and $130\%$ of 20?","First, calculate \(120\%\) of \(30\):
\[
120\% \text{ of } 30 = \frac{120}{100} \times 30 = 1.2 \times 30 = 36
\]

Next, calculate \(130\%\) of \(20\):
\[
130\% \text{ of } 20 = \frac{130}{100} \times 20 = 1.3 \times 20 = 26
\]

Now, find the positive difference between \(36\) and \(26\):
\[
\text{Positive difference} = |36 - 26| = 10
\]

Final answer:
10",10,1
promptrobust_pdr_paraphrase_math_02,math_reasoning,MATH,paraphrase,original,2,"Solve the mathematics problem. Put the final answer only on the last line.

Problem: What is the positive difference between $120\%$ of 30 and $130\%$ of 20?","First, we calculate \(120\%\) of \(30\):

\[
120\% \text{ of } 30 = \frac{120}{100} \times 30 = 1.2 \times 30 = 36
\]

Next, we calculate \(130\%\) of \(20\):

\[
130\% \text{ of } 20 = \frac{130}{100} \times 20 = 1.3 \times 20 = 26
\]

Now, we find the positive difference between \(36\) and \(26\):

\[
\text{Positive difference} = 36 - 26 = 10
\]

Thus, the final answer is:

10",10,0
promptrobust_pdr_paraphrase_math_02,math_reasoning,MATH,paraphrase,perturbed,0,"Work through the following math problem carefully. Explain the reasoning, then state the final answer at the end.

Problem: What is the positive difference between $120\%$ of 30 and $130\%$ of 20?","To solve the problem, we will first calculate \(120\%\) of \(30\) and then \(130\%\) of \(20\).

1. **Calculate \(120\%\) of \(30\)**:
   \[
   120\% = \frac{120}{100} = 1.2
   \]
   Now, we multiply this by \(30\):
   \[
   1.2 \times 30 = 36
   \]

2. **Calculate \(130\%\) of \(20\)**:
   \[
   130\% = \frac{130}{100} = 1.3
   \]
   Now, we multiply this by \(20\):
   \[
   1.3 \times 20 = 26
   \]

3. **Find the positive difference between the two results**:
   We need to find the positive difference between \(36\) and \(26\):
   \[
   36 - 26 = 10
   \]

Thus, the positive difference between \(120\%\) of \(30\) and \(130\%\) of \(20\) is \(\boxed{10}\).",10,1
